Time (hpf),NetworkDensity,NetworkDensity_SEM,Area,Area_SEM,Intensity,Intensity_SEM
4.333333333333333,13.817499999999999,1.7845465390401003,625.9279375,64.29422843631123,173.46450000000002,6.900769147348721
4.666666666666667,24.287217391304342,1.9898618051967123,603.9138260869565,52.046458367685105,181.34500000000003,6.695148909247355
5.0,27.175666666666668,1.727437848529261,599.8915,47.253502721483784,196.79725,7.38038015822297
5.333333333333333,44.62386111111111,1.6831861996767283,549.5421944444445,36.53729649703727,220.41752777777776,6.517871518199459
5.666666666666667,48.684,1.6066164027536716,563.5985882352941,40.33892956192114,245.26273529411762,7.245739602877496
6.0,57.509538461538455,1.7972045052053958,610.2105384615386,37.819748387613004,258.050923076923,7.945554999081815
6.333333333333334,59.413275,1.8910150906486434,676.5447,36.809605848536535,272.362825,8.294037752173011
6.666666666666666,62.80187804878049,2.2038577004091233,716.333512195122,36.46145642308919,279.51307317073173,8.291981695265749
7.0,68.50379069767442,2.606275183849823,730.9863488372093,35.84530099729676,287.8829069767442,9.303066561651262
7.333333333333334,83.88564102564104,2.3544316583532092,742.5625384615386,36.84790016482822,303.18041025641025,10.676444295543376
7.666666666666666,76.21536363636363,2.7381729215882777,790.3397878787879,42.4108239613096,307.60187878787883,11.625500095446984
8.0,84.73242424242423,1.8538264865145408,842.9048181818182,48.546968820748,323.3044545454546,12.647175253329488
8.333333333333332,84.9685,2.5305358514852494,926.3510416666667,66.14081095285827,342.5158333333334,17.48624294874575
8.666666666666668,95.84137037037037,1.0332328999278426,1008.4399629629629,57.91488814964583,333.43455555555556,17.667971208997802
