PIVlab, ASCII chart output - 03-May-2024
FRAME: 7, filenames: A:[7]MAX_Pos002_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj-1.avi & B:[8]MAX_Pos002_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,NaN,NaN,2
10,18,NaN,NaN,2
10,26,NaN,NaN,2
10,34,1.572361231,3.892194748,1
10,42,2.041100025,1.594299555,1
10,50,1.265468359,3.489472151,1
10,58,0.8128202558,2.237433434,1
10,66,0.2258975506,2.611325741,1
10,74,1.213274717,3.364537239,1
10,82,1.205717444,2.55871582,1
10,90,0.1574887931,2.238462925,1
10,98,-1.084571123,1.655893564,1
10,106,-1.434483528,1.600812912,1
10,114,-0.7810171843,2.128040075,1
10,122,-1.284856319,1.087095737,1
10,130,-0.9165272713,2.409471512,1
10,138,-0.4175348282,1.939509511,1
10,146,0.7317140102,4.088979244,1
10,154,-0.6816213131,1.664854884,1
10,162,-0.6273090839,1.855014086,1
10,170,-0.4277873635,2.30683732,1
10,178,-0.3389103115,2.789242506,1
10,186,-0.2691445351,2.048407793,1
10,194,-0.1975012422,1.690351605,1
10,202,0.09934604168,1.531939507,1
10,210,NaN,NaN,2
10,218,NaN,NaN,2
10,226,0.4384908676,1.334900856,1
10,234,0.4526640773,1.331491351,1
10,242,0.784698844,0.9709191322,1
10,250,0.7019199729,0.7295014262,1
10,258,0.002365261316,0.4721465707,1
10,266,-0.4700964093,0.4329583049,1
10,274,-0.1569859982,1.27366066,1
10,282,0.3201068938,1.169689178,1
10,290,1.014549136,1.321057677,1
10,298,1.959246993,1.983084679,1
10,306,2.084537506,2.51482439,1
10,314,1.225275755,2.142048836,1
10,322,0.5155896544,1.158410072,1
10,330,0.0645429194,0.5910063982,1
10,338,-0.00750221312,0.5810261369,1
10,346,0.2809687257,0.8054667115,1
10,354,0.1316105723,0.6793532372,1
10,362,0.5045377612,1.015269876,1
10,370,0.3852426708,0.9620833397,1
10,378,-0.1795675904,0.7712700367,1
10,386,-0.6165491343,0.424751699,1
10,394,-0.7666118145,0.2792317271,1
10,402,-0.6430564523,0.6801510453,1
10,410,-0.312318325,0.6273484826,1
10,418,0.1238894761,0.4935076833,1
10,426,-0.4223204255,-0.1395422816,1
10,434,-0.7865216136,0.4716543555,1
10,442,-1.068012595,0.1580165029,1
10,450,-1.344975352,0.3022755384,1
10,458,-1.352682352,0.525442481,1
10,466,-1.189414263,0.7825170755,1
10,474,-0.6158576012,1.089501143,1
10,482,-0.2922505736,-0.2611945868,1
10,490,-0.262779355,0.5734293461,1
18,10,1.824056268,4.347485542,1
18,18,NaN,NaN,2
18,26,NaN,NaN,2
18,34,NaN,NaN,2
18,42,NaN,NaN,2
18,50,NaN,NaN,2
18,58,1.076346517,3.144630432,1
18,66,-0.2330952883,2.643832922,1
18,74,0.1866883039,3.150523901,1
18,82,-0.04524052888,1.645202637,1
18,90,-0.342268914,2.047487974,1
18,98,-0.8483953476,2.170626163,1
18,106,-1.048659563,2.007840872,1
18,114,-1.310361028,2.000677109,1
18,122,-1.430100441,2.24429369,1
18,130,-1.032096624,2.533024311,1
18,138,-0.8780702353,1.802360773,1
18,146,-0.7807968855,1.815989137,1
18,154,-0.7748888731,1.940780878,1
18,162,-0.6546085477,1.982046366,1
18,170,-0.3571041524,2.324072123,1
18,178,-0.03321495652,2.844731569,1
18,186,-0.05067250133,2.242585182,1
18,194,-0.2931129932,1.616878748,1
18,202,0.1488551199,1.457343459,1
18,210,0.3818625212,1.740104914,1
18,218,0.6920205951,0.8988113403,1
18,226,0.532990694,0.8945795894,1
18,234,0.7966635227,1.096342564,1
18,242,0.6361880302,1.011912107,1
18,250,0.2649802864,1.032203078,1
18,258,0.4913816154,0.5136705637,1
18,266,0.8037334681,-0.294806242,1
18,274,0.3707953691,0.4497778416,1
18,282,0.5312031507,0.9666605592,1
18,290,1.07388258,1.074779272,1
18,298,1.382245898,1.245089293,1
18,306,0.8444088697,1.843102336,1
18,314,0.6653744578,1.811184645,1
18,322,1.050911427,1.240158081,1
18,330,0.2148946524,0.5983936787,1
18,338,-0.05497077107,0.5806705356,1
18,346,-0.2421631515,1.241239905,1
18,354,-0.3616485894,1.202805758,1
18,362,0.5834756494,1.248518109,1
18,370,0.3502810597,1.198473811,1
18,378,0.1780726463,0.8171681166,1
18,386,0.02988252044,0.6008293033,1
18,394,-0.6737050414,0.4746876359,1
18,402,-0.7868716717,0.575915277,1
18,410,-0.2998216748,0.9335946441,1
18,418,0.07744264603,0.6287963986,1
18,426,-0.2719465494,0.727253139,1
18,434,-0.4616811872,1.127161026,1
18,442,-0.5384001136,0.6903786063,1
18,450,-0.7068151236,-0.1604881287,1
18,458,-0.5328190327,-0.2892973721,1
18,466,-0.6773941517,-0.07556301355,1
18,474,-0.7153266668,0.5814729929,1
18,482,-0.1240487099,0.3808372319,1
18,490,-1.037248254,-0.066360116,1
26,10,1.340027332,4.020104885,1
26,18,1.579972386,4.102702141,1
26,26,1.988959551,3.968659401,1
26,34,NaN,NaN,2
26,42,NaN,NaN,2
26,50,1.509007573,4.378795147,1
26,58,1.08227396,3.056466818,1
26,66,0.5260360241,3.095777988,1
26,74,-0.1090216637,2.920796394,1
26,82,-0.4764928222,3.092697382,1
26,90,-0.9835088849,2.517827511,1
26,98,2.283239841,-0.8579120636,1
26,106,-0.4683060646,1.891150713,1
26,114,-0.7278954983,2.207353115,1
26,122,-1.024755955,2.42556715,1
26,130,-0.786468029,2.365962505,1
26,138,-0.8277082443,1.891263604,1
26,146,-0.5328274369,2.17543602,1
26,154,-0.5507158637,2.188863277,1
26,162,-0.778655827,2.301520824,1
26,170,-0.3396089077,2.629211903,1
26,178,0.08255058527,2.567706585,1
26,186,0.2137791961,1.69464612,1
26,194,0.1237947792,1.204230547,1
26,202,0.2208264768,1.264709115,1
26,210,0.230107829,1.121086597,1
26,218,0.4950457513,0.6654320359,1
26,226,0.09900005162,0.7821308374,1
26,234,0.08182549477,0.9519554377,1
26,242,0.3589166999,1.238595366,1
26,250,0.2981814146,1.429614663,1
26,258,0.5344839096,1.151440263,1
26,266,0.4509936571,0.5958063602,1
26,274,0.3966254592,0.383898437,1
26,282,0.4823330045,0.5739777684,1
26,290,0.8800714612,1.104181647,1
26,298,0.8675684929,1.249386191,1
26,306,0.01803535223,1.379557371,1
26,314,-0.0131316185,1.600093603,1
26,322,0.5906342268,1.321586132,1
26,330,0.4866176844,1.061778784,1
26,338,0.3053222895,1.067993641,1
26,346,0.1119731143,1.272707701,1
26,354,-0.07831987739,1.046594381,1
26,362,-0.163961947,0.8465554714,1
26,370,-0.007680773735,1.152925849,1
26,378,0.2592264712,0.6598634124,1
26,386,0.08513943851,0.6749742627,1
26,394,-0.3306794167,0.5365154743,1
26,402,-0.3657939136,0.502173841,1
26,410,-0.2819028497,1.435225964,1
26,418,-0.3035828173,1.441192508,1
26,426,-0.7094491124,1.575880527,1
26,434,-0.6623545885,1.355384588,1
26,442,-0.4764697552,0.5677114725,1
26,450,-0.1896245182,0.1600916684,1
26,458,-0.07057496905,-0.2024803162,1
26,466,-0.405033052,0.02416028082,1
26,474,-0.5963845253,0.2144888937,1
26,482,-0.3620010614,0.586863637,1
26,490,-1.04290092,0.2703013122,1
34,10,1.447439671,4.331665039,1
34,18,1.548969507,3.858988762,1
34,26,1.633924246,3.899039745,1
34,34,1.788125634,3.853397846,1
34,42,NaN,NaN,2
34,50,0.835572958,3.514738321,1
34,58,-1.636905193,1.161554813,1
34,66,0.8954294324,2.59196353,1
34,74,0.8415751457,2.73735857,1
34,82,0.5591499209,2.120676041,1
34,90,-0.4547210038,1.516312838,1
34,98,-0.2100420594,1.140873432,1
34,106,-0.3093314469,1.464020014,1
34,114,-0.495375514,1.961923242,1
34,122,-0.6197872162,2.241481781,1
34,130,-0.6965714097,2.248630285,1
34,138,-0.5735527873,2.301509142,1
34,146,-0.4698936343,2.096318007,1
34,154,-0.5000388622,2.43196702,1
34,162,-0.5362650156,2.555151701,1
34,170,-0.5028647184,2.482370615,1
34,178,-0.4630896449,2.319366932,1
34,186,-0.2002914846,1.467217326,1
34,194,0.384809047,1.256880879,1
34,202,0.3718056083,1.177809715,1
34,210,-0.1316941381,0.7688561678,1
34,218,0.1633026302,0.644671917,1
34,226,0.08980588615,0.6374447346,1
34,234,0.1367645413,0.8834828734,1
34,242,0.4076561928,1.406865954,1
34,250,0.342454195,1.708577156,1
34,258,0.1181299984,1.552654862,1
34,266,0.05282515287,0.9948840141,1
34,274,0.2241407633,0.8402329087,1
34,282,0.3993028998,0.8925043344,1
34,290,0.7077525258,1.052754045,1
34,298,0.4344446659,1.033420801,1
34,306,0.05421924591,1.044053316,1
34,314,0.3366959095,1.131032228,1
34,322,0.4484194517,0.959628582,1
34,330,0.3870732188,0.7796019912,1
34,338,0.3747976124,1.130237818,1
34,346,0.05781362951,0.9708703756,1
34,354,-0.5282071829,1.029816628,1
34,362,-0.6095686555,0.6842113733,1
34,370,-0.365157932,0.7845139503,1
34,378,-0.09860243648,0.6934956312,1
34,386,-0.0194940865,0.6333590746,1
34,394,-0.09750144929,0.6435943842,1
34,402,-0.1164499745,0.9759483933,1
34,410,-0.3772694767,1.750300527,1
34,418,-0.1114751101,1.730674624,1
34,426,-0.3362638354,1.526462078,1
34,434,-0.420681864,0.9321191907,1
34,442,-0.5549244881,0.4341980219,1
34,450,-0.07333759964,0.4097069204,1
34,458,0.2218179405,-0.02348914742,1
34,466,-0.1389554441,0.242203325,1
34,474,-0.3162350357,0.2610031962,1
34,482,-0.6142224669,0.34748438,1
34,490,-0.9601471424,0.3237223029,1
42,10,1.316618204,4.640352249,1
42,18,1.67871201,3.89661932,1
42,26,1.605920672,3.480673313,1
42,34,1.516962647,2.969941378,1
42,42,1.618016601,2.901297808,1
42,50,1.252035737,2.701256275,1
42,58,1.187399387,2.419038773,1
42,66,1.082740307,2.066420317,1
42,74,1.072823286,2.44601965,1
42,82,0.9834311008,2.008182049,1
42,90,-0.05465134978,1.494440794,1
42,98,0.0898116529,1.229155779,1
42,106,0.05255562067,1.291262031,1
42,114,1.934964657,2.974524736,1
42,122,-0.8450329304,2.118248224,1
42,130,-1.388375878,2.178940058,1
42,138,-1.497676134,2.272633314,1
42,146,-1.848527551,2.035825253,1
42,154,-1.04092133,2.240350485,1
42,162,-0.9966676235,2.381292582,1
42,170,-0.8218713999,2.099344015,1
42,178,-0.8910603523,1.977688313,1
42,186,-0.81912148,1.63666594,1
42,194,-0.1607295275,1.530110955,1
42,202,-0.432415545,1.317733765,1
42,210,-1.173110723,0.9163709879,1
42,218,-0.2330771983,0.8284619451,1
42,226,0.1808860004,0.6100214124,1
42,234,0.3537321091,0.4894994497,1
42,242,0.3694734573,1.566138148,1
42,250,0.2630635202,1.825884104,1
42,258,0.108592838,1.741990685,1
42,266,0.06220662594,1.099918127,1
42,274,0.208668828,1.170395017,1
42,282,0.6235466599,1.445949435,1
42,290,1.043475628,1.371148705,1
42,298,0.7304033041,1.116541624,1
42,306,0.3362882733,0.4053650498,1
42,314,0.6588709354,0.4700988531,1
42,322,0.9222404957,0.7329645157,1
42,330,0.3709690571,0.4528197646,1
42,338,-0.1237516999,0.3040508628,1
42,346,-0.08233824372,0.3735069036,1
42,354,-0.1492102444,0.7834429145,1
42,362,-0.1601742804,0.4514713287,1
42,370,0.09979535639,0.6073796749,1
42,378,-0.1625046581,0.6776192784,1
42,386,-0.02433698252,0.6338090897,1
42,394,0.1410964727,0.7659944296,1
42,402,0.2344218493,1.139013529,1
42,410,-0.0438195765,1.483458996,1
42,418,-0.3236990571,1.406142235,1
42,426,-0.424942255,0.8143649697,1
42,434,-0.1950829625,0.8746277094,1
42,442,-0.3410651684,0.6636630297,1
42,450,-0.1346193552,0.4568193853,1
42,458,-0.1417098343,0.01615321636,1
42,466,-0.4132524133,0.3218795061,1
42,474,-0.5371348858,0.5833931565,1
42,482,-0.8801929355,0.377240181,1
42,490,-0.8873767853,0.7542384267,1
50,10,1.166748047,4.221914291,1
50,18,1.4270432,3.20877409,1
50,26,1.601954937,2.801504612,1
50,34,1.90674293,2.592443228,1
50,42,1.85434866,1.899616957,1
50,50,1.254612565,1.564653993,1
50,58,1.048569441,1.542618513,1
