 ,Area,Mean,Min,Max,Angle,Slice,Length
114,7.912E-7,171.060,93,446,-88.764,114,0.004
115,7.912E-7,171.148,96,422,-88.764,115,0.004
116,7.912E-7,171.955,95,411,-88.764,116,0.004
117,7.912E-7,171.882,96,429,-88.764,117,0.004
118,7.912E-7,172.193,96,449,-88.764,118,0.004
119,7.912E-7,171.687,95,409,-88.764,119,0.004
120,7.912E-7,172.043,89,410,-88.764,120,0.004
121,7.912E-7,172.066,99,396,-88.764,121,0.004
122,7.912E-7,172.058,98,409,-88.764,122,0.004
123,7.912E-7,172.453,95,419,-88.764,123,0.004
124,7.912E-7,171.972,95,413,-88.764,124,0.004
125,7.912E-7,173.031,93,405,-88.764,125,0.004
126,7.912E-7,173.077,92,406,-88.764,126,0.004
127,7.912E-7,172.498,92,410,-88.764,127,0.004
128,7.912E-7,172.912,93,389,-88.764,128,0.004
129,7.912E-7,173.585,95,398,-88.764,129,0.004
130,7.912E-7,173.437,97,403,-88.764,130,0.004
131,7.912E-7,173.367,90,358,-88.764,131,0.004
132,7.912E-7,172.918,95,364,-88.764,132,0.004
133,7.912E-7,173.465,95,362,-88.764,133,0.004
134,7.912E-7,174.244,97,357,-88.764,134,0.004
135,7.912E-7,173.418,94,357,-88.764,135,0.004
136,7.912E-7,173.437,98,382,-88.764,136,0.004
137,7.912E-7,173.399,99,375,-88.764,137,0.004
138,7.912E-7,173.223,98,371,-88.764,138,0.004
139,7.912E-7,173.602,94,361,-88.764,139,0.004
140,7.912E-7,173.745,96,368,-88.764,140,0.004
141,7.912E-7,173.526,92,370,-88.764,141,0.004
142,7.912E-7,173.322,94,367,-88.764,142,0.004
143,7.912E-7,173.441,94,366,-88.764,143,0.004
144,7.912E-7,174.635,93,344,-88.764,144,0.004
145,7.912E-7,174.068,100,382,-88.764,145,0.004
146,7.912E-7,173.901,91,348,-88.764,146,0.004
147,7.912E-7,173.908,97,352,-88.764,147,0.004
148,7.912E-7,174.116,96,368,-88.764,148,0.004
149,7.912E-7,174.278,97,345,-88.764,149,0.004
150,7.912E-7,174.337,95,345,-88.764,150,0.004
151,7.912E-7,174.471,94,370,-88.764,151,0.004
152,7.912E-7,173.546,95,372,-88.764,152,0.004
153,7.912E-7,173.974,95,339,-88.764,153,0.004
