 ,Area,Mean,Min,Max,Angle,Slice,Length
114,8.554E-7,135.771,100,260,-90.731,114,0.004
115,8.554E-7,135.619,97,253,-90.731,115,0.004
116,8.554E-7,136.050,98,243,-90.731,116,0.004
117,8.554E-7,136.030,101,248,-90.731,117,0.004
118,8.554E-7,135.740,93,257,-90.731,118,0.004
119,8.554E-7,136.082,98,270,-90.731,119,0.004
120,8.554E-7,136.014,97,250,-90.731,120,0.004
121,8.554E-7,135.949,98,244,-90.731,121,0.004
122,8.554E-7,136.220,96,254,-90.731,122,0.004
123,8.554E-7,136.555,93,248,-90.731,123,0.004
124,8.554E-7,136.307,96,253,-90.731,124,0.004
125,8.554E-7,136.279,96,248,-90.731,125,0.004
126,8.554E-7,136.776,96,258,-90.731,126,0.004
127,8.554E-7,136.613,96,233,-90.731,127,0.004
128,8.554E-7,136.628,94,252,-90.731,128,0.004
129,8.554E-7,137.109,98,242,-90.731,129,0.004
130,8.554E-7,136.608,94,227,-90.731,130,0.004
131,8.554E-7,136.552,95,229,-90.731,131,0.004
132,8.554E-7,137.096,98,251,-90.731,132,0.004
133,8.554E-7,136.882,98,244,-90.731,133,0.004
134,8.554E-7,137.146,97,253,-90.731,134,0.004
135,8.554E-7,136.988,97,223,-90.731,135,0.004
136,8.554E-7,136.548,98,242,-90.731,136,0.004
137,8.554E-7,136.420,97,230,-90.731,137,0.004
138,8.554E-7,136.568,99,237,-90.731,138,0.004
139,8.554E-7,136.806,98,225,-90.731,139,0.004
140,8.554E-7,136.398,97,231,-90.731,140,0.004
141,8.554E-7,136.725,96,238,-90.731,141,0.004
142,8.554E-7,136.253,98,244,-90.731,142,0.004
143,8.554E-7,136.355,96,242,-90.731,143,0.004
144,8.554E-7,136.173,95,237,-90.731,144,0.004
145,8.554E-7,136.517,97,237,-90.731,145,0.004
146,8.554E-7,135.990,96,223,-90.731,146,0.004
147,8.554E-7,135.956,96,231,-90.731,147,0.004
148,8.554E-7,135.590,96,230,-90.731,148,0.004
149,8.554E-7,135.855,92,234,-90.731,149,0.004
150,8.554E-7,135.332,96,248,-90.731,150,0.004
151,8.554E-7,135.556,97,234,-90.731,151,0.004
152,8.554E-7,135.131,95,240,-90.731,152,0.004
153,8.554E-7,135.326,97,227,-90.731,153,0.004
154,8.554E-7,135.063,98,242,-90.731,154,0.004
155,8.554E-7,134.687,98,238,-90.731,155,0.004
156,8.554E-7,134.793,98,247,-90.731,156,0.004
157,8.554E-7,135.068,98,247,-90.731,157,0.004
158,8.554E-7,134.804,97,244,-90.731,158,0.004
159,8.554E-7,134.966,94,244,-90.731,159,0.004
160,8.554E-7,134.894,97,259,-90.731,160,0.004
161,8.554E-7,134.348,97,241,-90.731,161,0.004
162,8.554E-7,134.340,92,239,-90.731,162,0.004
163,8.554E-7,134.211,96,246,-90.731,163,0.004
164,8.554E-7,134.350,93,246,-90.731,164,0.004
165,8.554E-7,134.345,93,257,-90.731,165,0.004
166,8.554E-7,134.071,93,250,-90.731,166,0.004
167,8.554E-7,134.408,98,250,-90.731,167,0.004
168,8.554E-7,133.947,96,244,-90.731,168,0.004
169,8.554E-7,133.425,91,240,-90.731,169,0.004
170,8.554E-7,133.521,97,242,-90.731,170,0.004
171,8.554E-7,133.659,96,247,-90.731,171,0.004
172,8.554E-7,133.198,96,251,-90.731,172,0.004
173,8.554E-7,132.899,96,242,-90.731,173,0.004
174,8.554E-7,133.089,96,245,-90.731,174,0.004
175,8.554E-7,133.083,94,259,-90.731,175,0.004
176,8.554E-7,132.575,96,255,-90.731,176,0.004
177,8.554E-7,132.842,93,234,-90.731,177,0.004
178,8.554E-7,132.611,95,256,-90.731,178,0.004
179,8.554E-7,132.436,98,239,-90.731,179,0.004
180,8.554E-7,132.408,90,246,-90.731,180,0.004
181,8.554E-7,132.146,98,267,-90.731,181,0.004
182,8.554E-7,132.186,92,259,-90.731,182,0.004
183,8.554E-7,131.912,96,249,-90.731,183,0.004
184,8.554E-7,132.015,96,245,-90.731,184,0.004
185,8.554E-7,131.789,95,239,-90.731,185,0.004
186,8.554E-7,131.698,95,249,-90.731,186,0.004
187,8.554E-7,131.722,93,248,-90.731,187,0.004
188,8.554E-7,131.426,93,256,-90.731,188,0.004
