 ,Area,Mean,Min,Max,Angle,Slice,Length
114,4.326E-7,203.094,102,541,-88.862,114,0.002
115,4.326E-7,204.017,105,558,-88.862,115,0.002
116,4.326E-7,205.532,105,587,-88.862,116,0.002
117,4.326E-7,205.484,97,580,-88.862,117,0.002
118,4.326E-7,206.552,102,606,-88.862,118,0.002
119,4.326E-7,206.516,105,611,-88.862,119,0.002
120,4.326E-7,207.179,103,589,-88.862,120,0.002
121,4.326E-7,207.794,107,642,-88.862,121,0.002
122,4.326E-7,209.074,102,650,-88.862,122,0.002
123,4.326E-7,209.009,104,582,-88.862,123,0.002
124,4.326E-7,210.212,104,641,-88.862,124,0.002
125,4.326E-7,210.189,106,587,-88.862,125,0.002
126,4.326E-7,211.380,103,598,-88.862,126,0.002
127,4.326E-7,212.533,104,602,-88.862,127,0.002
128,4.326E-7,212.373,108,586,-88.862,128,0.002
129,4.326E-7,212.669,104,610,-88.862,129,0.002
130,4.326E-7,213.676,106,622,-88.862,130,0.002
131,4.326E-7,214.422,102,622,-88.862,131,0.002
132,4.326E-7,216.075,104,621,-88.862,132,0.002
133,4.326E-7,217.056,104,649,-88.862,133,0.002
134,4.326E-7,216.473,104,654,-88.862,134,0.002
135,4.326E-7,218.111,103,635,-88.862,135,0.002
136,4.326E-7,218.614,107,661,-88.862,136,0.002
137,4.326E-7,218.963,109,644,-88.862,137,0.002
138,4.326E-7,219.903,107,660,-88.862,138,0.002
139,4.326E-7,220.106,108,645,-88.862,139,0.002
140,4.326E-7,221.089,107,677,-88.862,140,0.002
141,4.326E-7,222.205,107,650,-88.862,141,0.002
142,4.326E-7,223.275,102,698,-88.862,142,0.002
143,4.326E-7,222.897,104,650,-88.862,143,0.002
144,4.326E-7,223.719,106,639,-88.862,144,0.002
145,4.326E-7,224.124,99,705,-88.862,145,0.002
146,4.326E-7,224.351,102,695,-88.862,146,0.002
147,4.326E-7,225.193,102,675,-88.862,147,0.002
148,4.326E-7,226.867,106,695,-88.862,148,0.002
149,4.326E-7,226.306,103,673,-88.862,149,0.002
150,4.326E-7,226.984,103,716,-88.862,150,0.002
151,4.326E-7,226.897,105,692,-88.862,151,0.002
152,4.326E-7,228.752,104,695,-88.862,152,0.002
153,4.326E-7,229.059,107,676,-88.862,153,0.002
154,4.326E-7,229.712,106,679,-88.862,154,0.002
