 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,3471.812,195.756,112.472,135.050,330.162,104.751,42.199,32.181,0.400,3.586,100,2.482,0.403,0.745
2,2219.544,186.349,115.339,132.024,256.956,78.920,35.809,33.576,0.422,3.594,100,2.204,0.454,0.775
3,1460.539,183.507,116.329,130.539,207.149,66.808,27.835,35.597,0.428,3.372,100,2.400,0.417,0.784
4,980.051,181.808,115.665,131.008,170.464,55.544,22.466,36.464,0.424,3.355,100,2.472,0.404,0.803
5,608.485,176.084,113.611,131.594,135.247,43.575,17.780,33.773,0.418,3.778,100,2.451,0.408,0.825
6,446.351,176.732,112.077,133.174,115.611,37.610,15.110,34.350,0.420,3.695,100,2.489,0.402,0.828
7,380.646,176.462,111.165,133.575,97.212,34.668,13.980,33.889,0.506,3.821,100,2.480,0.403,0.883
8,313.428,174.886,110.106,133.281,80.909,30.862,12.931,29.365,0.602,4.144,100,2.387,0.419,0.931
9,257.999,172.783,109.419,132.973,73.497,27.159,12.095,26.879,0.600,4.646,100,2.245,0.445,0.948
10,241.388,172.964,109.003,133.081,68.207,26.084,11.783,26.758,0.652,4.537,100,2.214,0.452,0.972
11,212.459,171.329,108.736,132.904,63.694,23.798,11.367,26.026,0.658,4.844,100,2.094,0.478,0.968
12,166.216,168.933,108.967,131.929,63.258,21.768,9.722,23.145,0.522,3.889,100,2.239,0.447,0.893
13,131.727,168.026,108.909,131.745,52.956,18.495,9.069,20.391,0.590,0.129,100,2.039,0.490,0.927
14,116.911,167.927,109.219,131.352,52.908,17.317,8.596,18.022,0.525,0.118,100,2.014,0.496,0.867
15,96.182,167.788,109.001,130.956,45.051,16.447,7.446,15.913,0.596,0.130,100,2.209,0.453,0.945
