 ,Area,Mean,Min,Max
1,14239,0.476,0,54
2,8765,0.761,0,58
3,26260,0.446,0,59
4,8784,1.541,0,100
5,8941,1.301,0,81
6,3752,1.887,0,84
7,17696,0.512,0,54
8,12238,0.676,0,48
9,11290,0.458,0,29
10,12725,0.650,0,39
11,13688,0.838,0,84
12,14796,0.441,0,21
13,17743,0.419,0,45
14,19624,0.418,0,40
15,16726,1.466,0,136
16,7197,0.852,0,58
17,7948,0.969,0,62
18,13137,0.550,0,61
19,14471,0.542,0,32
