 ,X,Y
1,108.795,114.322
2,106.152,116.611
3,106.333,120.533
4,105.279,121.634
5,103.871,122.365
6,102.667,124.638
7,102.382,126.827
8,100.113,128.611
9,98.123,129.510
10,98.944,129.441
11,98.975,129.752
12,98.384,129.545
13,99.163,128.939
14,98.683,129.311
15,102.655,131.684
16,101.349,131.824
17,101.516,132.784
18,99.279,134.061
19,100.595,135.356
20,100.595,135.356
21,100.703,135.356
22,100.703,135.356
23,100.703,135.356
