PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,833,-16.8224678,-5.915954113,1
111,865,-16.93292618,-5.340687275,1
111,897,-16.87991905,-4.478089809,1
111,929,-16.88632202,-3.23422575,1
111,961,-17.86514282,-2.057402372,1
111,993,-17.42733002,-1.231359005,1
111,1025,-17.05345154,-0.7907726765,1
111,1057,-17.41653824,0.1226141751,1
111,1089,-17.67290878,0.7798053622,1
111,1121,-17.40789413,1.573620558,1
111,1153,-17.20330238,3.325390339,1
111,1185,-16.854599,5.235209465,1
111,1217,-15.9472332,5.269796371,1
111,1249,-15.1852932,5.821967602,1
111,1281,-15.1453104,7.135724068,1
111,1313,-14.38228226,6.682751179,1
111,1345,-13.36566448,6.874795914,1
111,1377,-11.35503578,7.401343822,1
111,1409,-10.88481426,6.369585991,1
111,1441,-11.95091152,7.528789997,1
111,1473,-12.0228672,7.064038754,1
111,1505,-11.39014149,7.612405777,1
111,1537,-10.26715279,8.101066589,1
111,1569,-9.169380188,7.882679939,1
111,1601,-8.838468552,7.996408463,1
111,1633,-9.959555626,9.00749588,1
111,1665,-10.69752026,9.875611305,1
111,1697,-10.67205048,10.1143589,1
111,1729,-10.24532509,9.504394531,1
111,1761,-9.368907928,9.28663063,1
111,1793,-8.389344215,9.671869278,1
111,1825,-7.816812515,10.08533573,1
111,1857,-7.425147057,10.65675735,1
111,1889,-7.387055874,11.04200172,1
111,1921,-7.171474934,10.24924088,1
111,1953,-6.796991825,10.10336494,1
111,1985,-6.986566067,9.260105133,1
111,2017,-6.922093391,10.4171524,1
143,33,-0.03960847855,1.001052022,1
143,65,-0.2550404966,-0.110997349,1
143,97,-0.1017977297,-0.3233555257,1
143,129,0.4119877815,0.4022879899,1
143,161,0.5560848117,0.4646144509,1
143,193,0.06816533953,0.3921343088,1
143,225,-0.4026283622,0.146094501,1
143,257,-0.1921039522,-0.1296586096,1
143,289,0.5905936956,0.5754630566,1
143,321,0.5908933878,0.7083271742,1
143,353,-0.9009821415,1.033302546,1
