 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,6334.341,116.015,81.282,91.063,362.122,150.768,53.494,1.108,0.607,100,2.818,0.355,0.902
2,6368.936,116.004,79.684,91.148,342.820,137.133,59.134,0.095,0.681,100,2.319,0.431,0.918
3,5653.171,116.029,80.512,91.053,324.171,131.864,54.585,0.432,0.676,100,2.416,0.414,0.906
4,5133.959,116.066,80.354,91.417,314.599,129.413,50.511,179.683,0.652,100,2.562,0.390,0.894
5,4645.189,116.088,80.166,92.147,300.795,125.882,46.984,178.783,0.645,100,2.679,0.373,0.900
6,3964.840,116.137,80.550,92.710,279.499,118.269,42.684,179.044,0.638,100,2.771,0.361,0.907
7,3281.876,116.245,79.712,93.437,259.440,109.399,38.196,179.019,0.613,100,2.864,0.349,0.902
8,2668.581,116.355,79.017,93.455,239.457,101.597,33.443,178.910,0.585,100,3.038,0.329,0.886
9,2112.499,116.533,78.649,93.840,216.692,92.197,29.173,178.751,0.565,100,3.160,0.316,0.884
10,1730.856,116.641,77.001,93.729,200.091,84.148,26.190,179.053,0.543,100,3.213,0.311,0.874
11,1360.462,116.634,76.494,93.895,179.842,75.975,22.799,179.315,0.529,100,3.332,0.300,0.862
12,1161.881,116.639,75.812,93.696,169.605,70.630,20.945,178.871,0.508,100,3.372,0.297,0.867
13,1031.034,116.645,76.130,93.622,152.160,64.078,20.487,179.224,0.560,100,3.128,0.320,0.880
14,932.810,116.275,75.696,93.929,138.904,58.354,20.353,179.670,0.608,100,2.867,0.349,0.892
15,869.147,115.738,75.647,93.767,133.268,55.373,19.985,178.930,0.615,100,2.771,0.361,0.904
