id,xc,yc,zc,area,perimeter,euler_alpha,euler_beta,euler_gamma,ellipse_x0,ellipse_y0,ellipse_z0,ellipse_a,ellipse_b,ellipse_sigma,eccentricity,proj_direction,n_neighbors,curvature_mean,curvature_gauss,curvature_k1,curvature_k2,uncorrected_area,uncorrected_perimeter
1,100.082725631769,895.336660649819,20.4819673175366,34895.3875093272,740.346099393434,-2.32807589520017,3.07286521149325,2.8238283534789,97.1125014491897,893.469846583501,20.4819673175366,129.231204133,87.3839189231896,3.11999046930528,0.736733877089713,1.152141984882,54,1.56991365605001e-06,-1.24061774121622e-09,3.68272869289368e-05,-3.36874596168368e-05,34808.9775,739.627532612898
2,68.0837280701755,1081.84083333333,28.5804354441236,23792.5242224822,602.365282670436,0.863084123005492,0.0467011190897016,-0.91091249629637,70.361287205946,1078.67084887529,28.5804354441236,108.370942948969,71.5120874333867,-1.2921325538431,0.751368819126735,-1.34048107230112,37,-2.75038523405916e-05,-8.45941795037462e-11,1.49711442048056e-06,-5.65048191016637e-05,23766.00325,601.970360349508
3,122.094120267261,492.122360801782,4.26203115136166,25998.5437390155,638.772765867691,-2.23178285799486,3.11256483051325,-0.166470489378273,127.392218741053,492.761137261493,4.26203115136166,110.3643477125,76.0579937126257,0.376561090427003,0.724615234790509,0.699805121157488,36,6.13164820523983e-05,2.31004663798585e-09,9.93909398068592e-05,2.32420242979373e-05,25627.6064,638.645167398392
4,155.467581573896,680.712092130518,8.91484523129808,32509.2152021238,700.92392397778,0.703000416799506,0.0427371801642602,-1.79549792891105,154.556819879969,678.776292210126,8.91484523129808,119.694390449861,87.9553866566444,0.392974378581048,0.678248095330569,-0.699372234772029,43,4.43945889293984e-05,1.00471170264325e-09,7.54778291653681e-05,1.33113486934286e-05,32464.22135,700.361958190926
5,191.982810707457,196.919980879541,10.6279624507393,28586.5757911947,664.846675216033,-3.06134295154157,0.0732928344781021,-0.203574751203301,192.064644104759,195.789428762694,10.6279624507393,117.144063051178,79.2017697842451,0.353551595340076,0.736804635225488,0.229829887665438,30,3.20736620801354e-05,7.65246245565165e-10,4.83055305389898e-05,1.58417936212811e-05,28509.68725,664.046431502926
6,145.588473684211,1174.41644736842,28.1450404378708,15857.4652937671,514.414133901769,0.979658114382724,0.0602747642491326,-2.16719434954752,148.444561121768,1177.6384778857,28.1450404378708,82.5661363113635,65.5621757665523,0.00480190992791485,0.607843978932151,-1.1835760080709,25,-2.14583153784328e-05,-4.99774438394646e-10,9.52932308071622e-06,-5.24459538375818e-05,15738.34295,513.962942001095
7,229.878198198198,371.402414414414,2.58397792380453,33774.7984410738,733.728662305707,-0.590366727664106,3.12358660008668,-1.42046089897432,231.854085525562,369.037980383564,2.58397792380453,125.012148132817,87.8568384416559,3.07625682261129,0.711400917813379,0.895416287527283,40,5.67511507937948e-05,2.38859359979542e-09,8.55972860050257e-05,2.79050155825639e-05,33758.48575,733.511305965331
8,234.51728021978,790.455769230769,10.2023072842064,12390.6117805267,501.041301338584,-2.84475707668696,3.09207392871076,-2.78198968679559,232.834704700187,793.667336844974,10.2023072842064,74.4367544577709,57.9476494596233,-0.00387068728825258,0.627667330820978,-0.0584964533926717,34,2.47647687846251e-05,-9.23304864749891e-10,6.3964241200792e-05,-1.44347036315418e-05,12134.4608,500.548844273723
9,271.501710526316,1070.64899671053,17.9795788920564,42115.8040004937,792.412158066701,1.03200610225301,0.0678741942954427,0.394436120205262,271.179790046615,1074.24769577144,17.9795788920564,131.77915733481,103.584050310879,-0.0236686705503617,0.618172149216807,1.40199571569307,48,2.75305596901569e-07,-2.27347164902142e-09,4.79570362931872e-05,-4.7406425099384e-05,42013.08155,791.625725279558
10,160.768666666667,1029.06466666667,23.1064577931382,24.9415455488087,19.9643493388782,-1.95323958783273,3.07707777570397,-0.254132790842474,160.731148838354,1028.93353978362,23.1064577931382,3.48339014661257,2.45159464980886,3.04508783000268,0.71040253155474,1.53831939819334,2,-9.74382014467919e-06,-1.63499267092297e-09,3.18486635745558e-05,-5.13363038639142e-05,24.8897000000002,19.9471904628286
11,260.930551558753,894.253836930456,13.5056651822542,20634.8889073327,555.459919751528,0.747500380785768,0.0441220177128997,-2.72379735570827,263.774283291051,894.881950274724,13.5056651822542,95.7481054264492,69.8261087963143,2.21617260283534,0.684227282368197,0.240289152052092,27,1.16965056560022e-05,-2.15654634372431e-09,5.95854875650509e-05,-3.61924762530466e-05,20604.2793,554.976755324015
12,309.980676229508,546.649733606558,5.05767320143601,27537.4344027503,641.585886756949,2.72251084450095,3.09758720532393,0.503741919644773,306.780265914932,543.011054111855,5.05767320143601,113.507963872714,79.3917428058236,2.16817229620255,0.714693628353383,0.0502058430223789,39,5.41233398241221e-05,2.22863654423588e-09,8.0594066476058e-05,2.76526131721861e-05,27508.24285,641.168741521747
13,338.4475,680.27,10.0377968310191,22699.0564364502,630.412539896255,2.02306120165499,3.08231968653547,0.339533316365733,338.442125476673,679.05189217603,10.0377968310191,99.4289734265503,76.5787113349398,2.45579020159978,0.637820468916509,-0.772823067212522,37,3.55399048623657e-05,3.96239582091306e-10,6.49821407749913e-05,6.09766894974013e-06,22646.6988,629.873689170531
14,373.003529411765,365.834117647059,3.55053872336918,24847.4845611034,723.420410172834,0.738225471819975,3.11418786330389,-0.614932354767667,359.109836518161,365.279294790948,3.55053872336918,132.946588627926,64.0428522483302,0.00328912755474503,0.876325929443941,1.34969215593771,41,5.19739252520433e-05,2.13192073068573e-09,7.58353622460565e-05,2.81124882580302e-05,24541.97625,722.840939357629
15,447.331472081218,809.913807106599,18.1763803797004,39601.1205424964,799.735831558221,-2.03591809875482,0.0644873477150135,1.3161254116158,440.787640308403,808.645472500503,18.1763803797004,148.323194272093,86.1808933421219,0.507058760070188,0.81387892668624,-0.212230331359436,45,1.15319307651595e-05,-1.41734832992825e-09,5.09062086264827e-05,-2.78423470961637e-05,39499.9539,798.425094104975
16,420.602524509804,1186.32196078431,15.2952900719722,18065.882902653,526.731139990014,-2.50116127740727,3.07066808430885,-0.397077758805414,424.325819410056,1187.25408763074,15.2952900719722,91.0210213845702,65.1559693676127,0.850292904097714,0.698270184940154,0.188206390409599,30,1.88416508807059e-05,-1.49293282648876e-09,6.18293309111421e-05,-2.41460291497304e-05,18019.41075,526.159890689476
17,474.980304709141,1008.50148199446,11.5939060195053,51663.8951706859,930.337506993637,2.9634565786704,0.0249692020301571,1.53512468388373,472.57396054327,1005.85414959921,11.5939060195053,141.827319506986,120.631041446438,-0.0367047423859804,0.525896299987253,1.32026137755326,60,1.32659221119126e-05,-1.62905792382549e-09,5.57517151880083e-05,-2.92198709641832e-05,51538.51615,929.048848410996
18,526.056359832636,143.698047419805,16.3236131349767,47939.3235201727,954.437528795829,-0.253163085844045,3.07700065744053,-1.08049510912076,519.66084175612,145.553356768318,16.3236131349767,156.749328638874,97.9403106584616,3.09656101846645,0.78076783483504,0.871551697195436,59,2.99016416464031e-05,7.34447341936374e-10,4.25373383511176e-05,1.72659449416886e-05,46555.4518,953.348389218105
19,484.319377682403,512.814098712446,7.40048519531095,20881.3807928888,612.730424609446,-0.400282532259622,0.0667304261811962,-2.30691030366669,485.483597784875,517.262020714045,7.40048519531095,94.9506929018163,73.5189277586728,1.46784720621987,0.632836662385802,-1.2382378444739,40,4.05783838023225e-05,9.27017977798514e-10,6.74035073660655e-05,1.37532602385796e-05,20834.143,611.891305087546
20,469.299285714286,700.350357142857,19.9661566548177,9250.97287451584,415.916976888223,-0.922447700345902,0.0888455267544081,1.25517657966141,466.035415326686,697.76751151855,19.9661566548177,70.0658580171841,46.5690605441495,3.12309733762806,0.747157546531903,0.313007348763462,28,1.94168917112382e-05,-5.16514954499703e-10,4.93088745532254e-05,-1.04750911307489e-05,9213.5813,414.914665122158
21,501.312931323282,348.4191959799,5.60958508024249,30958.8517748886,764.006244172451,-2.67203733442445,0.037453081019765,-2.35551533438003,497.487247735366,345.607817721855,5.60958508024249,118.357762345814,89.2261081225589,0.144386068326977,0.65702611209179,1.39968256735043,38,4.38119285167809e-05,1.50167082781183e-09,6.42524337098451e-05,2.33714233237166e-05,30633.3643,763.511586291466
22,506.438270440252,643.849371069182,18.1942311548381,10208.8295327918,450.531536032122,2.69586637535614,3.04599766832084,1.1363872770044,506.377880822114,644.963135446026,18.1942311548381,94.846494676834,36.1129783782593,0.867606144669997,0.924677256239936,0.690126850535744,31,2.64418181400201e-05,-1.85491809296217e-10,5.61850788194768e-05,-3.30144253943656e-06,10160.12195,449.225503324286
23,587.310098765432,580.208444444444,14.6895834101589,17333.2674614347,540.449715692369,-0.140032702808095,0.0879003792708728,1.56812431296448,583.717776894068,581.600591132237,14.6895834101589,102.212715108396,54.5165750022655,0.0505075768891634,0.845885880363967,1.47878429970604,31,2.45348827595766e-05,-3.2928343868148e-10,5.50511720278943e-05,-5.98140650874123e-06,17199.51475,538.942444196315
24,600.349351145038,837.814160305344,24.6629781583719,8199.93697093583,367.880498686684,0.374379585884399,3.04533381313827,1.97046188444117,602.828346193211,835.702005536882,24.6629781583719,68.8233109297744,38.9788382101974,-0.791371690570676,0.82415728716928,-0.803070670861228,24,1.88862227886518e-06,-6.90544942786614e-10,2.8234624573309e-05,-2.44573800155787e-05,8159.4293,366.706503830959
25,641.149023508138,963.396311030741,14.7117069290367,31677.1421297109,730.336502311847,-2.72230020170817,0.0832271908042752,1.74727328506293,642.697643073326,961.718443136069,14.7117069290367,130.122309802068,78.6362403640331,2.70518161351212,0.796737468149765,-1.4123004933077,42,6.51839525856305e-06,-2.78873305003288e-10,2.44449895182139e-05,-1.14081990010878e-05,31088.6994,728.44953371026
26,690.018897196261,768.223345794393,26.5487546224601,25037.5108565117,714.491010855003,0.826962013227569,0.0170009520729487,-0.22615007966909,690.568073677515,767.492764942777,26.5487546224601,131.129775072276,62.2675802882899,3.10974804715054,0.880064250067536,0.569002978424676,45,-1.56744133161828e-06,-5.40764858040761e-10,2.17396762586979e-05,-2.48745589219345e-05,24954.85245,713.943624016121
27,674.446822033898,1149.41540254237,12.1441022255625,22414.2456526057,621.416240722606,2.41833761589299,3.08955575438856,-2.27325133865185,675.396542465594,1153.9614752099,12.1441022255625,97.6613087309164,78.8036979870844,0.0159088459282497,0.590677042997665,1.53475161559964,31,1.87438016741208e-05,-8.40886828197696e-11,3.9610492451974e-05,-2.12288910373239e-06,22375.10825,620.950024487275
28,657.284056939502,376.307846975089,8.62132890836949,33523.772884049,764.748587453133,-1.51601911293084,0.0301823837882661,0.227776100152963,666.939667509656,375.795239793831,8.62132890836949,145.490959608847,75.7217268273424,0.00802739068477032,0.853888137534745,-1.28031908514065,53,3.12653893434779e-05,3.706783178948e-10,5.58996389343314e-05,6.63113975262447e-06,33483.23495,764.469593184109
29,707.326559356137,98.966800804829,17.2158876375246,28555.5001210435,684.237778338495,0.253958217663916,3.08883487188807,1.0272904464463,704.125284702048,98.6270420165221,17.2158876375246,133.027013191737,70.0521119552266,0.00354524131804843,0.850112788234954,-0.776263302939726,40,1.92695777165331e-05,1.54887769624842e-10,3.39810989073776e-05,4.55805652568861e-06,28514.8116,683.636792496631
30,683.300368271955,639.939178470255,19.6569957795914,14473.3846588836,475.523910946645,0.175216473508218,0.100842106689471,0.844811190440336,685.906366582421,639.233035638682,19.6569957795914,82.6785703973393,57.1989770343972,0.0341151752666218,0.722066659059354,1.05163948434935,26,1.32004086052122e-05,-1.16266678397823e-09,4.97642920330265e-05,-2.33634748226021e-05,14399.4235,474.289378827194
31,746.05454,509.4705,12.3438157386575,27896.4774220026,669.392180423715,-0.569228834628003,0.0326517764101855,2.3961895205961,747.900241069429,512.486965522319,12.3438157386575,115.390476666468,80.3182390668624,0.0340160728177932,0.717987450607726,-1.28035223833628,38,1.89941396500008e-05,-1.45044098681459e-09,6.15525504269356e-05,-2.3564271126934e-05,27868.41145,668.934942547416
32,800.411062906725,197.518720173536,16.3394182260649,30157.6886147584,678.436657697965,1.00223571230705,3.08597684878779,1.34001755135263,801.985538457926,199.082229824448,16.3394182260649,108.863778646863,91.5868174524457,0.406130641790484,0.540572502359362,-0.744178478063234,42,1.65025675403215e-05,1.66522558829177e-10,2.67890721261222e-05,6.21606295452091e-06,30110.6806,677.853031967936
33,761.506121951219,951.614829268293,18.0483493037744,18738.6718378403,532.415757138814,-2.92669761474387,0.0738956072270605,-1.8594922104261,765.124381359586,948.487469449543,18.0483493037744,96.1715803369423,63.4656210709199,-0.0156839130228615,0.751335217179277,1.48052932543171,34,1.86820363228697e-06,-1.97961376004473e-12,4.20696368234234e-06,-4.7055641776839e-07,18680.4519,531.322797478015
34,805.110952380952,1133.69530864198,16.2418735069956,29550.8961687166,714.021924715402,-0.938867339544599,0.0385840651372627,-2.35835461363244,805.939291270424,1132.55112589924,16.2418735069956,124.937327608951,79.5991810931532,-1.56242444339035,0.770770506204912,1.4239111550313,39,6.04238565760484e-06,-1.88344722090139e-10,2.10375564310695e-05,-8.95278511585977e-06,29520.6483,713.647989894119
35,792.716774193548,357.762580645161,12.3145498280416,12181.9255126764,451.957771858787,1.2198511139493,3.10689222802839,-2.2346285333814,791.100253572727,354.697666485957,12.3145498280416,66.9516054630481,60.4293141439969,1.22015648430793,0.430517976825912,-0.907539566368812,31,1.83005136160207e-05,-8.01078618046226e-10,5.20049260371917e-05,-1.54038988051503e-05,12171.0633,451.80600968179
