Time (hpf),NetworkDensity,NetworkDensity_SEM,Area,Area_SEM,Intensity,Intensity_SEM
4.666666666666667,12.277163265306124,0.5355411346475792,645.023306122449,28.286883497518595,118.206,0.19546298864098596
4.833333333333333,20.48278431372549,0.9538885145997277,636.3267647058824,36.72390054640741,118.97286274509804,0.3023638763821976
5.0,22.529960784313722,0.967690420825523,651.9055294117646,38.009097536602255,119.59341176470589,0.32031875322531456
5.166666666666667,25.063576923076923,1.1001226033231475,654.5565961538462,37.55224839153606,120.2518076923077,0.36806603737935795
5.333333333333333,26.078,1.1323676230873192,706.2448043478262,41.84210486025805,120.40258695652174,0.3539617744258177
5.5,29.00665217391304,1.240325776987756,706.2448043478262,41.84210486025805,121.11691304347828,0.39860008147608433
5.666666666666667,32.59003921568628,1.3812123858665628,691.6944705882354,36.01282580087542,122.09386274509805,0.46704713791542135
5.833333333333333,35.33725999999999,1.5337122133289172,732.2063800000001,41.74452042171635,122.86146000000001,0.5443031404859399
6.0,37.758057692307695,1.7383297635453547,751.2105384615386,40.02911233554135,123.45246153846156,0.6089261939672994
6.166666666666667,38.17205555555555,1.7594281785044907,735.1877222222221,36.47890870485693,123.40029629629629,0.616849082674512
6.333333333333333,51.284979166666666,1.996060035279781,825.6464583333333,39.616265753743626,128.03289583333336,0.8477435758678227
6.5,53.93988888888888,2.1895865259838265,851.9156444444444,41.84502647503186,128.51459999999997,0.9178524008232312
6.666666666666666,55.540119047619044,2.1784695928072018,933.6434761904761,43.5070986548343,128.63064285714285,0.8791209266884144
6.833333333333334,60.79753488372093,2.359521746440499,936.5823953488373,45.30021183713862,130.21227906976745,0.9816199536849302
7.0,63.229121951219504,2.4106627492210224,970.3019024390245,49.283704212321204,130.91802439024391,1.0490623539838344
7.166666666666666,66.35275,2.3802803047470413,964.0309512195122,53.1749676252949,131.88425,1.088932446369567
7.333333333333334,69.34020930232558,2.297022849170278,923.4394444444447,58.33261247142952,132.74779069767445,1.0460441241114997
7.5,73.5560243902439,2.372921628085072,1007.1275238095238,59.576609584806725,134.77019512195122,1.213715843617519
7.666666666666666,78.74809090909092,2.0544499443412034,1010.212,55.25315162611445,135.38686363636364,1.1912341951108456
