, ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity,Time,Samplename,filename,Skew,Min,Max
388,14,559.52,131.943,121.81,137.885,102.09,39.208,18.17,144.882,0.675,100,2.158,0.463,0.914,4.666666667,K4K8 MO,07032023_Pos011_K4K8 MO,,,
389,15,467.619,128.165,121.012,137.795,93.335,36.698,16.224,143.963,0.675,100,2.262,0.442,0.921,5,K4K8 MO,07032023_Pos011_K4K8 MO,,,
390,1,6986.7,122.502,114.467,116.308,394.768,142.718,62.331,13.778,0.563,100,2.29,0.437,0.848,0.333333333,K4K8 MO,07032023_Pos012_K4K8 MO,,,
391,2,6191.974,122.936,115.193,116.103,353.812,130.424,60.448,15.499,0.622,100,2.158,0.463,0.875,0.666666667,K4K8 MO,07032023_Pos012_K4K8 MO,,,
392,3,5052.394,123.724,114.655,116.545,326.483,119.338,53.905,15.096,0.596,100,2.214,0.452,0.862,1,K4K8 MO,07032023_Pos012_K4K8 MO,,,
393,4,3818.379,125.067,113.328,116.83,295.625,106.146,45.802,14.99,0.549,100,2.318,0.431,0.84,1.333333333,K4K8 MO,07032023_Pos012_K4K8 MO,,,
394,5,2786.032,127.172,111.335,117.724,261.035,90.337,39.267,13.691,0.514,100,2.301,0.435,0.8,1.666666667,K4K8 MO,07032023_Pos012_K4K8 MO,,,
395,6,2206.98,129.252,110.75,118.31,239.638,79.194,35.482,12.696,0.483,100,2.232,0.448,0.776,2,K4K8 MO,07032023_Pos012_K4K8 MO,,,
396,7,1783.95,131.551,109.149,118.362,223.318,71.044,31.972,12.917,0.45,100,2.222,0.45,0.761,2.333333333,K4K8 MO,07032023_Pos012_K4K8 MO,,,
397,8,1510.865,133.671,107.909,118.915,215.656,63.024,30.523,13.475,0.408,100,2.065,0.484,0.729,2.666666667,K4K8 MO,07032023_Pos012_K4K8 MO,,,
398,9,1186.668,137.322,107.189,118.69,196.374,55.549,27.2,14.941,0.387,100,2.042,0.49,0.713,3,K4K8 MO,07032023_Pos012_K4K8 MO,,,
399,10,1032.101,140.06,106.928,118.196,176.851,49.481,26.558,13.9,0.415,100,1.863,0.537,0.724,3.333333333,K4K8 MO,07032023_Pos012_K4K8 MO,,,
400,11,861.392,143.466,106.8,118.221,164.052,44.251,24.785,11.973,0.402,100,1.785,0.56,0.711,3.666666667,K4K8 MO,07032023_Pos012_K4K8 MO,,,
401,12,805.506,144.472,106.634,118.215,157.336,41.507,24.709,8.399,0.409,100,1.68,0.595,0.705,4,K4K8 MO,07032023_Pos012_K4K8 MO,,,
402,13,686.026,147.272,106.276,118.432,144.755,38.423,22.733,8.071,0.411,100,1.69,0.592,0.705,4.333333333,K4K8 MO,07032023_Pos012_K4K8 MO,,,
403,14,642.962,147.217,107.075,117.368,140.303,35.593,23,18.889,0.41,100,1.547,0.646,0.727,4.666666667,K4K8 MO,07032023_Pos012_K4K8 MO,,,
404,15,618.808,145.269,107.613,117.669,132.337,32.456,24.275,18.423,0.444,100,1.337,0.748,0.741,5,K4K8 MO,07032023_Pos012_K4K8 MO,,,
405,1,6334.341,116.015,81.282,91.063,362.122,150.768,53.494,1.108,0.607,100,2.818,0.355,0.902,0.333333333,K4K8 MO,07032023_Pos016_K4K8 MO,,,
406,2,6368.936,116.004,79.684,91.148,342.82,137.133,59.134,0.095,0.681,100,2.319,0.431,0.918,0.666666667,K4K8 MO,07032023_Pos016_K4K8 MO,,,
407,3,5653.171,116.029,80.512,91.053,324.171,131.864,54.585,0.432,0.676,100,2.416,0.414,0.906,1,K4K8 MO,07032023_Pos016_K4K8 MO,,,
408,4,5133.959,116.066,80.354,91.417,314.599,129.413,50.511,179.683,0.652,100,2.562,0.39,0.894,1.333333333,K4K8 MO,07032023_Pos016_K4K8 MO,,,
409,5,4645.189,116.088,80.166,92.147,300.795,125.882,46.984,178.783,0.645,100,2.679,0.373,0.9,1.666666667,K4K8 MO,07032023_Pos016_K4K8 MO,,,
410,6,3964.84,116.137,80.55,92.71,279.499,118.269,42.684,179.044,0.638,100,2.771,0.361,0.907,2,K4K8 MO,07032023_Pos016_K4K8 MO,,,
411,7,3281.876,116.245,79.712,93.437,259.44,109.399,38.196,179.019,0.613,100,2.864,0.349,0.902,2.333333333,K4K8 MO,07032023_Pos016_K4K8 MO,,,
412,8,2668.581,116.355,79.017,93.455,239.457,101.597,33.443,178.91,0.585,100,3.038,0.329,0.886,2.666666667,K4K8 MO,07032023_Pos016_K4K8 MO,,,
413,9,2112.499,116.533,78.649,93.84,216.692,92.197,29.173,178.751,0.565,100,3.16,0.316,0.884,3,K4K8 MO,07032023_Pos016_K4K8 MO,,,
414,10,1730.856,116.641,77.001,93.729,200.091,84.148,26.19,179.053,0.543,100,3.213,0.311,0.874,3.333333333,K4K8 MO,07032023_Pos016_K4K8 MO,,,
415,11,1360.462,116.634,76.494,93.895,179.842,75.975,22.799,179.315,0.529,100,3.332,0.3,0.862,3.666666667,K4K8 MO,07032023_Pos016_K4K8 MO,,,
416,12,1161.881,116.639,75.812,93.696,169.605,70.63,20.945,178.871,0.508,100,3.372,0.297,0.867,4,K4K8 MO,07032023_Pos016_K4K8 MO,,,
417,13,1031.034,116.645,76.13,93.622,152.16,64.078,20.487,179.224,0.56,100,3.128,0.32,0.88,4.333333333,K4K8 MO,07032023_Pos016_K4K8 MO,,,
418,14,932.81,116.275,75.696,93.929,138.904,58.354,20.353,179.67,0.608,100,2.867,0.349,0.892,4.666666667,K4K8 MO,07032023_Pos016_K4K8 MO,,,
419,15,869.147,115.738,75.647,93.767,133.268,55.373,19.985,178.93,0.615,100,2.771,0.361,0.904,5,K4K8 MO,07032023_Pos016_K4K8 MO,,,
420,1,7822.976,120.426,88.889,94.524,464.979,166.772,59.726,168.547,0.455,100,2.792,0.358,0.759,0.333333333,K4K8 MO,07032023_Pos001_K4K8 MO,,,
421,2,7112.948,120.613,88.4,96.939,414.364,156.46,57.884,167.729,0.521,100,2.703,0.37,0.803,0.666666667,K4K8 MO,07032023_Pos001_K4K8 MO,,,
422,3,6212.21,120.71,87.478,94.906,389.414,150.83,52.441,168.218,0.515,100,2.876,0.348,0.784,1,K4K8 MO,07032023_Pos001_K4K8 MO,,,
423,4,4969.433,121.016,83.801,92.429,359.422,140.531,45.024,169.014,0.483,100,3.121,0.32,0.767,1.333333333,K4K8 MO,07032023_Pos001_K4K8 MO,,,
424,5,4186.11,121.388,81.18,91.493,331.088,129.929,41.022,169.229,0.48,100,3.167,0.316,0.77,1.666666667,K4K8 MO,07032023_Pos001_K4K8 MO,,,
425,6,3447.869,121.869,79.479,90.915,307.038,121.721,36.066,169.503,0.46,100,3.375,0.296,0.76,2,K4K8 MO,07032023_Pos001_K4K8 MO,,,
426,7,2825.987,122.449,79.623,91.399,278.687,113.664,31.656,170.269,0.457,100,3.591,0.279,0.775,2.333333333,K4K8 MO,07032023_Pos001_K4K8 MO,,,
427,8,2480.522,122.935,80.63,91.418,262.829,108.657,29.067,169.859,0.451,100,3.738,0.268,0.786,2.666666667,K4K8 MO,07032023_Pos001_K4K8 MO,,,
428,9,1884.261,123.746,79.356,91.491,238.691,95.9,25.017,171.273,0.416,100,3.833,0.261,0.757,3,K4K8 MO,07032023_Pos001_K4K8 MO,,,
429,10,1638.017,124.276,80.408,92.651,223.464,91.585,22.772,171.812,0.412,100,4.022,0.249,0.76,3.333333333,K4K8 MO,07032023_Pos001_K4K8 MO,,,
430,11,1449.97,124.98,79.6,92.068,205.053,83.344,22.151,171.326,0.433,100,3.763,0.266,0.762,3.666666667,K4K8 MO,07032023_Pos001_K4K8 MO,,,
431,12,1148.296,125.525,80.447,92.363,183.211,77.438,18.88,171.254,0.43,100,4.101,0.244,0.779,4,K4K8 MO,07032023_Pos001_K4K8 MO,,,
432,13,1021.602,126.254,80.875,92.006,172.872,72.761,17.877,170.316,0.43,100,4.07,0.246,0.756,4.333333333,K4K8 MO,07032023_Pos001_K4K8 MO,,,
433,14,927.543,126.99,80.617,92.244,166.206,69.538,16.983,170.1,0.422,100,4.094,0.244,0.718,4.666666667,K4K8 MO,07032023_Pos001_K4K8 MO,,,
434,15,839.186,126.575,81.302,92.11,159.133,66.174,16.147,169.608,0.416,100,4.098,0.244,0.733,5,K4K8 MO,07032023_Pos001_K4K8 MO,,,
