LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_167,0,0,9,0,0,0,0,0,8.0,0.0,8.0,168.89449351517212,852.5983377461152,257.5731865377221,0.0,24.17948461100373,66.04250833702243,8.151888907871754,25.32928319271945,20.15780934438051,54384.11111111111,193.4358768880298,176.74571091829714,0.873129102172378,21.111811689396514,0.8731291021723779,0.7201663138614415
Track_168,1,1,13,0,0,0,0,0,12.0,0.0,12.0,76.69173213718676,331.3331930098911,936.4871949987162,0.0,12.600337160579528,43.365143778839474,3.080042229944904,6.124892702628307,14.37523800341494,93663.07692307692,151.20404592695434,89.86550407285267,0.507206878407447,6.3909776780988965,0.5072068784074469,1.3032717748735951
Track_169,2,2,13,0,0,0,0,0,12.0,0.0,12.0,231.75830373092867,390.70852046127817,1335.3225894753305,0.0,23.37890979907103,116.31797003009576,2.6690098781242737,10.858094867647239,32.88502185812138,87730.46153846153,280.5469175888524,243.7429859323843,0.8260946358732606,19.31319197757739,0.8260946358732607,0.8876319159073547
Track_170,3,3,13,0,0,0,0,0,12.0,0.0,12.0,61.48326992858076,288.18409102057944,516.6339284059934,0.0,15.13423670638297,31.876866549424033,2.7758774060175413,17.945716986402033,10.141489383102794,104484.92307692308,181.61084047659563,68.88746664823283,0.33854405258646536,5.12360582738173,0.3385440525864653,1.579784669358155
Track_171,4,4,3,0,0,0,0,0,2.0,0.0,2.0,136.72576016286098,570.5241518010025,1342.6254227012876,0.0,75.37251622791406,133.21279140837456,17.53224104745356,133.21279140837456,81.79850161159915,33854.0,150.74503245582812,136.72576016286098,0.9070001043180304,68.36288008143049,0.9070001043180304,1.433153583568846
Track_172,5,5,13,0,0,0,0,0,12.0,0.0,12.0,39.48083257995601,114.20106535700864,689.989515532174,0.0,15.951928683622373,53.19996561300904,1.8465003204884494,8.448915492754617,18.38945025746946,69258.69230769231,191.42314420346847,47.574734056956935,0.20624900267018306,3.2900693816630007,0.20624900267018306,1.9643780028748026
Track_173,6,6,13,0,0,0,0,0,12.0,0.0,12.0,200.33642692108268,712.4496369099313,1422.1800031147718,0.0,21.481029270598057,121.57779003040613,1.1462437653969497,10.985503616914427,34.6971774952506,81795.61538461539,257.7723512471767,213.2018621475687,0.777183534043886,16.694702243423556,0.777183534043886,1.2143440696060581
Track_174,7,7,13,0,0,0,0,0,12.0,0.0,12.0,75.51403325262906,862.5166712306328,1297.3849229959437,0.0,21.816566289186255,108.91540543409887,2.159119827194225,9.969072635394173,32.044260186880756,59943.692307692305,261.79879547023506,108.91540543409887,0.2884430125699893,6.2928361043857555,0.2884430125699893,1.1610489669026351
