 ,Mean,%Area,Slice,microns
1,179.464,47.429,1,0.000
2,179.933,46.834,2,3.013
3,195.393,51.295,3,6.027
4,205.613,52.824,4,9.040
5,209.234,52.896,5,12.054
6,217.609,53.886,6,15.067
7,234.056,56.636,7,18.080
8,255.906,59.857,8,21.094
9,295.892,69.944,9,24.107
10,311.048,67.757,10,27.121
11,331.452,69.904,11,30.134
12,346.612,70.553,12,33.147
13,366.302,73.911,13,36.161
14,381.747,73.841,14,39.174
15,404.702,76.400,15,42.188
16,429.252,79.277,16,45.201
17,455.775,78.616,17,48.214
18,491.233,80.011,18,51.228
19,523.558,78.223,19,54.241
20,565.889,81.016,20,57.255
21,606.184,81.586,21,60.268
22,654.135,85.256,22,63.281
23,704.190,92.111,23,66.295
24,729.300,88.249,24,69.308
25,756.868,86.526,25,72.322
26,800.618,91.727,26,75.335
27,832.228,92.035,27,78.348
28,863.146,94.178,28,81.362
29,877.781,92.981,29,84.375
30,888.288,94.383,30,87.389
31,880.277,91.400,31,90.402
32,887.234,94.157,32,93.415
