PIVlab_0001,PIVlab_0002,PIVlab_0003,PIVlab_0004,PIVlab_0005,PIVlab_0006,PIVlab_0007,PIVlab_0008
"[ 1.07153553  1.09208169  1.0929279   1.02391869  0.94308626  1.0097907
  1.08776967  1.08880699  1.0364092   0.99265128  0.90573798  0.84261644
  0.79459434  0.68541533  0.58402232  0.51944621  0.59049549  0.50469512
  0.21506595  0.07162912 -0.00570546 -0.05907713 -0.27528943 -0.26302815
 -0.32585683 -0.46152699 -0.59306744 -0.62658239 -0.6771947  -0.6996223
 -0.74291892 -0.81341804 -0.82319843 -0.86399322 -0.93274408 -0.86663352
 -0.83784172 -0.80812801 -0.84473639 -0.93814335 -0.84446566 -0.851798
 -0.8333412  -0.73338017 -0.79977384 -0.9044801  -1.03456765 -1.04841126
 -1.1008361  -1.10698623 -1.033948   -1.28704737 -1.44149147 -1.36677236
 -1.52045562 -1.5990219  -1.67457807 -1.83289757 -1.79448679 -1.89667732
 -1.95647976]","[ 1.75857834  1.83596795  1.80025719  1.73190344  1.72171043  1.77807971
  1.83162168  1.93430243  1.90607575  1.90833115  1.87292302  1.81118502
  1.79745727  1.77543694  1.79813207  1.67592473  1.5326238   1.59089883
  1.62338725  1.40557727  1.20753476  1.05954209  0.98133188  0.8449759
  0.68761439  0.55459213  0.63362633  0.59409575  0.60786895  0.67700045
  0.74419205  0.63008921  0.57008054  0.51252073  0.44288031  0.38417334
  0.31242359  0.3660423   0.31925871  0.28788525  0.19904851  0.18983707
  0.23760255  0.29732989  0.14701864  0.07994685 -0.04682448 -0.11478827
 -0.08857715 -0.10406057 -0.12589202 -0.16545679 -0.20898826 -0.32262653
 -0.50465843 -0.41177337 -0.37866105 -0.38392085 -0.43579035 -0.34662775
 -0.45171111]","[-4.13928231e-02 -6.98350177e-02 -2.60927973e-02 -2.53083467e-03
 -4.26551366e-02 -3.68844589e-02 -4.95859423e-02 -1.49606018e-01
 -1.36417561e-01 -8.62029033e-04  4.10336980e-02  2.91466626e-02
  6.76907978e-03  1.43200181e-01  2.02628965e-01  2.23930834e-01
  2.56962684e-01  2.32295675e-01  1.20569331e-01  4.77981185e-02
 -6.94125827e-02 -9.20977690e-02 -1.38543042e-01 -1.98670561e-01
 -3.26110995e-01 -3.22831208e-01 -4.40070930e-01 -5.00290063e-01
 -5.61039410e-01 -5.85857498e-01 -5.95419796e-01 -6.27499451e-01
 -6.91423755e-01 -7.17262181e-01 -7.84497387e-01 -8.44411169e-01
 -9.08720739e-01 -1.03767789e+00 -1.10956626e+00 -1.10786255e+00
 -1.14292269e+00 -1.19661110e+00 -1.27284397e+00 -1.21295412e+00
 -1.27840568e+00 -1.35582412e+00 -1.49350890e+00 -1.61617378e+00
 -1.64554794e+00 -1.64872246e+00 -1.75838407e+00 -1.90472427e+00
 -2.07955464e+00 -2.26407125e+00 -2.28990408e+00 -2.37962066e+00
 -2.51133057e+00 -2.55075812e+00 -2.69847806e+00 -2.66373750e+00
 -2.56230600e+00]","[ 0.55129937  0.5377817   0.41655958  0.33026875  0.37706657  0.45146385
  0.46780856  0.35244143  0.39502668  0.40514887  0.42151153  0.46854129
  0.4956561   0.3491945   0.31050896  0.32303755  0.31858404  0.26974423
  0.18042816  0.08434537 -0.03363091  0.0104918  -0.07573893 -0.10715457
 -0.28755505 -0.30379618 -0.39558913 -0.44615842 -0.43684708 -0.47637341
 -0.54580597 -0.5579451  -0.52834754 -0.6074827  -0.64137875 -0.69807873
 -0.79164449 -0.82510375 -0.97624239 -1.11469585 -1.20455473 -1.26138325
 -1.30227047 -1.38612561 -1.33495322 -1.25211991 -1.23524445 -1.43773435
 -1.46312006 -1.50021369 -1.63751514 -1.63233263 -1.66115905 -1.748973
 -1.85556978 -1.83301707 -1.91418108 -1.91692711 -1.94407417 -2.07235163
 -2.01988882]","[ 2.09701118  2.20286231  2.17690689  2.15973579  2.06998222  1.98949736
  1.86230881  1.72362709  1.80684793  1.91508475  1.79367003  1.94011918
  1.93928563  1.89259749  1.78834831  1.70181018  1.54250415  1.4459059
  1.36979919  1.22836892  1.13771924  1.17663199  1.07055551  0.96652417
  0.96314235  0.89790121  0.78127497  0.74563981  0.74788766  0.66923355
  0.65308193  0.60700836  0.43461025  0.36675802  0.32873991  0.31364025
  0.33343503  0.255663    0.27891388  0.21700661  0.13110666  0.12260972
  0.05364198  0.03490132  0.13839509  0.11460665  0.0283852  -0.02358777
  0.04030299 -0.01780252 -0.12960676 -0.25363742 -0.42060155 -0.58742833
 -0.57105742 -0.56888219 -0.74184523 -0.80836411 -0.84418677 -0.91387281
 -0.64219178]","[ 0.48153503  0.44904164  0.2991526   0.306135    0.29770709  0.36403183
  0.42953252  0.43682608  0.36711109  0.36343562  0.33028779  0.40644381
  0.50796555  0.46439731  0.39420242  0.30744971  0.26425438  0.276102
  0.06895703 -0.02611672 -0.0934174  -0.12398468 -0.26329112 -0.31496424
 -0.46869963 -0.5178681  -0.5777959  -0.66686588 -0.71233715 -0.8348569
 -0.90995022 -0.92731267 -0.84839785 -0.89648317 -1.00938464 -1.11162225
 -1.15091602 -1.21417627 -1.19134822 -1.28173625 -1.37301457 -1.4120186
 -1.45765068 -1.41265332 -1.40455953 -1.41532692 -1.45630289 -1.51573831
 -1.55845602 -1.58080154 -1.61593764 -1.59107089 -1.7342158  -1.93139531
 -1.89233342 -1.91089085 -2.06130152 -2.18296889 -2.20005231 -2.12750564
 -2.07933382]","[ 0.39116973  0.26024105  0.19575875  0.38157252  0.45847463  0.419795
  0.39317727  0.39176076  0.26965362  0.17273189  0.17043033  0.113815
  0.03470005  0.01198343  0.0160634   0.13365154  0.11360609  0.00744851
 -0.08947325 -0.16324292 -0.45453891 -0.63959279 -0.59914516 -0.66550687
 -0.7314039  -0.71315248 -0.79385258 -0.85446308 -0.89857944 -1.00007877
 -1.11466932 -1.12905921 -1.12219775 -1.08977188 -1.00975409 -1.00352958
 -1.11504802 -1.01844751 -1.1158181  -1.25057414 -1.24486782 -1.18427452
 -1.21576289 -1.32293335 -1.39466503 -1.42077248 -1.37815544 -1.39913534
 -1.44300687 -1.43958248 -1.46078129 -1.50885325 -1.58515502 -1.57657323
 -1.6543284  -1.89764531 -1.97086878 -1.93603918 -1.93335509 -2.04813329
 -2.01638137]","[ 1.46184403  1.33448404  1.29386524  1.30968324  1.32245291  1.32490731
  1.34694633  1.39972172  1.44413159  1.57027719  1.59923981  1.64121188
  1.51372717  1.63198524  1.72818442  1.67219949  1.65921665  1.48301009
  1.42417449  1.46538229  1.47682182  1.47485797  1.39253934  1.12678033
  0.96219523  1.00086206  1.00367384  1.06210721  0.98933331  0.86284436
  0.78855505  0.67934666  0.56659962  0.47591619  0.40832111  0.44804501
  0.42967876  0.32683843  0.26490779  0.21692105  0.12649783 -0.01048706
  0.04465035  0.06998154  0.02615183 -0.03193708 -0.1362142  -0.31924061
 -0.50127604 -0.55592885 -0.57334113 -0.58080091 -0.64543204 -0.80187349
 -0.99966927 -1.13023604 -1.22470806 -1.32231694 -1.35751667 -1.41308136
 -1.20530624]"
"[0.36338738 0.47800856 0.55318591 0.43244337 0.49962895 0.40991117
 0.42956073 0.45411743 0.4537193  0.5056373  0.473391   0.40416459
 0.37082092 0.37402658 0.38630309 0.49395598 0.57019561 0.76540746
 0.82493535 0.74511235 0.78655375 0.75723899 0.65307989 0.55739826
 0.50138451 0.53600727 0.49124267 0.54162633 0.54104537 0.4598805
 0.49198088 0.5151748  0.43058555 0.42911763 0.44673831 0.40781791
 0.41930404 0.45019764 0.53429628 0.60445913 0.51428735 0.58395907
 0.74991335 0.74766123 0.76184516 0.8445419  0.81538994 0.75021234
 0.80079795 0.77755962 0.68228404 0.59090297 0.51317998 0.67463772
 0.6740743  0.56885522 0.56012022 0.53829613 0.5336684  0.53914424
 0.53089623]","[0.56444489 0.45283804 0.41492005 0.42498317 0.36563377 0.32640411
 0.46247918 0.44301566 0.50628014 0.50663764 0.50203579 0.50560451
 0.54140301 0.60620589 0.70698043 0.64745389 0.58115282 0.63515295
 0.55779884 0.56561106 0.54524833 0.56963171 0.52241308 0.45528018
 0.46499628 0.5000449  0.36246648 0.43140833 0.38759691 0.38838256
 0.43176603 0.47345722 0.47795409 0.41568249 0.40716714 0.45427311
 0.41366381 0.44210105 0.52333529 0.63108775 0.49349428 0.39677157
 0.36585381 0.37545939 0.39644841 0.48014228 0.52187584 0.57892215
 0.65602428 0.52715462 0.4589749  0.51001895 0.53011559 0.64610517
 0.72447002 0.59722096 0.54461682 0.54235459 0.53023678 0.57529893
 0.48068499]","[0.50541879 0.4535829  0.44623227 0.51991362 0.51401879 0.44242471
 0.60421009 0.71823191 0.65881829 0.71302939 0.52155229 0.37695934
 0.37483029 0.40815671 0.50756843 0.54701557 0.41790434 0.46505551
 0.56202091 0.65400449 0.62519288 0.79431319 0.84145429 0.6902111
 0.62300625 0.61959657 0.5470446  0.57566915 0.68601789 0.63903126
 0.64312266 0.66287682 0.5680959  0.55935783 0.5906874  0.68341133
 0.68690078 0.64598776 0.5047377  0.48452877 0.48108287 0.4269371
 0.41828766 0.39100394 0.47691226 0.41089066 0.40143568 0.45433671
 0.56966192 0.54713036 0.51785977 0.72415047 0.66979494 0.57146571
 0.50587193 0.47566605 0.53549866 0.62726717 0.48412923 0.4101197
 0.5213427 ]","[0.53032438 0.52464282 0.39574407 0.32815919 0.35155649 0.31171785
 0.36189375 0.50128845 0.47715015 0.46033204 0.52370398 0.45503257
 0.50544868 0.47312674 0.41097753 0.42066157 0.44044953 0.54836633
 0.62346004 0.61781516 0.6087036  0.68828194 0.69668439 0.72580445
 0.64408011 0.59736254 0.47266803 0.41588005 0.48682315 0.55877472
 0.57469501 0.63816676 0.55839286 0.59589776 0.61034836 0.64525152
 0.65500859 0.6194447  0.67682382 0.73568069 0.77825503 0.93192906
 0.86128042 0.90608664 0.88481172 0.76752081 0.70226997 0.66340154
 0.6831538  0.713288   0.771415   0.71635325 0.65701499 0.61736825
 0.52489982 0.48089647 0.46352273 0.38337181 0.36458294 0.36478214
 0.46024448]","[0.45249235 0.39151075 0.36878688 0.33891551 0.40648534 0.42619501
 0.56107934 0.62866898 0.6245114  0.54459967 0.56291733 0.51641234
 0.5005378  0.48484121 0.58342851 0.66424068 0.69216614 0.65839024
 0.68198441 0.74668161 0.88528497 0.82860624 0.70883495 0.65545837
 0.62569815 0.52399124 0.53501553 0.65401793 0.66408956 0.58121847
 0.4656583  0.52403683 0.61688623 0.62744671 0.59778242 0.61548064
 0.65443972 0.63604205 0.68002266 0.70812213 0.67634711 0.62867751
 0.72912025 0.79194359 0.79803654 0.76188789 0.65821311 0.62451741
 0.65834584 0.71273065 0.66560338 0.79336005 0.94819466 0.94681266
 0.99392807 0.89447461 0.91301679 0.82729036 0.75119634 0.73213019
 0.69930051]","[0.5171133  0.7594275  0.73661691 0.69165178 0.56597928 0.52529681
 0.55312918 0.61159945 0.57127942 0.49110245 0.57127931 0.56741215
 0.51772977 0.58386164 0.72799622 0.73069059 0.66734926 0.61273403
 0.63531412 0.63449432 0.71902382 0.65029739 0.75578257 0.82464063
 0.77694405 0.67773138 0.67477772 0.70068921 0.790102   0.75914153
 0.76033892 0.82596607 0.69584929 0.64612235 0.64317844 0.57935962
 0.54993704 0.4750149  0.53212228 0.61044973 0.52151234 0.42636149
 0.42508512 0.48528518 0.52279066 0.57476081 0.52861833 0.48204291
 0.39750924 0.46651965 0.46684371 0.4205384  0.469401   0.5548031
 0.54844459 0.66514803 0.53869032 0.54419638 0.55000919 0.56167697
 0.73241434]","[0.58350436 0.48525242 0.58623499 0.30793896 0.46172389 0.43167677
 0.41210094 0.42193035 0.44406311 0.51288508 0.46904507 0.44483052
 0.42109949 0.4602676  0.4009795  0.54083809 0.5543535  0.49047758
 0.56403377 0.50482938 0.66836613 0.5760613  0.71179359 0.70409304
 0.7344725  0.7384642  0.67512361 0.63409272 0.53047358 0.49370609
 0.42211895 0.38579724 0.36245336 0.41984877 0.39268933 0.34040165
 0.37442053 0.45891338 0.35017985 0.32814119 0.26785601 0.32388135
 0.44607167 0.44823386 0.38561901 0.41705031 0.46153141 0.48805969
 0.46943263 0.52807048 0.55474896 0.66429882 0.80581191 0.67425502
 0.55846451 0.48081961 0.45217864 0.58783361 0.69031272 0.67611819
 0.62420955]","[0.39114879 0.47189075 0.5131901  0.39864884 0.35691908 0.40635421
 0.33519393 0.37421649 0.36666315 0.50403762 0.4587093  0.5751435
 0.59073066 0.43937097 0.4185447  0.41741755 0.33876811 0.51791274
 0.58747221 0.64375458 0.700717   0.74976531 0.69114775 0.68865825
 0.70803417 0.58368588 0.71308979 0.7263001  0.63468197 0.62188453
 0.57687545 0.4909648  0.52222172 0.49348497 0.45381902 0.43898507
 0.44386548 0.48404259 0.51008292 0.51338801 0.53152347 0.39304422
 0.39435294 0.48396595 0.56298062 0.53469617 0.58734973 0.48799313
 0.48498964 0.49115129 0.41183674 0.40563015 0.47872723 0.47070729
 0.59487683 0.61252948 0.61983816 0.56451007 0.64024537 0.72442135
 0.78452537]"
