PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 5, filenames: A:[5]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[6]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.4727515578,1.873383999,1
47,65,0.09962594509,0.1488943696,1
47,97,0.2177284956,-0.2141202688,1
47,129,0.1267706752,0.249878943,1
47,161,0.1577865779,0.5299458504,1
47,193,-0.1019303426,0.366671145,1
47,225,-0.1147173643,0.1287068129,1
47,257,0.02871537954,-0.2351290584,1
47,289,0.03936858475,-0.08434438705,1
47,321,-0.07949370146,0.3254871368,1
47,353,0.7703214884,0.7479403019,1
47,385,0.7709729671,0.4291789532,1
47,417,-1.29045248,0.3223875761,1
47,449,-2.69929266,0.1228275299,1
47,481,-1.754523754,0.02851521969,1
47,513,-0.3833341599,0.228308022,1
47,545,-1.888255119,0.2606861591,1
47,577,-5.15400362,-1.976098537,1
47,609,0.5081868172,0.783976078,1
47,641,5.548065186,10.90998077,1
47,673,45.38093948,2.274518967,1
47,705,66.76545715,14.67592049,1
47,737,20.95084381,12.45964146,1
47,769,26.51290512,8.181750298,1
47,801,23.62854767,5.024819374,1
47,833,-0.3133869171,0.7101259232,1
47,865,6.513272762,-3.324118376,1
47,897,-4.326963425,-2.036604404,1
47,929,-7.103321075,15.09066868,1
47,961,9.302717209,-15.78369045,1
47,993,24.94457817,14.03142738,1
47,1025,42.31962967,-6.54014492,1
47,1057,42.51706314,-4.242793083,1
47,1089,22.3893795,4.050097466,1
47,1121,20.8162384,4.960246086,1
47,1153,21.81369019,4.568549633,1
47,1185,24.5421524,1.470738411,1
47,1217,27.88177872,-2.841944695,1
47,1249,25.40074539,-9.02400589,1
47,1281,35.77988815,-24.37909317,1
47,1313,22.68210411,-4.532753944,1
47,1345,24.13027573,-2.293419838,1
47,1377,20.80743027,-3.279523849,1
47,1409,16.31027603,-5.008771896,1
47,1441,13.24666786,-6.699576378,1
47,1473,13.73527908,-12.22661781,1
47,1505,14.99345398,-11.70865631,1
47,1537,14.53295898,-9.623354912,1
47,1569,17.38185883,-9.24273777,1
47,1601,17.31098747,-12.15505409,1
47,1633,13.51931095,-12.22703171,1
47,1665,10.45017433,-11.81842995,1
47,1697,10.35893917,-10.5123806,1
47,1729,11.7044363,-9.631788254,1
47,1761,11.27683735,-8.916532516,1
47,1793,3.539078712,-2.376075745,1
47,1825,24.63903809,-12.02746773,1
47,1857,-0.1903743744,-0.797454834,1
47,1889,-4.259770393,-2.631121635,1
47,1921,-6.653325558,-2.878558636,1
47,1953,-2.046182632,-1.06976223,1
47,1985,13.6422596,-12.37722874,1
47,2017,16.68995285,-1.655505657,1
79,33,-0.1389941871,0.8346891999,1
79,65,0.009247303009,0.00993514061,1
79,97,0.1480613947,-0.1634150147,1
79,129,0.2267343551,0.3018956482,1
79,161,0.06730185449,0.3444488049,1
79,193,-0.2953633964,0.03307890519,1
79,225,-0.4066251814,-0.04937600717,1
79,257,-0.12003012,-0.05448662117,1
79,289,-0.1053782403,-0.1091828346,1
79,321,-0.4499485493,-0.04564902186,1
79,353,0.0694013834,0.01640719175,1
79,385,0.1108034849,-0.1871349216,1
79,417,-0.0008754134178,-0.3162096143,1
79,449,-0.3490304947,-0.1598795056,1
79,481,0.0382143259,0.2602186203,1
79,513,6.932527065,-6.502414703,1
79,545,-3.618309259,3.977694511,1
79,577,-1.133528113,0.3796181083,1
79,609,0.1247330531,0.04292908311,1
79,641,-0.981842041,-0.1409654617,1
79,673,4.155414581,0.9822380543,1
79,705,6.362543106,2.324462414,1
79,737,5.531624794,2.819839239,1
79,769,18.27676201,5.141850471,1
79,801,14.16464806,0.7005038261,1
79,833,0.3865879774,0.7557374835,1
79,865,-2.417974949,-0.8000833392,1
79,897,-1.71525979,19.07793236,1
79,929,12.59063625,16.74836922,1
79,961,2.812085152,-14.14255714,1
79,993,8.725170135,-16.09344101,1
79,1025,23.75214577,12.50424004,1
79,1057,38.52117157,-4.802892208,1
79,1089,21.54243851,7.54248333,1
79,1121,22.07683945,6.269716263,1
79,1153,23.5166378,3.179970741,1
79,1185,24.68903732,0.02526807785,1
79,1217,24.01545906,-3.27895999,1
79,1249,30.11348152,11.69067955,1
79,1281,41.30511475,-9.360420227,1
79,1313,22.84994888,-3.019887924,1
79,1345,23.03607368,-4.159931183,1
79,1377,18.96458626,-6.145412445,1
79,1409,17.92225838,-6.472682953,1
79,1441,17.01268005,-6.53852272,1
79,1473,15.94263268,-10.30016327,1
79,1505,15.26088715,-12.06178856,1
79,1537,15.27345467,-13.19684696,1
79,1569,17.48404312,-13.10573387,1
79,1601,17.09801865,-12.7249136,1
79,1633,14.56212425,-11.91541195,1
79,1665,12.28852272,-9.773895264,1
79,1697,11.27741718,-9.218402863,1
79,1729,10.35094929,-8.0408535,1
79,1761,11.24868488,-6.917091846,1
79,1793,10.71588707,-5.567322254,1
79,1825,9.453223228,2.477822304,1
79,1857,19.47592545,8.804505348,1
79,1889,20.86753464,8.205387115,1
79,1921,0.2364792824,-6.05389452,1
79,1953,-1.039470196,0.5373330116,1
79,1985,-0.805891037,-0.2145500183,1
79,2017,-2.132892609,-6.639221191,1
111,33,-0.4163168669,0.3269471526,1
111,65,-0.1819683015,0.1951483935,1
111,97,0.1711498499,0.1196484119,1
111,129,0.2011599541,-0.02608074993,1
111,161,0.08907109499,-0.0003305450082,1
111,193,-0.07879986614,-0.1951585859,1
111,225,-0.2256761491,-0.04764412344,1
111,257,-0.1018891633,0.08026904613,1
111,289,-0.02341720089,0.002580203116,1
111,321,-0.223231867,-0.1180622578,1
111,353,-0.1850899607,-0.1861771941,1
111,385,-0.1088926718,-0.432566911,1
111,417,0.1772912741,-0.2758885026,1
111,449,0.611811161,-0.06615200639,1
111,481,0.8435069919,0.01363772154,1
111,513,0.8979271054,0.1237244308,1
111,545,0.6421804428,0.4263221622,1
111,577,0.4821981192,0.6127730608,1
111,609,0.1644043326,0.05053715408,1
111,641,-1.392725945,-0.8125399351,1
111,673,-0.5084986687,-0.5098936558,1
111,705,-8.665802002,-2.867238045,1
111,737,14.60783958,5.389554977,1
111,769,17.65127945,6.338047028,1
111,801,15.50387001,4.285723209,1
111,833,11.71777153,-3.571755171,1
111,865,-0.8578020334,-0.5319316983,1
111,897,1.65169239,0.555913806,1
111,929,10.52418995,-17.95702553,1
111,961,29.49981499,3.406228304,1
111,993,32.87786865,2.318225384,1
111,1025,25.96694946,-1.359715223,1
111,1057,24.77088928,0.3167145252,1
111,1089,34.75624847,17.86250496,1
111,1121,23.82069969,4.825174809,1
111,1153,25.25982857,1.916626215,1
111,1185,26.79122543,-1.357908487,1
111,1217,25.76406288,-3.981120586,1
111,1249,21.7073288,14.84290791,1
111,1281,24.19948387,-6.424167633,1
111,1313,22.88823509,-7.370910645,1
111,1345,23.37399292,-6.393942356,1
111,1377,23.15090179,-7.260098457,1
111,1409,18.54932785,-6.282849312,1
111,1441,18.81367302,-8.198707581,1
111,1473,19.32149887,-11.92546082,1
111,1505,15.23321533,-14.21516418,1
111,1537,15.19466972,-14.59699821,1
111,1569,16.55966568,-13.94998741,1
111,1601,17.32679176,-13.03312969,1
111,1633,15.71170521,-11.87186527,1
111,1665,13.79310513,-10.6087532,1
111,1697,14.97402096,-5.129582405,1
111,1729,12.9477129,-7.103154182,1
111,1761,11.94959641,-6.337260246,1
111,1793,11.3239584,-3.706453323,1
111,1825,5.455623627,-5.672214508,1
111,1857,1.906713009,-7.441184998,1
111,1889,0.7591557503,-5.047425747,1
111,1921,1.125807762,-0.6083402634,1
111,1953,4.639465809,-1.290115833,1
111,1985,4.411672115,-5.653651237,1
111,2017,1.044250011,-8.642946243,1
143,33,-0.2919021249,0.1506934166,1
143,65,-0.1933400929,0.07922010124,1
143,97,0.06634894013,-0.1119806767,1
143,129,0.08365620673,-0.1527678818,1
143,161,0.1010041013,-0.1257150471,1
143,193,0.3110028505,-0.1772575378,1
143,225,0.185003072,0.05608767271,1
143,257,-0.07233508676,0.2949168682,1
143,289,0.2024910599,0.0872490406,1
143,321,0.03126698732,-0.3020409048,1
143,353,-0.2168249488,-0.1504917741,1
143,385,-0.1544965506,-0.4362391829,1
143,417,-0.05792567134,-0.1283807755,1
143,449,0.3065811694,-0.03219509125,1
143,481,0.4943466783,0.002863377333,1
143,513,0.5570375919,0.3554176092,1
143,545,0.6220304966,0.1654097438,1
143,577,0.3812233806,0.1636475027,1
143,609,0.04480811954,-0.1908068061,1
143,641,-0.8036994934,-0.4898998141,1
143,673,-0.7194576263,-0.647834301,1
143,705,-23.72883606,-4.257957458,1
143,737,-10.46046829,-8.832961082,1
143,769,18.36117744,9.117376328,1
143,801,14.06365204,1.127607822,1
143,833,14.07419395,0.6366848946,1
143,865,6.207878113,2.523824453,1
143,897,24.54605865,11.24665165,1
143,929,15.13684273,-16.63153839,1
143,961,12.46815681,22.41786003,1
143,993,1.365961075,-5.44003582,1
143,1025,29.03168869,3.361418724,1
143,1057,30.67907524,3.034930706,1
143,1089,23.52231598,1.680472612,1
143,1121,25.65893555,1.904887438,1
143,1153,27.26869202,-0.62124753,1
143,1185,27.96210289,-2.426774025,1
143,1217,24.6012764,16.96948051,1
143,1249,22.53147125,14.35851669,1
143,1281,30.87212181,-5.033362865,1
143,1313,28.03280449,-8.956029892,1
143,1345,26.2399559,-7.962023735,1
143,1377,25.2882576,-8.968406677,1
143,1409,24.01994133,-10.24092293,1
