PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 2, filenames: A:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[3]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.6655905247,3.488730431,1
47,65,-0.9293334484,-0.04951691628,1
47,97,-0.4031560421,-0.6700546741,1
47,129,0.2751426697,-0.2167604864,1
47,161,0.5707577467,0.4746779799,1
47,193,0.4835855365,0.6038599014,1
47,225,-0.2077352852,-0.07751649618,1
47,257,-0.7801098228,0.6575875282,1
47,289,-0.1900687814,-0.1295185089,1
47,321,0.5460318327,0.6432552338,1
47,353,-0.1640250087,1.812217712,1
47,385,-0.9422875047,-3.069117546,1
47,417,0.8829733133,-1.300868988,1
47,449,-0.1905167103,-0.2605209351,1
47,481,-10.66678333,24.21146584,1
47,513,0.362159729,21.28456879,1
47,545,10.74623585,59.27976227,1
47,577,-0.05575370789,73.83274841,1
47,609,19.19636726,51.254776,1
47,641,-6.382309914,56.44165802,1
47,673,19.41030121,83.03820801,1
47,705,18.73005867,60.23806763,1
47,737,35.07839966,72.3133316,1
47,769,27.07176018,24.31668472,1
47,801,15.82008743,45.23870087,1
47,833,24.07495117,0.2118968964,1
47,865,19.40003395,3.063001633,1
47,897,38.37706375,13.86502743,1
47,929,25.50401115,-4.10977459,1
47,961,13.26592255,-1.678871155,1
47,993,13.72441673,-55.47972107,1
47,1025,26.49220467,-41.21757126,1
47,1057,26.61798286,-29.06978989,1
47,1089,8.405916214,-31.94362068,1
47,1121,32.44491577,-39.79381561,1
47,1153,25.78754234,-40.49702454,1
47,1185,44.03489304,-26.77036095,1
47,1217,25.17071342,-10.2269249,1
47,1249,52.56682587,-16.75112152,1
47,1281,47.93523026,-10.78038979,1
47,1313,53.3122673,-21.74225616,1
47,1345,61.23988724,-9.043451309,1
47,1377,40.49760056,-10.72449875,1
47,1409,47.74715424,-31.0903511,1
47,1441,70.90306091,-38.36909103,1
47,1473,75.17329407,-43.11019897,1
47,1505,61.23155975,-30.01125717,1
47,1537,84.81487274,-27.03297997,1
47,1569,96.91442871,-30.13646507,1
47,1601,97.28163147,-32.31861877,1
47,1633,85.66958618,-36.16253281,1
47,1665,60.3126564,-5.394102097,1
47,1697,63.33628845,-40.27198792,1
47,1729,55.64107132,-8.442979813,1
47,1761,44.98582458,-38.96716309,1
47,1793,27.5747261,-8.895950317,1
47,1825,18.95009613,-9.313669205,1
47,1857,31.45846176,-34.02674866,1
47,1889,42.01704407,1.095231056,1
47,1921,34.12248993,-0.8614311218,1
47,1953,13.63092804,-11.3360157,1
47,1985,25.08123398,-12.36265755,1
47,2017,5.172541618,0.324883461,1
79,33,0.221367836,1.745596051,1
79,65,-0.4313162267,0.04650720954,1
79,97,-0.1010831594,-0.1873483658,1
79,129,0.2804125547,-0.3109830022,1
79,161,0.3872831166,-0.2793465555,1
79,193,0.2481173128,0.322915405,1
79,225,0.04813157767,0.4019570947,1
79,257,-0.2230120599,0.06867218018,1
79,289,0.3619983792,0.18557024,1
79,321,0.7210166454,0.857763052,1
79,353,-0.4960976243,-0.6320877075,1
79,385,-0.7687348127,0.02527320385,1
79,417,2.021484852,2.301498413,1
79,449,0.471855402,0.7856464386,1
79,481,21.96178436,23.97135925,1
79,513,4.89827013,30.7204113,1
79,545,4.307467461,42.16004181,1
79,577,7.85395956,67.32467651,1
79,609,1.840847015,52.27727509,1
79,641,12.85385323,69.80574036,1
79,673,13.46736526,73.62229919,1
79,705,3.265117645,66.65429688,1
79,737,9.970899582,36.4139328,1
79,769,11.13405228,22.46339417,1
79,801,19.727211,27.46361542,1
79,833,36.65248871,21.52219582,1
79,865,40.51676178,10.72068119,1
79,897,41.25514984,3.35703373,1
79,929,10.25275993,8.487202644,1
79,961,16.36759186,-27.14053917,1
79,993,21.30033875,-18.13174057,1
79,1025,37.26957703,-24.50767136,1
79,1057,36.17208099,-23.92559814,1
79,1089,33.59267426,-22.16901779,1
79,1121,25.99052811,-11.83782959,1
79,1153,28.66749954,-9.504989624,1
79,1185,43.0379715,-26.20084763,1
79,1217,17.99758148,-12.25518608,1
79,1249,47.4062233,-14.96792984,1
79,1281,23.13225174,-30.41793442,1
79,1313,43.20908737,-20.04691505,1
79,1345,56.9477005,-6.227069855,1
79,1377,51.26056671,-7.801540375,1
79,1409,55.27911377,-41.66466522,1
79,1441,62.37633896,-25.26508522,1
79,1473,67.32290649,-26.3699894,1
79,1505,79.24119568,-10.60285568,1
79,1537,87.94007874,-26.53217316,1
79,1569,69.57401276,-16.9971981,1
79,1601,91.79398346,-24.48333168,1
79,1633,83.22401428,-27.50238228,1
79,1665,75.38775635,-39.4977951,1
79,1697,66.54826355,-8.429655075,1
79,1729,57.74689102,-36.95611954,1
79,1761,37.02153778,-6.164234161,1
79,1793,30.53749847,-4.991353989,1
79,1825,23.99289322,-0.6028785706,1
79,1857,35.49795532,-34.19226837,1
79,1889,19.04261971,-27.0917778,1
79,1921,29.42243004,-5.561509132,1
79,1953,11.78481102,-13.0490036,1
79,1985,6.458774567,7.644582272,1
79,2017,29.438797,-0.7285170555,1
111,33,0.1763071269,0.67762959,1
111,65,-0.159142077,-0.07876262069,1
111,97,-0.03821648657,0.1048584878,1
111,129,0.161160484,-0.1339212656,1
111,161,0.003631174564,-0.5402941704,1
111,193,-0.1269061118,-0.1338667274,1
111,225,0.1522045732,0.226978451,1
111,257,0.0755610913,-0.0380256772,1
111,289,0.0505669117,-0.7255162001,1
111,321,0.3004150093,-0.9535808563,1
111,353,0.29014045,-0.1683577597,1
111,385,-6.741415024,16.65250397,1
