PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 14, filenames: A:[14]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[15]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.6654038429,-0.05681425333,1
47,65,-0.08312132955,0.3068810999,1
47,97,0.00187882781,0.2528836131,1
47,129,-0.002506062388,0.08637344837,1
47,161,-0.3453733623,0.3267837167,1
47,193,-0.1490618885,0.3089657426,1
47,225,0.1913818717,0.2694167197,1
47,257,0.210804224,-0.01784096099,1
47,289,0.2317583561,0.2575461864,1
47,321,0.228633225,-0.7207658291,1
47,353,0.1522016525,-2.257915974,1
47,385,-0.09658370912,-2.186621189,1
47,417,0.3087272644,-1.263042927,1
47,449,0.7776552439,1.272834778,1
47,481,0.1895728409,0.9385614395,1
47,513,0.4271938801,-0.15487957,1
47,545,0.146091938,-1.26244545,1
47,577,-0.3992722034,-1.290426731,1
47,609,-2.054001808,-5.842591286,1
47,641,-2.411285877,-2.071117401,1
47,673,-1.809253693,-3.535555363,1
47,705,-1.063064098,-4.396551609,1
47,737,-1.917574644,-5.224234581,1
47,769,-1.82733798,-3.213028193,1
47,801,-2.211069107,-0.9224104881,1
47,833,-1.393918991,-1.016648412,1
47,865,-0.2245565653,-1.722471833,1
47,897,0.1202433109,-1.377654195,1
47,929,0.2147052288,-1.233981609,1
47,961,0.9288554192,-0.5054591894,1
47,993,1.052331686,0.2825881243,1
47,1025,1.676926613,-0.7858583927,1
47,1057,1.522240162,-1.368777275,1
47,1089,0.781172514,-1.41499567,1
47,1121,0.9786043167,-0.2144935131,1
47,1153,1.837277651,0.007128953934,1
47,1185,3.379717827,0.51308918,1
47,1217,3.805625439,1.244421959,1
47,1249,3.850564003,2.195808411,1
47,1281,4.56593132,2.390509129,1
47,1313,5.184606552,2.590076447,1
47,1345,5.537343979,2.135531187,1
47,1377,5.745824814,0.3404610157,1
47,1409,3.941616535,-1.936952591,1
47,1441,0.8828825951,-3.0950737,1
47,1473,2.760676861,-4.539037704,1
47,1505,3.419076204,-5.135172844,1
47,1537,-1.082259655,-3.742949724,1
47,1569,-3.906682014,15.56800556,1
47,1601,-1.092163563,-0.5134489536,1
47,1633,0.3765001297,-1.665957093,1
47,1665,2.212879419,-1.647331238,1
47,1697,2.788463593,-1.209744692,1
47,1729,2.411002636,-1.117508411,1
47,1761,1.83561933,-4.941250801,1
47,1793,1.27617383,-5.947284222,1
47,1825,0.3592787981,-4.794943333,1
47,1857,-0.2024385929,-3.523317814,1
47,1889,-0.02266812325,-0.7133229971,1
47,1921,1.915368676,1.507884145,1
47,1953,2.730645895,3.128929853,1
