PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 26, filenames: A:[26]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[27]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.4245682955,-0.249468565,1
47,65,-0.7104950547,0.6061879396,1
47,97,-0.1285789013,1.123735428,1
47,129,0.4710714817,1.674409866,1
47,161,0.179490447,1.325493097,1
47,193,0.1588110924,0.5409522057,1
47,225,-0.03395295143,-0.6056883335,1
47,257,-0.1000156999,-1.657517195,1
47,289,0.1185054779,-0.8906223774,1
47,321,0.2258978486,2.354805708,1
47,353,-0.1671722531,2.601256609,1
47,385,-0.1631124616,2.398571014,1
47,417,0.5698363781,2.222931862,1
47,449,-0.04405419528,2.989990711,1
47,481,-1.13145411,6.084957123,1
47,513,-1.842683792,7.980706692,1
47,545,-2.143569231,6.841562271,1
47,577,-0.4239888191,4.739913464,1
47,609,-0.2091464996,4.164589882,1
47,641,-0.6896351576,3.942657471,1
47,673,-2.342290401,5.810608864,1
47,705,-1.887714744,5.418232918,1
47,737,-0.6628127098,3.977860451,1
47,769,0.9793428183,2.162274361,1
47,801,-0.7254089117,2.846101761,1
47,833,-1.836281538,3.617775917,1
47,865,-1.833098173,5.411005974,1
47,897,-0.6555160284,5.325316429,1
47,929,0.6869021654,6.009147167,1
47,961,0.1037980616,5.651131153,1
47,993,-1.427526236,3.389467716,1
47,1025,0.1172055006,4.128405094,1
47,1057,0.7811784148,4.441883087,1
47,1089,1.701736331,6.173338413,1
47,1121,2.041545868,5.917551517,1
47,1153,0.9186551571,3.439061642,1
47,1185,1.308297515,4.934732437,1
47,1217,0.5790848732,5.046702862,1
47,1249,0.756308794,4.890451908,1
47,1281,0.9478898048,4.57672596,1
47,1313,0.1729577482,2.734772205,1
47,1345,-0.665792942,2.089150429,1
47,1377,-2.723678112,1.898211956,1
47,1409,-2.882939339,2.055099487,1
47,1441,-0.76009202,2.489758253,1
47,1473,-0.133494854,1.702627182,1
47,1505,0.2800117731,0.8579375744,1
47,1537,0.1604466438,1.609746218,1
47,1569,-1.643717051,1.225225449,1
47,1601,-4.654068947,3.609420776,1
47,1633,-4.8609972,4.129798889,1
47,1665,-2.729804993,3.046022415,1
47,1697,-1.437599421,3.23688364,1
47,1729,-1.45075798,5.373399734,1
