PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 44, filenames: A:[44]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[45]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-13.61646366,-0.2447013855,1
47,65,1.07725215,5.838578224,1
47,97,0.04690909386,-0.2305588722,1
47,129,-0.5512422323,-7.842103958,1
47,161,0.499035418,0.4543514252,1
47,193,-0.2570062876,-8.49240303,1
47,225,5.063205719,-16.41158295,1
47,257,0.1739319563,-0.5404109955,1
47,289,-0.3621489406,0.8870668411,1
47,321,-0.5249859095,8.211479187,1
47,353,-0.07700927556,6.331861019,1
47,385,-0.4879293442,4.939684391,1
47,417,-0.9560987949,4.28926754,1
47,449,-0.764098525,5.493824482,1
47,481,-0.03193712234,6.120028973,1
47,513,0.9071246982,4.854631424,1
47,545,0.5027270913,2.058281898,1
47,577,-0.3561564684,-0.08077573776,1
47,609,-0.2883763909,3.112335443,1
47,641,0.4013029933,5.453392982,1
47,673,0.3323936462,6.45415926,1
47,705,-0.5119760036,6.284368515,1
47,737,-1.270804167,6.366547585,1
47,769,-0.6412883997,6.408560753,1
47,801,-1.591876388,6.762844086,1
47,833,-2.038330078,7.232739449,1
47,865,-2.189782619,6.734375954,1
47,897,-2.880146027,5.680980682,1
47,929,-1.769368529,5.395713329,1
47,961,-0.3008791208,6.110918999,1
47,993,0.248280406,7.001552105,1
47,1025,-0.09168833494,6.721845627,1
47,1057,-0.4840792418,5.670885086,1
47,1089,-1.84777236,4.999314308,1
47,1121,-2.784137726,5.356888771,1
47,1153,-2.176954746,4.984804153,1
47,1185,-1.604531646,4.955683708,1
47,1217,-1.635786533,3.264448881,1
47,1249,-4.157035828,2.011641264,1
47,1281,-5.288734436,1.180832624,1
47,1313,-5.11758709,1.2690835,1
47,1345,-4.998831272,2.829182148,1
47,1377,-4.589142799,2.690562487,1
47,1409,-1.752344847,5.063931942,1
47,1441,-0.6225481033,2.330384493,1
47,1473,-1.932282686,1.268955708,1
47,1505,-4.277621269,3.135887146,1
47,1537,-3.535311699,1.623641968,1
47,1569,-1.709308624,1.580836296,1
47,1601,-2.294835567,5.221599579,1
47,1633,-2.111131907,4.091850281,1
47,1665,-2.045125961,4.226802349,1
47,1697,-2.172155857,4.36273098,1
47,1729,-1.984939098,4.09258604,1
47,1761,-0.4370203614,4.45668745,1
47,1793,0.8820472956,4.619083405,1
47,1825,0.5714333653,3.44289875,1
47,1857,-0.9522941113,2.994518757,1
47,1889,-2.543714762,2.55226922,1
47,1921,-0.8554816246,5.315524101,1
47,1953,0.1076364517,5.966294765,1
47,1985,-2.543896675,3.679261446,1
47,2017,-3.100336552,-3.579985619,1
79,33,-22.09105682,6.768865108,1
79,65,-1.881810665,5.864599228,1
79,97,-0.5347274542,-0.6016070843,1
79,129,0.2894572616,-1.167382002,1
79,161,0.8832290769,-3.16074419,1
79,193,-18.78004456,2.222193241,1
79,225,-18.32808304,5.477473259,1
79,257,-0.1496014595,0.1039557457,1
79,289,-0.7887840867,7.792195797,1
79,321,-0.4472896457,6.776403904,1
79,353,-0.2098878622,6.358362198,1
79,385,-0.1399328858,6.072701931,1
79,417,-0.05313935876,4.678648949,1
79,449,-0.642152667,5.7889328,1
79,481,-0.4962525368,5.619016171,1
79,513,-0.2385174036,5.626758575,1
79,545,-1.31217742,5.067313671,1
79,577,-1.874127388,3.175161362,1
79,609,-1.500004053,4.347244263,1
79,641,0.1372713447,5.509086132,1
79,673,-0.04963558912,6.482169151,1
79,705,-0.9100086093,6.829762936,1
79,737,-1.090673923,7.488568783,1
79,769,-0.8777314425,7.657178402,1
79,801,-0.7118042707,7.47994709,1
79,833,-2.115252495,6.908633232,1
