PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 43, filenames: A:[43]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[44]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,5.964485645,11.71404839,1
47,65,1.087970495,3.637909889,1
47,97,0.2689855993,-0.6005761623,1
47,129,-0.01019543037,-1.851261854,1
47,161,-0.06028288603,-1.467644215,1
47,193,0.09224396944,-0.6378649473,1
47,225,-0.08042448759,-0.03091871738,1
47,257,0.0180413723,0.5068392754,1
47,289,0.104193449,0.6096231937,1
47,321,1.624304295,3.535032511,1
47,353,1.654033184,2.466214657,1
47,385,1.231843948,1.22188139,1
47,417,1.711849928,2.407230377,1
47,449,1.848673582,3.846574783,1
47,481,1.274976254,1.772253752,1
47,513,0.5954698324,1.650976896,1
47,545,0.7200921774,2.062151194,1
47,577,0.457343936,1.381417513,1
47,609,0.2953453064,2.080832958,1
47,641,-1.071289539,5.56261301,1
47,673,-1.40693903,5.311661243,1
47,705,-1.307192564,4.299502373,1
47,737,-1.662722588,5.035808086,1
47,769,-1.225384235,4.679659843,1
47,801,-0.3348910809,3.39061594,1
47,833,-0.1169587374,3.508836746,1
47,865,0.3394038677,2.691977262,1
47,897,0.7402018309,1.795643568,1
47,929,0.3018580079,2.954905272,1
47,961,-0.5184305906,4.41682148,1
47,993,-0.03806090355,5.75685215,1
47,1025,0.6339367628,5.775566101,1
47,1057,0.1631986499,5.232419968,1
47,1089,-0.8189010024,4.848518372,1
47,1121,-0.881400466,5.410544395,1
47,1153,-0.8053375483,4.807880402,1
47,1185,-1.631821036,4.318327427,1
47,1217,-2.712671518,5.464627266,1
47,1249,-3.55579114,5.056799412,1
47,1281,-4.310368061,3.461534023,1
47,1313,-4.922589779,3.79713273,1
47,1345,-4.38244915,3.776247025,1
