PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 47, filenames: A:[47]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[48]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.198623419,0.001075565815,1
47,65,-0.2909848094,0.2684987783,1
47,97,-0.2122392356,0.3012715578,1
47,129,-0.016099751,0.2402111292,1
47,161,0.198620975,0.1447736919,1
47,193,0.5858371258,-0.07764823735,1
47,225,0.02374432981,-0.3461690247,1
47,257,-0.3412407637,-0.3352453709,1
47,289,-0.01683562994,-0.2321602106,1
47,321,-0.1176951528,0.5549685359,1
47,353,-1.028429508,1.134122849,1
47,385,-1.140396357,1.187539101,1
47,417,-1.064594746,1.318213463,1
47,449,-0.8841122389,0.5754731894,1
47,481,-0.6178081632,0.9159568548,1
47,513,-0.4557780623,1.165639162,1
47,545,0.06621688604,0.7738000154,1
47,577,-0.3174584508,0.8266043663,1
47,609,-0.5226046443,3.686304331,1
47,641,-0.3371769488,3.320327759,1
47,673,0.1849836111,3.636318684,1
47,705,-1.912276268,1.573646545,1
47,737,-1.687919617,1.311222911,1
47,769,-0.231318593,1.840286732,1
47,801,-0.5770959854,1.41592145,1
47,833,-0.321246624,1.313130856,1
47,865,-1.013088942,1.628319621,1
47,897,-1.601991653,1.457878113,1
47,929,-2.782839298,3.040324688,1
47,961,-0.6555425525,1.932164907,1
47,993,0.06032395363,1.333199143,1
47,1025,-0.07555633783,1.385600567,1
47,1057,-0.551399827,2.160492659,1
47,1089,-0.9407434464,3.362216711,1
47,1121,-1.048423767,3.31739521,1
47,1153,-0.986559391,4.056488514,1
47,1185,-2.122011185,4.239653587,1
47,1217,-3.86367321,3.618256569,1
47,1249,-4.369319916,1.325503349,1
47,1281,-3.05857873,0.7827341557,1
47,1313,-1.263430119,3.376357317,1
47,1345,-4.132668495,2.510122538,1
47,1377,-2.670220375,2.573534489,1
47,1409,-1.955066919,2.534553051,1
47,1441,-2.678404331,2.67086935,1
47,1473,-3.089426517,4.063200951,1
47,1505,-1.7911309,2.52708292,1
47,1537,0.9338648319,1.121435165,1
47,1569,0.1042688787,3.896711349,1
47,1601,-0.472325027,3.758891582,1
47,1633,-1.658139229,4.551780701,1
47,1665,-3.873906374,7.626681328,1
47,1697,-2.116113663,7.684267044,1
47,1729,0.4810699224,8.081094742,1
47,1761,0.8640248775,7.433043003,1
47,1793,0.4298076034,5.734454155,1
47,1825,-0.4285106659,3.292127132,1
47,1857,-0.5587909818,3.479698181,1
47,1889,1.158296227,6.305472374,1
47,1921,2.990134239,8.52088356,1
47,1953,2.504585028,8.364442825,1
47,1985,1.11083138,14.32795811,1
47,2017,6.408590317,-22.14167786,1
79,33,-0.03436607122,0.1237408966,1
79,65,-0.7619103193,0.3090704083,1
79,97,-0.4591746926,0.4163996577,1
79,129,0.1251917779,0.1570471078,1
79,161,0.06406593323,0.3110681474,1
79,193,0.1803587526,0.03372819722,1
79,225,-0.01500371844,-0.3961598277,1
79,257,-0.043802917,-0.2054590285,1
79,289,-0.2429288626,0.3982563615,1
79,321,0.09828779101,1.563086033,1
79,353,0.1529459357,1.940491319,1
79,385,-0.06404426694,0.6031688452,1
79,417,-0.06234896183,0.2613447905,1
79,449,0.2062789947,0.2307680845,1
79,481,-0.7110699415,0.9636864662,1
79,513,-2.55035615,3.777026892,1
79,545,-1.201049924,2.801867008,1
79,577,-0.3002561033,2.232897997,1
79,609,-0.718850255,4.129838943,1
79,641,-1.026555777,3.223273516,1
79,673,-0.7483024001,2.565605164,1
79,705,-1.481235981,1.460456491,1
79,737,-1.399860859,1.470011711,1
79,769,-0.1412352324,2.047690868,1
79,801,-0.817512393,1.864947796,1
79,833,-0.9117231369,1.691626191,1
79,865,-0.7423634529,1.304314613,1
79,897,-1.453768373,0.9335311651,1
79,929,-1.407698631,2.820775986,1
79,961,-0.5831515193,2.839686155,1
79,993,-0.514811635,1.634688497,1
79,1025,-0.8608552217,1.39117682,1
79,1057,-1.617154002,1.885476232,1
79,1089,-1.066400528,2.237662077,1
79,1121,-0.9065836072,2.787998676,1
79,1153,-0.9769917727,2.955898762,1
79,1185,-1.462705374,3.011082172,1
79,1217,-2.969283104,3.384302616,1
79,1249,-3.656398773,2.812078953,1
79,1281,-2.772980928,2.858420849,1
79,1313,-2.02826333,5.421379089,1
79,1345,-1.687183142,4.548905849,1
79,1377,-1.63954711,3.661992311,1
79,1409,-1.459643602,3.885981798,1
79,1441,-0.6200250387,3.635760069,1
79,1473,0.0979487896,3.349958658,1
79,1505,2.686506987,3.653017998,1
79,1537,1.152411699,4.751716137,1
79,1569,-0.165557012,6.453702927,1
79,1601,-0.783493042,4.823321342,1
79,1633,-1.58809793,4.522373676,1
79,1665,-2.367949486,6.780930042,1
79,1697,-1.394665003,7.435500145,1
79,1729,-0.1613066345,7.559486389,1
79,1761,0.9123811126,6.990396976,1
79,1793,0.5898131132,6.2403512,1
79,1825,0.1569499969,5.599894524,1
79,1857,0.0355039537,6.198376179,1
79,1889,1.958805084,7.152885437,1
79,1921,2.360092878,7.380906582,1
79,1953,1.579217911,6.024285316,1
79,1985,-2.035407543,10.93218517,1
79,2017,-23.08150673,-11.75905609,1
111,33,-0.3787022233,0.207250163,1
111,65,-0.8726040125,0.3940615654,1
111,97,-0.5977505445,0.496471554,1
111,129,-0.1584196687,0.1426425725,1
111,161,0.03670897335,0.05821415782,1
111,193,0.1096337885,-0.08045256138,1
111,225,-0.3594610691,-0.1246167421,1
111,257,-0.1172281876,-0.1014555693,1
111,289,-0.3335894942,0.7477767467,1
111,321,0.08986079693,1.143570781,1
111,353,0.6029217243,1.424230814,1
111,385,0.9778490067,0.7874035239,1
111,417,1.237637758,0.7512897253,1
111,449,0.3662665784,0.786570549,1
111,481,0.1015325785,0.9824179411,1
111,513,0.6249134541,1.849668384,1
111,545,-0.9050326347,4.414665222,1
111,577,0.4664216042,4.432061195,1
111,609,1.02069056,3.995547295,1
111,641,-0.08336663246,2.184028864,1
111,673,-0.9913454056,2.376283407,1
111,705,-1.726839304,1.671012402,1
111,737,-1.714913964,1.754031658,1
111,769,-1.18917799,2.199913025,1
111,801,-1.95000267,2.665119886,1
111,833,-1.479076385,2.177489996,1
111,865,-0.7774510384,0.4905103445,1
111,897,-1.717229247,1.064170122,1
111,929,-2.247166157,1.729008794,1
111,961,-1.507625818,1.552690148,1
111,993,-1.433801174,1.565149426,1
111,1025,-0.901614964,1.62592566,1
111,1057,-0.8365086913,1.993664026,1
111,1089,-0.6788507104,2.494513273,1
111,1121,-0.3673587441,2.651237965,1
111,1153,-0.7444860339,2.582602024,1
111,1185,-1.077526331,3.016244173,1
111,1217,-1.904870868,3.743024826,1
111,1249,-2.998765469,3.966699839,1
111,1281,-1.775836468,3.941604614,1
111,1313,-1.216629744,6.138833523,1
111,1345,-0.8084017038,4.504030704,1
111,1377,-2.404158115,4.249082565,1
111,1409,-0.9469136,4.27892828,1
111,1441,1.08592546,4.341344357,1
111,1473,1.586369038,4.752147675,1
111,1505,0.4286875129,3.704516888,1
111,1537,0.1802705526,5.018149853,1
111,1569,-0.3292104006,6.096997261,1
111,1601,-0.5717511773,5.019571304,1
111,1633,-1.457365513,4.447215557,1
111,1665,-0.5472871065,5.349598408,1
111,1697,-0.3552030325,6.890740395,1
111,1729,-0.3547847271,7.096337795,1
111,1761,-0.4708709121,6.542203426,1
111,1793,3.456486464,8.001116753,1
111,1825,0.9722648263,7.156047344,1
111,1857,1.16516304,7.732377529,1
111,1889,1.792387247,7.901590347,1
111,1921,1.997277498,6.903152466,1
111,1953,2.323330879,4.53034687,1
111,1985,1.739935637,0.9574295878,1
111,2017,-20.5174408,-6.598636627,1
143,33,-0.3688847721,0.3474454284,1
143,65,-0.2824839056,0.1430897117,1
143,97,-0.2626216412,0.05698211491,1
143,129,-0.03211674094,0.1028645635,1
143,161,0.1724789739,0.09766754508,1
143,193,0.0772793442,0.06566917896,1
143,225,-0.9077081084,0.8357181549,1
143,257,0.177582711,1.253056526,1
143,289,0.05553798378,1.394099116,1
143,321,0.1319894642,1.205074549,1
143,353,0.2409162819,0.7991541624,1
143,385,0.7687420845,0.5305940509,1
143,417,1.246883988,1.00514555,1
143,449,-0.270806551,1.229413271,1
143,481,-0.5384093523,1.359408379,1
143,513,0.1135368347,1.967163324,1
143,545,-0.5890750885,4.148674965,1
143,577,0.02508676052,2.936014652,1
143,609,0.9588463902,2.947160006,1
143,641,1.056162119,2.065036774,1
143,673,-1.04329288,2.353767157,1
143,705,-2.366777897,2.487096786,1
143,737,-2.555094481,2.468908072,1
143,769,-3.035743237,2.937812805,1
143,801,-3.36466074,2.951753855,1
143,833,-3.116808653,3.035529613,1
143,865,-2.368285418,1.724038839,1
143,897,-2.068284988,0.7851395607,1
143,929,-1.317717791,1.318382382,1
143,961,-0.8405421972,1.818449736,1
143,993,-0.895754993,1.885254145,1
143,1025,-0.7187268734,1.777674913,1
143,1057,-0.3549765348,2.228869438,1
143,1089,0.01662072539,3.05477643,1
143,1121,-0.1388727427,2.875477791,1
143,1153,-0.6222454309,3.067233086,1
143,1185,-1.051216722,3.846794844,1
143,1217,-2.023442984,4.627110004,1
143,1249,-2.179431677,4.738181591,1
143,1281,-1.562806368,5.240514755,1
143,1313,-1.220499039,5.242747307,1
143,1345,-1.114483356,3.749080658,1
143,1377,-2.040437698,4.556767464,1
143,1409,-0.3843984604,5.076358795,1
143,1441,1.072958112,5.202157497,1
143,1473,-0.3586407304,4.42703104,1
143,1505,-0.163007617,4.39940834,1
143,1537,-0.2323876321,5.184121609,1
143,1569,0.6798789501,5.60832262,1
143,1601,-0.6068807244,4.948015213,1
143,1633,-0.554248631,5.548719406,1
143,1665,-0.334004581,5.723219872,1
143,1697,-0.4822717309,6.960198402,1
143,1729,-0.515316844,7.310120583,1
143,1761,-0.5470094681,6.755681992,1
143,1793,3.324247599,8.398258209,1
143,1825,5.183992386,9.713684082,1
143,1857,1.139639735,8.37308979,1
143,1889,2.717091084,7.744342804,1
143,1921,1.554435253,6.476694584,1
143,1953,1.321300268,3.888169765,1
143,1985,1.193044424,1.088978887,1
143,2017,-0.0024933815,-5.264763832,1
175,33,-0.03533914685,0.3575837314,1
175,65,0.1454684138,0.1795298755,1
175,97,-0.149035722,0.2118453383,1
175,129,-0.1294887364,0.06824448705,1
175,161,0.02448578179,0.04925894737,1
175,193,0.1205726862,0.4995753169,1
175,225,-0.6985800266,1.318777442,1
175,257,-0.6596316695,1.64422214,1
175,289,-0.2092105746,2.340958595,1
175,321,-0.1664868444,1.966621161,1
175,353,-0.2825841606,0.6054717302,1
175,385,0.0254547596,-0.1326596737,1
175,417,0.08126598597,0.9472885132,1
175,449,-0.9663003683,1.513991714,1
175,481,-0.9925354123,1.451191545,1
175,513,-0.8213604689,1.374827743,1
175,545,-0.7143604159,2.32588768,1
175,577,-0.9899438024,2.585656643,1
175,609,-1.496252537,2.437588692,1
175,641,-0.8573498726,1.830489159,1
175,673,-1.599180579,2.36278224,1
175,705,-2.496761322,2.905503273,1
175,737,-3.240580559,3.123822689,1
175,769,-4.591458321,3.307396173,1
175,801,-4.300645828,3.067014694,1
175,833,-3.022635221,2.746140718,1
175,865,-2.281921387,1.96490252,1
175,897,-1.350391388,1.649901867,1
175,929,-0.434175849,1.805837035,1
175,961,-0.05665248632,2.250472069,1
175,993,-0.4683405459,2.378582478,1
175,1025,-0.4108564258,2.532611609,1
175,1057,-0.2550359964,2.727114201,1
175,1089,-0.262511313,3.635372162,1
175,1121,-0.1126140058,3.286927938,1
175,1153,0.0343708992,3.694086075,1
175,1185,-1.200341582,4.090273857,1
175,1217,-2.117539406,4.664664745,1
175,1249,-1.743410587,5.153412342,1
175,1281,-1.918411613,5.52205658,1
175,1313,-1.10824728,4.69759655,1
175,1345,-1.088646293,4.163841724,1
175,1377,-0.6912103891,4.836653233,1
175,1409,0.2454260588,5.326467991,1
175,1441,0.6023342609,5.546576023,1
175,1473,0.3239582777,5.299350739,1
175,1505,0.161803782,5.639042854,1
175,1537,0.3086779416,6.146738052,1
175,1569,-0.3340594172,5.63491106,1
175,1601,-2.364379883,4.793823719,1
175,1633,-0.4997186661,5.539438725,1
175,1665,-0.3920100331,5.495471954,1
175,1697,-0.6423962116,6.536184311,1
175,1729,-0.7989869118,7.343819141,1
175,1761,-0.379509151,7.367796421,1
175,1793,-0.3949069679,7.765383244,1
175,1825,0.4743124247,8.758897781,1
175,1857,0.9276970625,9.147951126,1
175,1889,1.296870232,7.695497513,1
175,1921,1.188307166,6.696427822,1
175,1953,0.9200878143,4.708700657,1
175,1985,0.3589948416,2.208963871,1
175,2017,-1.348083496,-6.626459122,1
207,33,0.1958982646,0.3369022012,1
207,65,0.1519204676,0.371183753,1
207,97,-0.01752895117,0.4773495197,1
207,129,-0.1973871142,0.01777714491,1
207,161,0.1101107672,0.3450480103,1
207,193,0.1521801353,1.111887932,1
207,225,-0.3278539181,1.832772017,1
207,257,-0.564504087,1.57084775,1
207,289,-0.4121646285,2.871027946,1
207,321,-0.7875223756,2.066267252,1
207,353,-1.550629139,0.5083781481,1
207,385,-1.618700624,0.3587127328,1
207,417,-1.300547838,1.512841225,1
207,449,-0.898109138,2.013431311,1
207,481,-0.9358854294,1.341908455,1
207,513,-0.8885822892,0.6739692688,1
207,545,-0.3074212074,1.498659968,1
207,577,-1.270262122,2.149073601,1
207,609,-1.630563855,2.479749203,1
207,641,-1.439818621,1.894719839,1
207,673,-2.15800333,2.125445604,1
207,705,-3.432583332,2.665709496,1
207,737,-3.69761467,3.758852243,1
207,769,-4.222584724,3.832922459,1
207,801,-3.553102016,3.004582882,1
207,833,-2.56786561,2.31132865,1
207,865,-1.89765656,1.679165602,1
207,897,-0.6822345257,1.939237475,1
207,929,0.1202274561,1.921348214,1
207,961,0.5934354067,1.939356327,1
207,993,0.1786668301,2.600950241,1
207,1025,0.1772603393,2.962017059,1
207,1057,-0.05302643776,3.055428028,1
207,1089,-0.9620524049,4.452450752,1
207,1121,-0.3853817284,4.887022972,1
207,1153,0.3864717484,5.092712402,1
207,1185,-0.5560662746,4.698050499,1
207,1217,-1.150377393,5.164669514,1
207,1249,-1.503310323,5.425367355,1
207,1281,-1.940844417,5.403040409,1
207,1313,-0.9256790876,4.909406662,1
207,1345,-0.2815641165,4.466955185,1
207,1377,0.2420966625,4.548026562,1
207,1409,0.6528607607,5.303221226,1
207,1441,1.030064583,5.408131599,1
207,1473,0.5458094478,5.120341778,1
207,1505,-1.347123623,8.014935493,1
207,1537,-0.7419664264,5.506042004,1
207,1569,-0.5647396445,2.862252712,1
207,1601,-0.8676329851,5.138368607,1
207,1633,-0.3239952922,5.780880928,1
207,1665,-1.615518212,4.795703411,1
207,1697,-1.275610685,6.551300049,1
207,1729,-0.1353697777,7.319933414,1
207,1761,-0.01905788481,8.247716904,1
207,1793,0.1580218375,7.257076263,1
207,1825,0.7057561278,7.479785919,1
207,1857,1.143006802,8.090683937,1
207,1889,1.506547809,8.635778427,1
207,1921,1.630486369,8.563100815,1
207,1953,1.223333955,7.315987587,1
207,1985,4.838138103,12.70023632,1
207,2017,-1.072021127,-8.885131836,1
239,33,0.1143516302,0.2671164274,1
239,65,-0.03452448547,0.3672492802,1
239,97,0.05333611742,0.37459746,1
239,129,0.174668014,0.02301412821,1
239,161,0.03107099235,0.5129129887,1
239,193,0.001173559576,1.231162429,1
239,225,-0.0005018562078,2.202730179,1
239,257,-0.2414946854,1.33046174,1
239,289,-0.4581419528,1.828892231,1
239,321,-1.322371483,1.596913815,1
239,353,-2.214652061,0.4309587479,1
239,385,-2.260054588,0.4822340012,1
239,417,-3.060878754,3.481642723,1
239,449,-0.8696406484,2.422446728,1
239,481,-0.7398309112,1.516482353,1
239,513,-0.7079703808,1.528497458,1
239,545,-0.3732436895,1.727063417,1
239,577,-0.7962799072,2.001914978,1
239,609,-1.556063294,2.303784609,1
239,641,-1.907406807,1.481443524,1
239,673,-2.048609257,1.237847447,1
239,705,-2.544470549,1.475163698,1
239,737,-3.574351788,3.30704546,1
239,769,-3.101188898,4.545119762,1
239,801,-2.561030626,2.751741171,1
239,833,-2.93544507,2.569304943,1
239,865,-1.693966866,1.248848915,1
239,897,-0.9320542812,1.142227769,1
239,929,-0.3190078139,0.7733818293,1
239,961,1.048225641,0.9544301033,1
239,993,0.8807669878,2.907044411,1
239,1025,0.617325902,2.942972898,1
239,1057,-0.5044605732,2.406516314,1
239,1089,-1.218660474,4.884329796,1
239,1121,-0.8003805876,6.492347717,1
239,1153,-2.791491508,6.349126816,1
239,1185,-2.25274682,4.948836803,1
239,1217,-1.550703645,4.993688583,1
239,1249,-1.68675065,5.295099735,1
239,1281,-1.671069026,4.950386524,1
239,1313,-0.6843674183,4.575121403,1
239,1345,0.4175801575,4.198030472,1
239,1377,0.70297575,4.231059551,1
239,1409,0.5476190448,4.647954464,1
239,1441,0.1112199426,4.501558304,1
239,1473,-0.2192187458,4.39530468,1
239,1505,-2.561068058,7.197481632,1
239,1537,-0.9943445921,4.72689867,1
239,1569,0.1290355623,2.761836052,1
239,1601,0.2066997141,5.741001129,1
239,1633,0.5905604959,6.518851757,1
239,1665,0.2145262361,7.178931236,1
239,1697,-0.07679376006,7.043319225,1
239,1729,0.2283912897,6.736448288,1
239,1761,0.1311361641,7.791069508,1
239,1793,1.067076802,6.753087044,1
239,1825,0.7315167189,6.797575951,1
239,1857,1.442857504,7.300020695,1
239,1889,2.02843833,8.196251869,1
239,1921,2.363359928,10.01372051,1
239,1953,1.543392897,8.114051819,1
239,1985,0.3921558261,14.5513916,1
239,2017,-7.884148598,-10.54595566,1
271,33,0.1840165257,0.2287230194,1
271,65,0.07988864183,0.08289542794,1
271,97,0.03205272555,0.1161096096,1
271,129,-0.3827781677,0.8611912131,1
271,161,-0.4915774465,1.128275156,1
271,193,0.5402261615,1.576865554,1
271,225,-0.03078857064,1.450580478,1
271,257,-0.3584097922,1.092567563,1
