PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[10]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.4997870326,-0.1815568209,1
47,65,-0.6777162552,0.1510639936,1
47,97,-0.03116774559,0.4134812355,1
47,129,0.4549279213,0.5699692965,1
47,161,0.1532055885,0.6629462242,1
47,193,0.2108439207,0.4339230061,1
47,225,-0.06038081646,0.5133162737,1
47,257,-0.09597450495,0.6564153433,1
47,289,-0.1631538421,0.4335860014,1
47,321,-0.3137082756,0.1750993729,1
47,353,0.04997378588,0.4562485218,1
47,385,0.2090287209,0.7513401508,1
47,417,0.3405116796,0.7873672247,1
47,449,-0.3291886449,0.193359822,1
47,481,-0.7221392393,-0.6652693748,1
47,513,-0.6768788695,-1.092517853,1
47,545,-0.1717735827,-0.6662487984,1
47,577,0.2552962899,-0.03235822916,1
47,609,0.374936223,-0.1922684908,1
47,641,0.5448135138,-0.5466715097,1
47,673,0.00942620635,-0.3226406574,1
47,705,-0.7470111251,0.1889779568,1
47,737,-0.9329248667,0.2177742124,1
47,769,-1.182052135,0.2103787661,1
47,801,-1.723986745,-0.09679114819,1
47,833,-3.752604485,0.7321612239,1
47,865,1.244420052,0.5848283768,1
47,897,0.6163115501,-11.35269928,1
47,929,0.3349196911,3.991061926,1
47,961,-0.8961757421,2.585699081,1
47,993,0.890141964,3.121555328,1
47,1025,2.039982796,5.122412205,1
47,1057,2.732483864,6.473203182,1
47,1089,2.55897212,6.374771118,1
47,1121,3.401814222,6.197920799,1
47,1153,3.340611219,6.090127945,1
47,1185,3.021725893,7.120607376,1
47,1217,3.195298195,8.205051422,1
47,1249,3.163319588,9.004723549,1
47,1281,4.547171593,10.16123199,1
47,1313,5.249811172,10.42898083,1
47,1345,4.14941597,10.36955929,1
47,1377,2.906833649,9.367910385,1
47,1409,12.78626633,8.311435699,1
47,1441,12.38044643,7.166124344,1
47,1473,8.90886116,6.582071304,1
47,1505,8.4828825,6.816297531,1
47,1537,10.15302658,5.825026512,1
47,1569,9.448107719,5.001890182,1
47,1601,5.813551903,4.233610153,1
47,1633,8.015247345,2.618182182,1
47,1665,9.821628571,3.198832273,1
47,1697,5.236550331,1.394818306,1
47,1729,1.628189087,0.9496592283,1
47,1761,4.896554947,-0.7193957567,1
47,1793,-0.383711338,0.1601953506,1
47,1825,4.401818275,-0.7582888603,1
47,1857,2.254168034,0.8297502995,1
47,1889,5.832926273,4.879023552,1
47,1921,6.178792,5.740100384,1
47,1953,5.650161743,3.847919226,1
47,1985,-2.5040555,-0.3525807858,1
47,2017,-8.092358589,-6.645154953,1
79,33,-0.08905030787,0.5882421732,1
79,65,-0.5538762808,0.01011794806,1
79,97,-0.233751744,-0.3053299785,1
79,129,-0.05862596631,0.08059604466,1
