PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 8, filenames: A:[8]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[9]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.1181323379,0.06870907545,1
47,65,0.86438936,0.2024463117,1
47,97,0.5516144633,0.2879154086,1
47,129,0.2107700109,0.551361382,1
47,161,0.2715690434,0.4076817632,1
47,193,-0.10830158,0.4066349268,1
47,225,-0.2619475126,-0.2991344333,1
47,257,-0.2931173742,-0.390848577,1
47,289,-0.12402457,0.08851659298,1
47,321,-0.2116036713,0.4478120804,1
47,353,-0.5285383463,0.2700118423,1
47,385,-0.1068857163,-0.1332202852,1
47,417,0.7780842781,-0.3159408569,1
47,449,0.8372774124,0.3367927074,1
47,481,0.4945813417,0.5009713173,1
47,513,0.002021312714,0.399075985,1
47,545,0.06704467535,0.1308206916,1
47,577,0.459046185,0.2317810059,1
47,609,0.7753642797,0.2217088938,1
47,641,0.7268848419,0.6874237061,1
47,673,0.08463895321,0.1930971146,1
47,705,0.3522964716,-0.1983054876,1
47,737,0.6105731726,0.1418721676,1
47,769,-0.07130599022,0.2226446867,1
47,801,-1.271895409,-0.2180033326,1
47,833,-0.8327002525,0.02459049225,1
47,865,-1.354732037,0.471039772,1
47,897,-1.298294187,1.620562553,1
47,929,-0.2211767435,0.6917009354,1
47,961,-12.69916725,5.424237728,1
47,993,-0.5575011969,0.5435037613,1
47,1025,-3.80057478,7.174160004,1
47,1057,-5.212992668,9.283974648,1
47,1089,-4.040066719,9.644183159,1
47,1121,-1.712895751,8.263990402,1
47,1153,0.5650842786,7.896749973,1
47,1185,1.986078501,8.108490944,1
47,1217,0.7258973122,9.88104248,1
47,1249,-1.206607342,9.594368935,1
47,1281,-2.620159626,10.18275833,1
47,1313,-2.65309,11.7532444,1
47,1345,0.1009130478,12.41415024,1
47,1377,2.109474659,13.0718956,1
47,1409,2.440624237,12.85909176,1
47,1441,-0.02586960793,12.82548046,1
47,1473,-0.8168067932,11.78447533,1
47,1505,-0.518368721,10.96332741,1
47,1537,0.3628487587,10.63619518,1
47,1569,0.2827067375,9.8953228,1
47,1601,0.5624022484,8.470170021,1
47,1633,2.314328432,8.774051666,1
47,1665,2.625311852,9.763396263,1
47,1697,2.362596989,7.083254337,1
47,1729,1.080929279,6.404657364,1
47,1761,2.867146492,-3.843258858,1
47,1793,7.425170898,9.85159874,1
47,1825,1.842271805,9.216999054,1
47,1857,2.808308601,10.30513382,1
47,1889,6.563688755,7.733063221,1
47,1921,3.071418762,5.502822399,1
47,1953,4.885163307,5.045591354,1
47,1985,3.063205957,7.827741146,1
47,2017,-33.6311264,0.3470840454,1
79,33,0.1192091629,0.1615643054,1
79,65,0.2820192575,0.2423064411,1
79,97,0.2871103883,0.2258814275,1
79,129,0.2286770046,0.2638404369,1
79,161,-0.07474008203,-0.09811167419,1
79,193,-0.3976673186,-0.1569062471,1
79,225,-0.1173605025,-0.155799076,1
79,257,-0.07885482907,-0.2292889953,1
79,289,-0.1600386798,0.1207825318,1
79,321,-0.2269960344,0.3120587766,1
79,353,-0.3013178408,0.1043646485,1
79,385,0.1012665778,0.02209355682,1
79,417,0.6631227732,-0.2253673375,1
79,449,0.5342880487,-0.6299021244,1
79,481,0.1244212389,-0.2973838449,1
79,513,-0.5196316838,-0.008288748562,1
79,545,-0.1498427093,-0.3023983836,1
79,577,0.3053168654,0.00792850554,1
79,609,0.1089713275,-0.04967981577,1
79,641,0.1277834773,0.1557897627,1
79,673,-0.7910852432,0.8254212737,1
79,705,-0.6447722912,0.1885721833,1
79,737,0.2062760592,-0.1099264696,1
79,769,-0.2693446279,-0.128815949,1
79,801,-0.9353343248,0.04565790296,1
79,833,-0.1158889532,0.5845378041,1
79,865,-0.2807001173,0.05846095085,1
79,897,11.39984989,11.93164825,1
79,929,1.826779246,5.590399742,1
79,961,-0.5366105437,2.036924839,1
79,993,-1.26041007,6.060941219,1
79,1025,-2.027319193,7.764504433,1
79,1057,-2.113605499,9.090667725,1
79,1089,-1.930905581,9.443898201,1
79,1121,-0.9283216,9.726797104,1
79,1153,0.6262968183,9.668335915,1
79,1185,1.330291986,9.515435219,1
79,1217,0.8464581966,10.78822136,1
79,1249,-0.4870920479,10.61079693,1
79,1281,-0.7255735397,12.057127,1
79,1313,1.257109642,13.2785387,1
79,1345,4.470137119,13.12901878,1
79,1377,3.633087158,12.55476379,1
79,1409,2.731210947,12.31804848,1
79,1441,2.602832317,13.01856136,1
79,1473,1.343194485,10.67944622,1
79,1505,1.115230203,8.978014946,1
79,1537,0.5710971355,9.654859543,1
79,1569,0.9733241796,9.350938797,1
79,1601,1.979178905,7.883545876,1
79,1633,2.596050262,7.994417667,1
79,1665,3.351644993,9.84601593,1
79,1697,3.341772556,9.616792679,1
79,1729,2.64631176,8.321756363,1
79,1761,6.728014469,9.804369926,1
79,1793,6.514196873,8.885666847,1
79,1825,2.213778496,7.971595287,1
79,1857,3.723012924,6.765604496,1
79,1889,3.378318071,6.247488499,1
79,1921,0.3587942123,4.922855854,1
79,1953,1.121394157,6.00944519,1
79,1985,3.684963703,5.730077744,1
79,2017,-13.87905502,-4.340201855,1
111,33,0.04063577577,0.3802845478,1
111,65,-0.06116732955,0.1908075511,1
111,97,0.05311666429,0.1450241208,1
111,129,-0.02096045017,-0.009076569229,1
111,161,-0.3856961727,-0.1911385059,1
111,193,-0.6051303744,-0.3796855211,1
111,225,-0.1563098878,-0.08681278676,1
111,257,-0.04310677946,0.01040165871,1
111,289,-0.2996627688,-0.016675964,1
111,321,-0.1592880487,0.008872382343,1
111,353,-0.09483791888,-0.05834850669,1
111,385,0.01124266163,0.1046777889,1
111,417,0.1705051959,-0.1535979509,1
111,449,0.1591025293,-0.8882718086,1
111,481,0.06931008399,-0.5640956163,1
111,513,-0.1411797255,-0.830566287,1
111,545,-0.1458080709,-0.228817448,1
111,577,-0.02631144226,0.4231128693,1
111,609,-0.05844467878,0.192155093,1
111,641,-0.4267137051,0.01846661419,1
111,673,-1.073304176,0.5099639893,1
111,705,-1.455969572,0.02103930712,1
111,737,-0.6507045627,-0.5384382606,1
111,769,-0.1270078272,-0.2530614436,1
111,801,-0.2787083387,0.7765132785,1
111,833,-0.1765120625,2.34116292,1
111,865,0.8829385638,2.925709248,1
111,897,1.05748415,1.849040031,1
