PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 7, filenames: A:[7]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[8]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.834181428,0.6539873481,1
47,65,-0.05008393526,0.09350524843,1
47,97,-0.01596221328,-0.05814718455,1
47,129,-0.0557705909,-0.1010761559,1
47,161,-0.0854100734,-0.1753195524,1
47,193,-0.1567298025,0.01696244255,1
47,225,0.1735419631,0.05409234762,1
47,257,0.1481506377,-0.3124313354,1
47,289,0.009761363268,-1.035385609,1
47,321,0.3526142836,-1.000154972,1
47,353,0.2262688279,-0.2384129763,1
47,385,-0.4426079094,0.9054893255,1
47,417,-0.2111500502,0.9014663696,1
47,449,-0.1676522493,0.6341984272,1
47,481,-0.2388480306,0.324965477,1
47,513,-0.07653406262,0.416921854,1
47,545,0.06847454607,0.4076080918,1
47,577,-0.1235668659,0.0878148675,1
47,609,-0.2664706707,-0.106626451,1
47,641,-0.7896835804,-0.4412417412,1
47,673,-0.8335485458,-0.5179589987,1
47,705,-1.08042562,-0.389124155,1
47,737,-1.592490196,-1.098374128,1
47,769,-0.9294863939,-0.5246572495,1
47,801,-0.4181630611,-1.225943089,1
47,833,0.5795440674,0.3456065655,1
47,865,0.3698234558,-0.04138088226,1
47,897,-0.18708992,-0.2157769203,1
47,929,-0.1191399097,-0.4711856842,1
47,961,0.3347268105,-0.4724187851,1
47,993,3.94085598,6.697599411,1
47,1025,4.042969704,8.919744492,1
47,1057,1.695297718,12.6553421,1
47,1089,5.602343082,6.790426731,1
47,1121,2.412390709,10.50255203,1
47,1153,0.5215725899,10.87431526,1
47,1185,2.530039787,9.222278595,1
47,1217,4.052700996,9.915602684,1
47,1249,9.352340698,-10.69307995,1
47,1281,15.18804169,21.54980469,1
47,1313,2.237658501,13.6087389,1
47,1345,4.149287701,16.05421638,1
47,1377,4.56490469,15.07655525,1
47,1409,3.237095833,13.92477798,1
47,1441,2.296713352,13.82416534,1
47,1473,2.398729801,14.09973907,1
47,1505,2.77666378,11.29440308,1
47,1537,1.566434383,5.093566895,1
47,1569,0.5188016891,7.425776482,1
47,1601,0.9204187393,11.02244091,1
47,1633,1.796553612,11.0183773,1
47,1665,2.577907562,9.440963745,1
47,1697,2.930737972,5.747801781,1
47,1729,4.070168495,3.425608635,1
47,1761,2.75302124,7.828587055,1
47,1793,-0.2176692486,5.683711052,1
47,1825,-1.341954708,5.843818665,1
47,1857,-0.003376960754,6.018849373,1
47,1889,7.383119106,-10.5387888,1
47,1921,-0.002323150635,5.494430542,1
47,1953,1.587259412,4.546019554,1
47,1985,-0.4050244093,0.5448363423,1
47,2017,-10.01671028,-10.07341862,1
79,33,-0.07047182322,0.1590442508,1
79,65,-0.03698047996,-0.1151404306,1
79,97,0.07661242038,-0.1182258576,1
79,129,0.0357259959,-0.121796608,1
79,161,-0.1765390337,-0.248698473,1
79,193,-0.2742673755,-0.02393781021,1
79,225,-0.1222774386,0.3136909604,1
79,257,0.1675277799,0.3814228177,1
79,289,0.1805615574,0.1917527318,1
79,321,0.2006656826,-0.03963309526,1
79,353,0.02860132419,-0.07559940219,1
79,385,-0.3011155427,0.3557801843,1
79,417,-0.4173879623,0.9568587542,1
79,449,-0.3626915216,0.6692467928,1
79,481,-0.01520951092,0.1837326288,1
79,513,0.03171692044,0.07186517119,1
79,545,-0.134371087,-0.1505740881,1
79,577,-0.006845206022,-0.2805738747,1
79,609,0.1520754695,-0.1431991905,1
79,641,0.09723764658,-0.252889663,1
79,673,0.2681612372,0.2607648373,1
79,705,-0.2715345621,1.073822737,1
79,737,-0.4790244997,0.8960573077,1
79,769,0.2573801279,-0.2634885311,1
79,801,0.5207571983,0.823744297,1
79,833,0.3807110786,0.7673182487,1
79,865,-0.02728176117,0.4823217392,1
79,897,0.05802106857,0.4552321434,1
79,929,0.5867996216,0.9826569557,1
79,961,21.27186584,19.10372925,1
79,993,-0.4846725464,0.4727182388,1
79,1025,5.430624485,8.53921032,1
79,1057,2.302157879,11.72562218,1
79,1089,2.622239113,12.33677101,1
79,1121,2.400783062,14.05198479,1
79,1153,2.229045868,14.39799881,1
79,1185,0.7285094261,11.59371185,1
79,1217,0.6440126896,11.18967628,1
79,1249,2.587819576,11.75393867,1
79,1281,3.237894535,13.1359129,1
79,1313,4.718892574,14.48248005,1
79,1345,6.346016884,14.24293709,1
79,1377,5.678518772,14.24489117,1
79,1409,5.396878242,14.79680538,1
79,1441,5.382982731,14.6746912,1
79,1473,5.975932121,12.37315559,1
79,1505,4.474010468,9.855711937,1
79,1537,3.11443615,7.864336967,1
79,1569,2.670292377,8.043783188,1
79,1601,2.992836952,8.965654373,1
79,1633,4.503675461,9.427276611,1
79,1665,5.502296925,9.294594765,1
79,1697,6.455476284,7.962674141,1
79,1729,5.108331203,8.518108368,1
79,1761,4.118268013,9.561283112,1
79,1793,3.823744297,9.250571251,1
79,1825,2.259932518,8.389492035,1
79,1857,1.583836794,7.03376627,1
79,1889,0.7031991482,5.994512081,1
79,1921,0.2147872448,5.084867477,1
79,1953,-0.07111516595,4.427443504,1
79,1985,-0.4931774735,0.5599800348,1
79,2017,0.701290369,-5.502308846,1
111,33,0.05700309575,0.01911699772,1
111,65,0.01195897162,-0.1392076463,1
111,97,0.2349965274,-0.1612608284,1
111,129,0.1775519103,0.02239924669,1
111,161,0.06508252025,-0.3171216249,1
111,193,0.02302819863,-0.4475741386,1
111,225,0.09527204931,0.2079226971,1
111,257,0.1309019625,0.3870759606,1
111,289,-0.01745195314,0.2847352028,1
111,321,0.009587403387,0.1075261831,1
111,353,0.05772949755,-0.01709208637,1
111,385,-0.1378402859,0.006309937686,1
111,417,-0.3240398467,0.3701690137,1
111,449,-0.1749596298,0.394141376,1
111,481,0.1687348336,0.1079285294,1
111,513,0.06221301854,0.002536430955,1
111,545,-0.0376560688,-0.17012766,1
111,577,0.1537650079,-0.1658907533,1
111,609,0.09712500125,-0.04613801837,1
