PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 6, filenames: A:[6]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[7]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.1708783507,-0.07805359364,1
47,65,-0.2476034164,0.1708928645,1
47,97,0.0627951473,0.3158991337,1
47,129,0.07830002904,0.2865549326,1
47,161,-0.1358751953,0.1217679977,1
47,193,0.07731376588,-0.3116696775,1
47,225,0.1723603755,-0.5146114826,1
47,257,-0.1163403839,-0.2930140495,1
47,289,-0.5169869661,-0.6817426682,1
47,321,-0.2600337267,-0.7072728872,1
47,353,0.002209588885,-0.4254813194,1
47,385,0.1836674511,-0.217289567,1
47,417,-0.1463811398,0.2792733908,1
47,449,-0.03086543083,0.7111346722,1
47,481,0.1670708954,0.75895679,1
47,513,0.2430797815,0.218307972,1
47,545,0.2595325708,-0.1942896098,1
47,577,-0.4038199782,-0.7345278263,1
47,609,0.5447950363,0.01352721453,1
47,641,2.168881416,1.496534109,1
47,673,-0.2051744461,0.6508955956,1
47,705,0.8475151062,0.4440135956,1
47,737,0.2073383331,-0.5204463005,1
47,769,12.31170845,-11.86792946,1
47,801,40.13644409,27.07000351,1
47,833,40.07671356,25.7832756,1
47,865,13.85508156,8.593201637,1
47,897,-35.0752182,-11.37932682,1
47,929,-12.67784786,-10.59022713,1
47,961,14.28646088,7.178595543,1
47,993,30.00547028,25.29917717,1
47,1025,25.70851898,22.55018234,1
47,1057,33.09605408,5.686284065,1
47,1089,0.450469017,15.74818897,1
47,1121,0.4283766747,12.43780994,1
47,1153,-1.533772945,10.86430931,1
47,1185,-0.9062495232,8.562580109,1
47,1217,-0.2245764732,6.896184444,1
47,1249,1.497514248,9.125745773,1
47,1281,25.19286156,15.35213375,1
47,1313,1.963251114,15.29004288,1
47,1345,2.256869316,14.92454433,1
47,1377,5.516985416,12.56768417,1
47,1409,-2.542089462,10.1955595,1
47,1441,0.7902908325,10.28815842,1
47,1473,-6.439908981,9.756538391,1
47,1505,-19.22836304,-10.09657955,1
47,1537,-3.023898125,8.091675758,1
47,1569,-3.447635174,3.202561378,1
47,1601,-5.148953438,13.0036087,1
47,1633,1.102609158,8.973353386,1
47,1665,2.053629875,4.970891953,1
47,1697,-0.4815738201,6.116231918,1
47,1729,-1.072101474,7.169919491,1
47,1761,0.668777585,5.744127274,1
47,1793,-1.029501438,8.895723343,1
47,1825,-2.335626841,9.243426323,1
47,1857,-4.518066406,9.757188797,1
47,1889,-3.364008427,7.069045067,1
47,1921,-3.905635834,8.547632217,1
47,1953,-8.243746758,10.79662228,1
47,1985,-5.29929781,10.71878719,1
47,2017,18.33137512,-6.576158524,1
79,33,-0.1319398284,0.3557334244,1
79,65,-0.05263981223,0.08943153918,1
79,97,0.005102530122,-0.1461443305,1
79,129,-0.07063868642,-0.01087503135,1
79,161,-0.09891583771,-0.05750950426,1
79,193,0.1250565797,-0.3948918581,1
79,225,0.03368019313,-0.5739200711,1
79,257,-0.3719115257,-0.2443596125,1
79,289,-0.2866361141,-0.1122015715,1
79,321,0.01741309464,0.03514695168,1
79,353,0.1499130428,0.1092826724,1
79,385,0.3602849841,-0.1344823837,1
79,417,0.1984621882,-0.1631929725,1
79,449,0.1954054832,-0.04171226919,1
79,481,0.1649183631,-0.154563427,1
79,513,0.04994110018,0.03226517141,1
79,545,0.1160795838,0.09747023135,1
79,577,0.0123552233,-0.2349359393,1
79,609,0.3847872019,0.04285895824,1
79,641,1.233428478,0.8079109192,1
79,673,1.969424963,1.14740479,1
79,705,0.8556938171,1.150480032,1
79,737,1.028997421,1.859343767,1
79,769,-9.298596382,-3.598086834,1
79,801,-1.661212921,-0.6299023628,1
79,833,14.5873909,-12.16007519,1
79,865,-7.595267773,14.87255764,1
79,897,-13.18725491,-21.41789818,1
79,929,-1.21821785,-1.222853184,1
79,961,10.40567303,-11.89392471,1
79,993,19.26379013,-1.696124077,1
79,1025,16.63123512,22.4569397,1
79,1057,3.663503647,14.52212048,1
79,1089,1.949230194,14.75411129,1
79,1121,2.752897263,11.12448692,1
79,1153,-0.1630473137,10.66280079,1
79,1185,0.9656274319,9.264795303,1
79,1217,1.728386402,9.05770874,1
79,1249,4.470435143,9.348848343,1
79,1281,-6.606661797,3.136472702,1
79,1313,2.584652901,11.4133091,1
79,1345,2.663665771,12.05431938,1
79,1377,2.436997414,10.73878479,1
79,1409,0.298699379,7.479423523,1
79,1441,6.327573299,-5.377156734,1
79,1473,-3.803146362,10.43044853,1
79,1505,-1.077435493,7.281772614,1
79,1537,-0.9401273727,6.588263035,1
79,1569,0.1126775742,2.815094948,1
79,1601,1.867392302,4.401427746,1
79,1633,4.201734066,3.766944408,1
79,1665,4.003994465,2.613584757,1
79,1697,0.9706697464,4.48767662,1
79,1729,0.7249235511,4.626945972,1
79,1761,1.110284328,3.746212959,1
79,1793,3.400062323,6.474515915,1
79,1825,2.211051464,5.731472969,1
79,1857,-1.201518297,9.765072823,1
79,1889,-1.496839166,6.107171059,1
79,1921,-1.846387863,3.388441324,1
79,1953,-6.591833115,7.233749866,1
