 ,Mean,Slice,MinThr,MaxThr,microns
1,175.351,1,-3.403E38,3.4e38,0.000
2,165.948,2,-3.403E38,3.4e38,1.000
3,159.476,3,-3.403E38,3.4e38,2.000
4,143.617,4,-3.403E38,3.4e38,3.000
5,141.307,5,-3.403E38,3.4e38,4.000
6,137.847,6,-3.403E38,3.4e38,5.000
7,133.770,7,-3.403E38,3.4e38,6.000
8,129.502,8,-3.403E38,3.4e38,6.999
9,133.220,9,-3.403E38,3.4e38,7.999
10,136.762,10,-3.403E38,3.4e38,8.999
11,139.031,11,-3.403E38,3.4e38,9.999
12,139.724,12,-3.403E38,3.4e38,10.999
13,139.774,13,-3.403E38,3.4e38,11.999
14,134.130,14,-3.403E38,3.4e38,12.999
15,130.983,15,-3.403E38,3.4e38,13.999
16,128.400,16,-3.403E38,3.4e38,14.999
17,128.526,17,-3.403E38,3.4e38,15.999
18,126.785,18,-3.403E38,3.4e38,16.999
19,125.715,19,-3.403E38,3.4e38,17.999
20,124.510,20,-3.403E38,3.4e38,18.999
21,122.827,21,-3.403E38,3.4e38,19.999
22,122.100,22,-3.403E38,3.4e38,20.998
23,121.901,23,-3.403E38,3.4e38,21.998
24,121.414,24,-3.403E38,3.4e38,22.998
25,122.902,25,-3.403E38,3.4e38,23.998
26,122.566,26,-3.403E38,3.4e38,24.998
27,121.437,27,-3.403E38,3.4e38,25.998
28,122.378,28,-3.403E38,3.4e38,26.998
29,121.303,29,-3.403E38,3.4e38,27.998
30,121.769,30,-3.403E38,3.4e38,28.998
31,122.889,31,-3.403E38,3.4e38,29.998
32,131.875,32,-3.403E38,3.4e38,30.998
33,135.881,33,-3.403E38,3.4e38,31.998
34,136.160,34,-3.403E38,3.4e38,32.998
35,97.247,35,-3.403E38,3.4e38,33.998
36,19.359,36,-3.403E38,3.4e38,34.997
37,7.340,37,-3.403E38,3.4e38,35.997
38,4.220,38,-3.403E38,3.4e38,36.997
39,3.124,39,-3.403E38,3.4e38,37.997
40,2.578,40,-3.403E38,3.4e38,38.997
41,2.309,41,-3.403E38,3.4e38,39.997
42,2.172,42,-3.403E38,3.4e38,40.997
43,2.095,43,-3.403E38,3.4e38,41.997
44,2.042,44,-3.403E38,3.4e38,42.997
45,1.983,45,-3.403E38,3.4e38,43.997
46,2.012,46,-3.403E38,3.4e38,44.997
47,2.005,47,-3.403E38,3.4e38,45.997
48,1.980,48,-3.403E38,3.4e38,46.997
49,1.960,49,-3.403E38,3.4e38,47.997
50,1.923,50,-3.403E38,3.4e38,48.996
51,1.945,51,-3.403E38,3.4e38,49.996
52,1.856,52,-3.403E38,3.4e38,50.996
53,1.803,53,-3.403E38,3.4e38,51.996
54,1.760,54,-3.403E38,3.4e38,52.996
55,1.729,55,-3.403E38,3.4e38,53.996
56,1.715,56,-3.403E38,3.4e38,54.996
57,1.690,57,-3.403E38,3.4e38,55.996
58,1.677,58,-3.403E38,3.4e38,56.996
59,1.675,59,-3.403E38,3.4e38,57.996
60,1.651,60,-3.403E38,3.4e38,58.996
61,1.647,61,-3.403E38,3.4e38,59.996
62,1.619,62,-3.403E38,3.4e38,60.996
63,1.605,63,-3.403E38,3.4e38,61.996
64,1.596,64,-3.403E38,3.4e38,62.995
65,1.590,65,-3.403E38,3.4e38,63.995
66,1.574,66,-3.403E38,3.4e38,64.995
