 ,Mean,Slice,MinThr,MaxThr,microns
1,186.560,1,-3.403E38,3.4e38,0.000
2,176.202,2,-3.403E38,3.4e38,0.999
3,169.484,3,-3.403E38,3.4e38,1.999
4,151.783,4,-3.403E38,3.4e38,2.998
5,148.950,5,-3.403E38,3.4e38,3.998
6,143.669,6,-3.403E38,3.4e38,4.997
7,137.742,7,-3.403E38,3.4e38,5.997
8,136.234,8,-3.403E38,3.4e38,6.996
9,138.122,9,-3.403E38,3.4e38,7.996
10,140.584,10,-3.403E38,3.4e38,8.995
11,142.835,11,-3.403E38,3.4e38,9.995
12,144.365,12,-3.403E38,3.4e38,10.994
13,141.930,13,-3.403E38,3.4e38,11.993
14,139.076,14,-3.403E38,3.4e38,12.993
15,135.966,15,-3.403E38,3.4e38,13.992
16,134.029,16,-3.403E38,3.4e38,14.992
17,132.485,17,-3.403E38,3.4e38,15.991
18,131.603,18,-3.403E38,3.4e38,16.991
19,130.847,19,-3.403E38,3.4e38,17.990
20,129.531,20,-3.403E38,3.4e38,18.990
21,128.699,21,-3.403E38,3.4e38,19.989
22,128.468,22,-3.403E38,3.4e38,20.988
23,128.249,23,-3.403E38,3.4e38,21.988
24,127.864,24,-3.403E38,3.4e38,22.987
25,128.006,25,-3.403E38,3.4e38,23.987
26,127.358,26,-3.403E38,3.4e38,24.986
27,126.846,27,-3.403E38,3.4e38,25.986
28,127.522,28,-3.403E38,3.4e38,26.985
29,127.050,29,-3.403E38,3.4e38,27.985
30,127.402,30,-3.403E38,3.4e38,28.984
31,127.632,31,-3.403E38,3.4e38,29.984
32,127.919,32,-3.403E38,3.4e38,30.983
33,128.557,33,-3.403E38,3.4e38,31.982
34,130.460,34,-3.403E38,3.4e38,32.982
35,131.097,35,-3.403E38,3.4e38,33.981
36,133.073,36,-3.403E38,3.4e38,34.981
37,135.389,37,-3.403E38,3.4e38,35.980
38,138.364,38,-3.403E38,3.4e38,36.980
39,126.369,39,-3.403E38,3.4e38,37.979
40,19.073,40,-3.403E38,3.4e38,38.979
41,6.449,41,-3.403E38,3.4e38,39.978
42,3.989,42,-3.403E38,3.4e38,40.978
43,2.995,43,-3.403E38,3.4e38,41.977
44,2.582,44,-3.403E38,3.4e38,42.976
45,2.392,45,-3.403E38,3.4e38,43.976
46,2.343,46,-3.403E38,3.4e38,44.975
47,2.286,47,-3.403E38,3.4e38,45.975
48,2.252,48,-3.403E38,3.4e38,46.974
49,2.214,49,-3.403E38,3.4e38,47.974
50,2.163,50,-3.403E38,3.4e38,48.973
51,2.151,51,-3.403E38,3.4e38,49.973
52,2.113,52,-3.403E38,3.4e38,50.972
53,2.086,53,-3.403E38,3.4e38,51.971
54,2.065,54,-3.403E38,3.4e38,52.971
55,2.022,55,-3.403E38,3.4e38,53.970
56,2.005,56,-3.403E38,3.4e38,54.970
57,1.975,57,-3.403E38,3.4e38,55.969
58,1.927,58,-3.403E38,3.4e38,56.969
59,1.925,59,-3.403E38,3.4e38,57.968
60,1.920,60,-3.403E38,3.4e38,58.968
61,1.882,61,-3.403E38,3.4e38,59.967
62,1.863,62,-3.403E38,3.4e38,60.967
63,1.846,63,-3.403E38,3.4e38,61.966
64,1.802,64,-3.403E38,3.4e38,62.965
65,1.780,65,-3.403E38,3.4e38,63.965
66,1.746,66,-3.403E38,3.4e38,64.964
