 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,7822.976,120.426,88.889,94.524,464.979,166.772,59.726,168.547,0.455,100,2.792,0.358,0.759
2,7112.948,120.613,88.400,96.939,414.364,156.460,57.884,167.729,0.521,100,2.703,0.370,0.803
3,6212.210,120.710,87.478,94.906,389.414,150.830,52.441,168.218,0.515,100,2.876,0.348,0.784
4,4969.433,121.016,83.801,92.429,359.422,140.531,45.024,169.014,0.483,100,3.121,0.320,0.767
5,4186.110,121.388,81.180,91.493,331.088,129.929,41.022,169.229,0.480,100,3.167,0.316,0.770
6,3447.869,121.869,79.479,90.915,307.038,121.721,36.066,169.503,0.460,100,3.375,0.296,0.760
7,2825.987,122.449,79.623,91.399,278.687,113.664,31.656,170.269,0.457,100,3.591,0.279,0.775
8,2480.522,122.935,80.630,91.418,262.829,108.657,29.067,169.859,0.451,100,3.738,0.268,0.786
9,1884.261,123.746,79.356,91.491,238.691,95.900,25.017,171.273,0.416,100,3.833,0.261,0.757
10,1638.017,124.276,80.408,92.651,223.464,91.585,22.772,171.812,0.412,100,4.022,0.249,0.760
11,1449.970,124.980,79.600,92.068,205.053,83.344,22.151,171.326,0.433,100,3.763,0.266,0.762
12,1148.296,125.525,80.447,92.363,183.211,77.438,18.880,171.254,0.430,100,4.101,0.244,0.779
13,1021.602,126.254,80.875,92.006,172.872,72.761,17.877,170.316,0.430,100,4.070,0.246,0.756
14,927.543,126.990,80.617,92.244,166.206,69.538,16.983,170.100,0.422,100,4.094,0.244,0.718
15,839.186,126.575,81.302,92.110,159.133,66.174,16.147,169.608,0.416,100,4.098,0.244,0.733
