PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 9, filenames: A:[9]AVI_Pos016_TimeSrs0016_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos016_TimeSrs0016_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.905049324,-0.6862545013,1
47,65,0.6717350483,0.9830626249,1
47,97,1.481194973,3.886716843,1
47,129,1.780945778,3.099862099,1
47,161,0.8186233044,0.3969663382,1
47,193,-0.7445392609,-0.9304764271,1
47,225,-0.5303637981,-0.1169455051,1
47,257,NaN,NaN,2
47,289,1.105959415,1.602339149,1
47,321,-0.03467035294,-0.011677742,1
47,353,-1.621405125,0.7850974798,1
47,385,-0.5242352486,0.8721656799,1
47,417,5.019997597,2.087444782,1
47,449,8.648066521,4.848854542,1
47,481,10.40999889,3.186787605,1
47,513,NaN,NaN,2
47,545,NaN,NaN,2
47,577,NaN,NaN,2
47,609,21.51315308,7.25394249,1
47,641,NaN,NaN,2
47,673,NaN,NaN,2
47,705,NaN,NaN,2
47,737,23.15386391,-0.7217873335,1
47,769,26.05064392,1.471590281,1
47,801,NaN,NaN,2
47,833,31.93516159,-1.434683681,1
47,865,NaN,NaN,2
47,897,NaN,NaN,2
47,929,29.92261887,-4.093952179,1
47,961,NaN,NaN,2
47,993,NaN,NaN,2
47,1025,NaN,NaN,2
47,1057,23.27748108,1.894598007,1
47,1089,NaN,NaN,2
47,1121,NaN,NaN,2
47,1153,17.42943192,-0.2075953484,1
47,1185,18.42310524,-1.799067259,1
47,1217,16.32087326,-3.684633493,1
47,1249,14.22156525,-4.518232346,1
47,1281,13.77797699,-3.759320736,1
47,1313,14.15377235,-2.844492197,1
47,1345,14.25215912,-2.889403105,1
47,1377,11.3348341,-4.140559196,1
47,1409,9.224167824,-1.974278688,1
47,1441,NaN,NaN,2
47,1473,NaN,NaN,2
47,1505,12.79569244,-3.43144083,1
47,1537,13.43348026,-3.200850964,1
47,1569,12.18906784,3.800664902,1
47,1601,NaN,NaN,2
47,1633,10.46930313,1.673972607,1
47,1665,6.380856514,0.08566248417,1
47,1697,2.080166578,0.2012275457,1
47,1729,1.448654175,0.001075565815,1
47,1761,0.807459116,1.592036605,1
47,1793,-1.138054609,3.46011734,1
47,1825,-0.703592658,4.558648109,1
47,1857,0.2341005206,3.500138283,1
47,1889,0.7990235686,0.7993664742,1
47,1921,0.6638830304,-0.9965949059,1
47,1953,0.04150867462,-1.814713955,1
47,1985,0.8107607365,-0.4509285688,1
47,2017,NaN,NaN,2
79,33,NaN,NaN,2
79,65,0.7989655733,1.04826355,1
79,97,1.875385284,1.548089027,1
79,129,1.254771948,1.301998138,1
79,161,2.14251709,2.014346838,1
79,193,0.9048588276,2.632612944,1
79,225,NaN,NaN,2
79,257,NaN,NaN,2
79,289,0.9354408979,1.611457586,1
79,321,0.2227487564,1.391952157,1
79,353,-0.468236208,1.310272694,1
79,385,-0.0382604599,2.176491976,1
79,417,4.336951733,2.359848976,1
79,449,7.607536316,2.778475046,1
79,481,NaN,NaN,2
79,513,15.45980549,7.084344864,1
79,545,NaN,NaN,2
79,577,NaN,NaN,2
79,609,23.53449631,8.299834251,1
79,641,NaN,NaN,2
79,673,24.56279945,3.040658474,1
79,705,NaN,NaN,2
79,737,23.15098,-1.840587854,1
79,769,20.15713692,1.000649214,1
79,801,25.43602562,1.637712479,1
79,833,26.07800484,0.120872736,1
79,865,NaN,NaN,2
79,897,NaN,NaN,2
79,929,NaN,NaN,2
79,961,25.9978466,-6.977292538,1
79,993,NaN,NaN,2
79,1025,NaN,NaN,2
79,1057,21.12401199,-3.297223568,1
79,1089,18.2870121,-5.248418331,1
79,1121,19.32284164,-3.857411385,1
79,1153,17.75532722,-0.3121352196,1
79,1185,16.15055847,0.398835659,1
79,1217,16.10744858,-4.85277462,1
79,1249,15.33534241,-4.907801628,1
79,1281,13.69800663,-4.282269001,1
79,1313,13.0819273,-4.53489542,1
79,1345,13.29074287,-4.214169979,1
79,1377,13.0567646,-2.745184183,1
79,1409,11.83012009,-1.572531581,1
79,1441,NaN,NaN,2
79,1473,9.020620346,0.01963546872,1
79,1505,9.916395187,-1.377490044,1
79,1537,9.928151131,-0.2071889639,1
79,1569,10.73826694,2.076323032,1
79,1601,NaN,NaN,2
79,1633,NaN,NaN,2
79,1665,6.886982441,-1.639975905,1
79,1697,6.030146599,3.423785686,1
79,1729,4.642168522,2.934036493,1
79,1761,0.8405635357,1.354082108,1
79,1793,0.8063995838,2.349143028,1
79,1825,1.628991604,2.959005356,1
79,1857,0.5261899233,2.429432869,1
79,1889,-0.2970813513,1.292986631,1
79,1921,-0.6357239485,1.574481606,1
79,1953,-1.035168886,0.9094511867,1
79,1985,-0.6144328117,-0.05055329204,1
79,2017,NaN,NaN,2
111,33,NaN,NaN,2
111,65,1.216310859,0.8724484444,1
111,97,2.341505289,0.3691899776,1
111,129,2.587279081,-0.2716606855,1
111,161,3.608636141,1.000683069,1
111,193,4.045412064,1.20814085,1
111,225,NaN,NaN,2
111,257,NaN,NaN,2
111,289,NaN,NaN,2
111,321,NaN,NaN,2
111,353,NaN,NaN,2
111,385,NaN,NaN,2
111,417,NaN,NaN,2
111,449,11.12455654,0.995844841,1
111,481,NaN,NaN,2
111,513,10.98582363,8.008134842,1
111,545,NaN,NaN,2
111,577,20.475214,9.998603821,1
111,609,22.63673019,6.916209221,1
111,641,22.91346359,6.592623234,1
111,673,NaN,NaN,2
111,705,NaN,NaN,2
111,737,NaN,NaN,2
111,769,23.08687592,0.7996428013,1
111,801,NaN,NaN,2
111,833,NaN,NaN,2
111,865,NaN,NaN,2
111,897,23.63320732,-0.6785042286,1
111,929,NaN,NaN,2
111,961,NaN,NaN,2
111,993,25.14872932,-2.268667698,1
111,1025,NaN,NaN,2
111,1057,22.18539429,-4.780095577,1
111,1089,20.29698753,-5.717284679,1
111,1121,19.24086571,-4.505434513,1
111,1153,17.70566368,-3.534528732,1
111,1185,14.59788322,-2.490145922,1
111,1217,15.36129093,-2.722779036,1
111,1249,NaN,NaN,2
111,1281,NaN,NaN,2
111,1313,13.55991554,-5.259393692,1
111,1345,13.02652264,-4.584116936,1
111,1377,13.75592327,-3.282928944,1
111,1409,12.42073441,-2.450190306,1
111,1441,11.63986015,-2.632279158,1
111,1473,10.46273518,-1.145053506,1
111,1505,10.12119484,-0.0981439352,1
111,1537,10.26202011,1.470012903,1
