PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 20, filenames: A:[20]AVI_Pos016_TimeSrs0016_TgUtrmcherry_K4K8MO.avi & B:[21]AVI_Pos016_TimeSrs0016_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,3.269893169,-0.3693313599,1
47,65,1.708571911,0.5230338573,1
47,97,1.435967684,2.416309357,1
47,129,0.8067597151,7.046211243,1
47,161,-0.05798125267,5.989345074,1
47,193,NaN,NaN,2
47,225,NaN,NaN,2
47,257,-2.377734661,1.107159495,1
47,289,NaN,NaN,2
47,321,-0.973815918,1.856280684,1
47,353,-0.6053993702,0.8966609836,1
47,385,0.564288497,-0.5783836246,1
47,417,1.602250576,-0.9525458217,1
47,449,1.956979752,-0.8608286381,1
47,481,NaN,NaN,2
47,513,NaN,NaN,2
47,545,NaN,NaN,2
47,577,NaN,NaN,2
47,609,1.3072083,1.417689323,1
47,641,1.112085342,0.1091167927,1
47,673,0.9161043167,1.261024475,1
47,705,NaN,NaN,2
47,737,0.2775146961,0.1039212942,1
47,769,0.1597790122,0.7680561543,1
47,801,2.819350719,1.200649738,1
47,833,2.69849205,-0.7832804918,1
47,865,11.58194923,1.10402143,1
47,897,13.7633667,1.042855263,1
47,929,9.238549232,1.038995266,1
47,961,5.561118126,0.9462928772,1
47,993,5.057860374,-0.1829969883,1
47,1025,7.916754723,-1.740999222,1
47,1057,2.71813035,-4.272058487,1
47,1089,0.8074024916,-4.571083069,1
47,1121,NaN,NaN,2
47,1153,0.3551290631,-2.129204273,1
47,1185,0.6278269887,-1.797960997,1
47,1217,0.9335136414,-2.907741785,1
47,1249,NaN,NaN,2
47,1281,NaN,NaN,2
47,1313,4.083605289,0.2302302122,1
47,1345,3.165651321,-0.02261710167,1
47,1377,0.8425747156,-0.1053082347,1
47,1409,-0.8314193487,-0.08926483989,1
47,1441,-0.802621007,0.5485246181,1
47,1473,3.586978912,-2.111469507,1
47,1505,0.6752043366,0.3512647152,1
47,1537,0.9108667374,0.8414285183,1
47,1569,0.08552455902,3.248733044,1
47,1601,0.8631650209,3.798232079,1
47,1633,2.622858524,2.791901588,1
47,1665,2.388366222,1.802672386,1
47,1697,0.4852104783,0.3847264051,1
47,1729,-1.445246577,-0.7642533779,1
47,1761,-3.145891428,-1.579237461,1
47,1793,NaN,NaN,2
47,1825,0.8911355734,0.7212201953,1
47,1857,1.02665031,1.747395039,1
47,1889,0.5022329092,2.708590031,1
47,1921,0.1327366233,2.131493807,1
47,1953,0.2385108471,2.126289845,1
47,1985,0.1088604033,0.4381051362,1
47,2017,0.1601583958,-2.80606842,1
79,33,NaN,NaN,2
79,65,0.4784054756,0.2447169423,1
79,97,0.1504977942,0.7999749184,1
79,129,0.4601171613,2.690077782,1
79,161,NaN,NaN,2
79,193,NaN,NaN,2
79,225,-0.6495643854,0.5687448978,1
79,257,-1.090768814,0.509155035,1
79,289,-0.8423647881,1.248524189,1
79,321,-0.06012058258,0.5705374479,1
79,353,-0.1816222072,-0.508292973,1
79,385,0.3084506392,-1.187412977,1
79,417,0.5307515264,-0.5267131329,1
79,449,0.6438337564,0.2978645861,1
79,481,0.5336361527,0.6702222824,1
79,513,NaN,NaN,2
79,545,NaN,NaN,2
79,577,2.7581954,-0.6073403358,1
79,609,1.327552915,0.9158451557,1
79,641,0.9337587357,-0.384562254,1
79,673,1.838065624,2.081564188,1
79,705,2.69129467,2.459372997,1
79,737,2.104224205,-0.2509567738,1
79,769,1.945970654,-0.5356780887,1
79,801,0.6180328131,-0.2122727484,1
79,833,NaN,NaN,2
79,865,7.223790646,3.301976681,1
79,897,NaN,NaN,2
79,929,8.359138489,0.07103672624,1
79,961,5.357578278,-0.6439455152,1
79,993,5.845610142,-1.278401852,1
79,1025,7.678073406,-1.05367589,1
79,1057,1.440605402,-2.531429291,1
