PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 19, filenames: A:[19]AVI_Pos016_TimeSrs0016_TgUtrmcherry_K4K8MO.avi & B:[20]AVI_Pos016_TimeSrs0016_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,3.336841106,-0.2752425671,1
47,65,1.063417315,-0.05902838707,1
47,97,0.1178447008,1.421027541,1
47,129,-0.06070077419,0.4877970219,1
47,161,-0.9429204464,0.6490192413,1
47,193,1.759463787,-0.247718364,1
47,225,1.93610692,-0.4281945229,1
47,257,-1.315417051,-0.4650556445,1
47,289,-2.440212488,-0.5838609338,1
47,321,-0.9512352943,0.2428722084,1
47,353,0.5433779955,0.3072627783,1
47,385,1.937505245,-0.6101441383,1
47,417,1.108007431,1.687465906,1
47,449,-0.7251868248,4.557347775,1
47,481,NaN,NaN,2
47,513,1.677671194,1.15225172,1
47,545,1.192112923,2.487371683,1
47,577,1.339567304,4.135354042,1
47,609,NaN,NaN,2
47,641,NaN,NaN,2
47,673,0.4642210007,0.03478741646,1
47,705,NaN,NaN,2
47,737,2.041178226,-0.08757352829,1
47,769,1.362338543,1.992749691,1
47,801,3.15842104,2.536065102,1
47,833,2.66089344,-1.615227461,1
47,865,5.248950005,-1.346320748,1
47,897,7.99413681,1.368987083,1
47,929,7.101721764,2.464802027,1
47,961,3.968094826,-1.103470325,1
47,993,2.502945185,-0.4401466846,1
47,1025,3.179804802,-0.03553509712,1
47,1057,NaN,NaN,2
47,1089,NaN,NaN,2
47,1121,NaN,NaN,2
47,1153,3.467169762,-1.901047468,1
47,1185,2.110927582,1.628565311,1
47,1217,1.873062849,1.721213102,1
47,1249,NaN,NaN,2
47,1281,2.540393829,-0.2552113533,1
47,1313,NaN,NaN,2
47,1345,1.87447834,-3.649078131,1
47,1377,2.406219244,-1.456979871,1
47,1409,2.0695467,-1.004428148,1
47,1441,2.623929501,-2.706137657,1
47,1473,NaN,NaN,2
47,1505,2.672412634,-0.6384251118,1
47,1537,1.123965502,1.797745943,1
47,1569,NaN,NaN,2
47,1601,1.987210751,2.957581997,1
47,1633,2.242011547,2.295076609,1
47,1665,-0.07082790136,0.001185238361,1
47,1697,-1.074031711,-0.6996930838,1
47,1729,-2.196364403,-0.3528730869,1
47,1761,-2.236991882,-1.316839457,1
47,1793,-1.312720776,-0.9004759789,1
47,1825,-0.6487782001,-2.13281846,1
47,1857,-0.3314282894,-1.064662218,1
47,1889,-0.5649329424,0.2018175125,1
47,1921,-0.3242661953,-1.946594954,1
47,1953,0.5711487532,-1.590009212,1
47,1985,0.0216960609,0.193451494,1
47,2017,1.113342881,0.3528747559,1
79,33,1.280677557,0.3790194988,1
79,65,-1.216868877,0.3793588877,1
79,97,-1.454391241,0.9182933569,1
79,129,-0.1823692024,-0.08075523376,1
79,161,NaN,NaN,2
79,193,3.031056166,0.2494849563,1
79,225,4.229250908,0.04092976451,1
79,257,-0.3358982205,0.6933229566,1
79,289,-0.5171278715,0.3787982464,1
79,321,0.3379063308,-0.3192510903,1
79,353,NaN,NaN,2
79,385,NaN,NaN,2
79,417,NaN,NaN,2
79,449,3.460816145,0.589027524,1
79,481,3.639897346,2.418028831,1
79,513,3.651002407,4.573090076,1
79,545,3.393543005,1.700284719,1
