 ,X,Y,MinThr,MaxThr
1,121.738,97.398,0,65535
2,121.738,97.398,0,65535
3,121.738,97.398,0,65535
4,121.738,97.398,0,65535
5,121.738,97.398,0,65535
6,121.738,97.398,0,65535
7,121.738,97.398,0,65535
8,121.738,97.398,0,65535
9,121.738,97.398,0,65535
10,121.738,97.398,0,65535
11,121.738,97.398,0,65535
12,121.738,97.398,0,65535
13,121.738,97.398,0,65535
14,121.738,97.398,0,65535
15,121.738,97.398,0,65535
16,121.738,97.398,0,65535
17,121.738,97.398,0,65535
18,121.738,97.398,0,65535
19,121.738,97.398,0,65535
20,121.738,97.398,0,65535
21,121.738,97.398,0,65535
22,121.738,97.398,0,65535
23,121.738,97.398,0,65535
24,121.738,97.398,0,65535
25,121.738,97.398,0,65535
26,121.738,97.398,0,65535
27,121.738,97.398,0,65535
