PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 13, filenames: A:[13]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[14]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,NaN,NaN,2
24,37,4.967006207,1.686231613,1
24,53,5.129212379,2.653768063,1
24,69,6.418086529,2.433950424,1
24,85,6.722653866,1.825529099,1
24,101,6.021386147,1.422197342,1
24,117,4.954072952,1.35345912,1
24,133,NaN,NaN,2
24,149,9.348827362,1.860150337,1
24,165,7.671569824,1.206769466,1
24,181,NaN,NaN,2
24,197,7.906954288,-0.7278732061,1
24,213,11.68041611,0.6681216955,1
24,229,10.32791424,2.679162025,1
24,245,NaN,NaN,2
24,261,NaN,NaN,2
24,277,10.11848545,-0.960059166,1
24,293,9.737410545,-0.02866840363,1
24,309,NaN,NaN,2
24,325,NaN,NaN,2
24,341,NaN,NaN,2
24,357,NaN,NaN,2
24,373,11.31250477,-0.01243895292,1
24,389,10.52022076,0.3010523319,1
24,405,10.94243622,0.4920992851,1
24,421,11.75761986,0.5473755598,1
24,437,11.10558891,-1.454255581,1
24,453,10.21519184,-0.2401041985,1
24,469,7.749994278,1.187715411,1
24,485,6.399001122,1.847498536,1
24,501,3.260904312,-4.013518333,1
24,517,NaN,NaN,2
24,533,NaN,NaN,2
24,549,8.899559021,-6.572094917,1
24,565,9.123987198,-5.236240864,1
24,581,NaN,NaN,2
24,597,NaN,NaN,2
24,613,10.67055321,-4.649072647,1
24,629,11.68329239,-5.520430088,1
24,645,11.12742138,-6.897581577,1
24,661,11.44139576,-6.858064651,1
24,677,NaN,NaN,2
24,693,9.000407219,-5.340671539,1
24,709,9.484963417,-5.623321533,1
24,725,9.008800507,-5.86583662,1
24,741,8.037883759,-6.252387047,1
24,757,NaN,NaN,2
24,773,NaN,NaN,2
24,789,6.977227688,-7.217826366,1
24,805,6.993109226,-7.272063255,1
24,821,7.162193298,-7.556937695,1
24,837,NaN,NaN,2
24,853,8.523319244,-8.778926849,1
24,869,4.51455307,-9.343482018,1
24,885,2.105519772,-8.230025291,1
24,901,2.703820467,-6.316782951,1
24,917,4.208480358,-6.30141449,1
24,933,3.113090038,-6.720149517,1
24,949,2.354766369,-6.984250069,1
24,965,3.060248375,-7.822077751,1
24,981,3.987054825,-6.87848568,1
24,997,NaN,NaN,2
24,1013,3.125234842,-6.884877205,1
24,1029,2.922330856,-6.115218163,1
24,1045,NaN,NaN,2
24,1061,4.798230171,-5.717355728,1
24,1077,4.556424618,-6.708219051,1
24,1093,4.704403877,-6.614403725,1
24,1109,3.235348225,-6.700816631,1
24,1125,1.168046713,-7.443080902,1
24,1141,NaN,NaN,2
24,1157,NaN,NaN,2
24,1173,NaN,NaN,2
24,1189,1.205042839,-3.438868523,1
24,1205,NaN,NaN,2
24,1221,0.9963147044,-4.526531696,1
24,1237,0.8991475105,-4.960405827,1
24,1253,1.298686504,-5.127956867,1
24,1269,0.521345377,-3.931156635,1
24,1285,NaN,NaN,2
40,21,NaN,NaN,2
40,37,1.653585434,2.495731831,1
40,53,2.605554104,3.160316944,1
40,69,5.356126785,2.499717236,1
40,85,6.28981781,1.939959288,1
40,101,4.886533737,1.751606107,1
40,117,4.637664795,1.707218051,1
40,133,NaN,NaN,2
40,149,NaN,NaN,2
40,165,9.124889374,1.849439025,1
40,181,NaN,NaN,2
40,197,8.89040184,0.2516484857,1
40,213,10.41856003,0.6051285267,1
40,229,11.55473328,-0.3827713728,1
40,245,NaN,NaN,2
40,261,10.84372902,0.6835280657,1
40,277,9.794212341,0.588754952,1
40,293,9.413970947,1.606413722,1
40,309,9.153086662,0.9519722462,1
40,325,11.1716156,-0.5787522793,1
40,341,11.49748802,1.603034854,1
40,357,11.53418541,0.3151977062,1
40,373,10.8508873,0.08494573832,1
40,389,10.92847443,0.1321028471,1
40,405,10.65304184,-0.1093682945,1
40,421,10.50073528,-0.6771925688,1
40,437,10.17176914,-2.017175674,1
40,453,9.795446396,-1.657390594,1
40,469,8.876939774,0.2316529751,1
40,485,NaN,NaN,2
40,501,5.936327934,-2.356596708,1
40,517,10.58270264,-1.493350029,1
40,533,9.927423477,-2.639771938,1
40,549,9.854020119,-3.702810526,1
40,565,9.644742012,-3.409971714,1
40,581,10.1922617,-4.4156003,1
40,597,10.9161272,-4.734721184,1
40,613,11.74052238,-5.056502819,1
40,629,11.58979988,-5.886104584,1
40,645,10.71850109,-6.509967804,1
40,661,9.60801506,-6.685144424,1
40,677,8.241379738,-6.592552185,1
40,693,8.517918587,-6.675822735,1
40,709,9.116005898,-6.412631989,1
40,725,9.335095406,-6.869481564,1
40,741,9.17092514,-7.022716522,1
40,757,8.511631012,-7.456105232,1
40,773,6.540896416,-7.843660355,1
40,789,6.82638216,-7.079279423,1
40,805,6.808656693,-6.359029293,1
40,821,7.511194706,-6.971689224,1
40,837,NaN,NaN,2
40,853,6.935091496,-8.297300339,1
40,869,3.356980801,-9.058781624,1
40,885,1.273612022,-8.1652565,1
40,901,1.991200924,-6.967248917,1
40,917,3.441047192,-6.826700687,1
40,933,3.622276306,-7.011859894,1
40,949,3.525327682,-7.525230408,1
40,965,3.643888235,-7.461330414,1
40,981,4.519027233,-7.07729435,1
40,997,2.968637466,-6.753684521,1
40,1013,0.8119020462,-7.372491837,1
40,1029,-0.2461121082,-6.36079216,1
40,1045,5.014455318,-5.852337837,1
40,1061,3.7226336,-5.837321281,1
40,1077,3.045408964,-6.383672714,1
40,1093,3.021521091,-6.00470686,1
40,1109,2.68205142,-6.087603569,1
40,1125,NaN,NaN,2
40,1141,1.936941981,-5.425008774,1
40,1157,1.272358656,-5.255788326,1
40,1173,1.050713062,-4.666759491,1
40,1189,0.8483825922,-4.00764513,1
40,1205,1.667113423,-4.695938587,1
40,1221,0.7158643007,-5.368049622,1
40,1237,0.371843338,-5.457379341,1
40,1253,0.6340735555,-4.914360523,1
40,1269,-0.5023836493,-3.493584871,1
40,1285,NaN,NaN,2
