PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 7, filenames: A:[7]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[8]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,NaN,NaN,2
24,37,-2.314630985,-2.720926285,1
24,53,-2.067476749,-2.210335255,1
24,69,-1.781448841,-2.378597736,1
24,85,0.1096837521,-1.177496791,1
24,101,-0.6970968246,-0.3040211201,1
24,117,-0.4741532207,0.5567708015,1
24,133,-0.6609011889,-2.082264185,1
24,149,0.0107640624,-1.997068763,1
24,165,-3.150487423,-1.308824539,1
24,181,-0.4041965008,-2.002945662,1
24,197,NaN,NaN,2
24,213,2.63641715,-2.175795555,1
24,229,3.949337959,1.261416912,1
24,245,3.11754179,1.768013239,1
24,261,6.088517189,-1.413999438,1
24,277,6.519143105,-0.1467779875,1
24,293,5.663642883,-0.5000354648,1
24,309,4.648044109,-0.1576103568,1
24,325,NaN,NaN,2
24,341,5.323117733,2.646834135,1
24,357,5.149901867,0.7529995441,1
24,373,5.897001743,-0.9455776215,1
24,389,7.607628822,-0.9092907906,1
24,405,5.512475014,-0.8567535877,1
24,421,NaN,NaN,2
24,437,6.821146011,-1.131538153,1
24,453,NaN,NaN,2
24,469,NaN,NaN,2
24,485,NaN,NaN,2
24,501,-0.5808901787,0.6575552225,1
24,517,-0.6494834423,-0.5211342573,1
24,533,NaN,NaN,2
24,549,4.070694447,-2.252011776,1
24,565,4.66143322,0.8947114944,1
24,581,NaN,NaN,2
24,597,NaN,NaN,2
24,613,6.458082199,-6.959169865,1
24,629,6.291107655,-5.547949791,1
24,645,5.794652462,-3.023510456,1
24,661,4.366417408,-3.77632761,1
24,677,3.747257233,-3.175669193,1
24,693,3.035571098,-1.029180884,1
24,709,NaN,NaN,2
24,725,1.343129873,-0.5410151482,1
24,741,-1.310514331,-2.614700794,1
24,757,NaN,NaN,2
24,773,NaN,NaN,2
24,789,-1.77788806,-0.7886838913,1
24,805,0.07382631302,-0.7068247795,1
24,821,-0.3405413628,-0.2455505729,1
24,837,NaN,NaN,2
24,853,-3.496366262,-0.4463782609,1
24,869,-3.125642776,-0.4058451653,1
24,885,-1.985843897,-0.5351721048,1
24,901,-1.408053994,-1.006512761,1
24,917,-2.976569653,-0.6467565298,1
24,933,-2.092737913,0.1558431387,1
24,949,-3.219406128,-0.1810769141,1
24,965,-4.213909149,0.05696642399,1
24,981,NaN,NaN,2
24,997,-2.726827145,-1.574897528,1
24,1013,-3.088175535,0.6276334524,1
24,1029,-6.116177082,-0.9986209869,1
24,1045,NaN,NaN,2
24,1061,0.8013720512,-3.645963669,1
24,1077,-1.308445454,-1.762741566,1
24,1093,-3.757741928,-1.542274475,1
24,1109,-3.746604919,-4.185304642,1
24,1125,-4.242451668,-1.769728661,1
24,1141,NaN,NaN,2
24,1157,NaN,NaN,2
24,1173,-1.073443055,-1.8639884,1
24,1189,-4.721874714,-3.154128075,1
24,1205,NaN,NaN,2
24,1221,-2.669005394,-5.245493889,1
24,1237,-3.56425333,-4.683069706,1
24,1253,-3.436196804,-4.071680546,1
24,1269,NaN,NaN,2
24,1285,NaN,NaN,2
40,21,NaN,NaN,2
40,37,-3.01473856,-2.167432785,1
40,53,NaN,NaN,2
40,69,-0.8959439993,-1.706597686,1
40,85,0.3837482929,-0.9202338457,1
40,101,-0.6698265076,-0.8025503159,1
40,117,-0.8713331819,-0.3876424432,1
40,133,NaN,NaN,2
40,149,-0.9858570099,0.3218138218,1
40,165,-1.715214491,-1.420916915,1
40,181,1.759929657,-1.241352081,1
40,197,3.879009008,0.5564005375,1
40,213,NaN,NaN,2
40,229,4.659966469,0.8603850007,1
40,245,4.969696045,0.7018831372,1
40,261,4.992352962,-1.495465398,1
40,277,4.66950655,-2.177139282,1
40,293,3.841001511,-0.7536367774,1
40,309,NaN,NaN,2
40,325,7.974191666,0.9334445,1
40,341,8.218123436,1.492678165,1
40,357,7.356315136,3.55853343,1
40,373,7.117052078,2.519752741,1
40,389,7.2371521,1.950781584,1
40,405,NaN,NaN,2
40,421,7.805844784,-0.5457402468,1
40,437,6.00007534,-1.011159182,1
40,453,4.781670094,-0.6222670078,1
40,469,4.257559299,-0.8009186983,1
40,485,4.445937157,-0.7078305483,1
40,501,5.147768021,0.15143466,1
40,517,0.7004303932,0.02377676964,1
40,533,NaN,NaN,2
40,549,NaN,NaN,2
40,565,4.986200333,-0.2058983445,1
40,581,NaN,NaN,2
40,597,NaN,NaN,2
40,613,5.473899841,-4.134126663,1
40,629,5.185895443,-3.984635592,1
40,645,4.816635609,-3.491510153,1
40,661,3.835683584,-3.542281151,1
40,677,2.686994791,-3.45425272,1
40,693,1.181493044,-1.946427345,1
40,709,-0.6109718084,-1.635087252,1
40,725,0.2278699279,-2.025666475,1
40,741,-0.2595534027,-1.84327054,1
40,757,-1.025845647,-1.365047097,1
40,773,-1.052284002,-1.025169611,1
40,789,-2.004468441,-0.6541987658,1
40,805,-1.657640219,-0.1932494938,1
40,821,-0.6951920986,0.6523196697,1
40,837,-0.6476061344,-0.1286110133,1
40,853,-0.714627862,-0.1634183377,1
40,869,-0.7505791187,-0.5523029566,1
40,885,-1.417466164,-0.548833549,1
40,901,-3.291635513,-1.057692051,1
40,917,-3.127135754,-1.412996292,1
40,933,-1.753515005,0.1655818522,1
40,949,-1.548535824,0.05421538651,1
40,965,-1.801925778,-0.4754502177,1
40,981,-2.427763939,-1.240212202,1
40,997,-2.849258661,-1.005045414,1
40,1013,NaN,NaN,2
40,1029,NaN,NaN,2
40,1045,-1.548740387,-4.835616112,1
40,1061,NaN,NaN,2
40,1077,-2.442066193,-2.959190369,1
40,1093,-3.436082602,-2.395442009,1
40,1109,-3.769602299,-2.321945906,1
40,1125,-3.457607746,-1.403169274,1
40,1141,-2.78793335,-0.8310650587,1
40,1157,-1.980000257,-1.420824528,1
40,1173,-2.190791845,-2.220003128,1
40,1189,-4.156657696,-2.986958265,1
40,1205,-2.878862143,-3.805448055,1
