PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 11, filenames: A:[11]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[12]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-0.7576398849,1.694194794,1
24,37,-1.013190508,2.7263937,1
24,53,0.3805273771,-0.08240175247,1
24,69,0.6663702726,-0.02614063025,1
24,85,0.6103637218,1.416371107,1
24,101,0.4832823277,1.886987448,1
24,117,0.5179566145,2.038577318,1
24,133,1.126728773,2.255153179,1
24,149,NaN,NaN,2
24,165,-0.9048817158,-1.892126918,1
24,181,-2.091541767,-2.933572769,1
24,197,NaN,NaN,2
24,213,-0.5689556599,-0.6945586205,1
24,229,-1.163414717,4.293909073,1
24,245,NaN,NaN,2
24,261,3.49370718,1.533680439,1
24,277,NaN,NaN,2
24,293,NaN,NaN,2
24,309,3.893433332,1.477643728,1
24,325,4.237318993,2.32937026,1
24,341,4.370652199,0.8504078388,1
24,357,4.052382469,1.850893736,1
24,373,5.068194389,1.914937258,1
24,389,5.479710579,2.814439774,1
24,405,4.648822308,2.495984077,1
24,421,4.651030064,2.142162561,1
24,437,5.51180172,1.278352141,1
24,453,6.698101997,0.7302328944,1
24,469,4.296170235,-0.4187406301,1
24,485,1.894358635,-0.4036346674,1
24,501,NaN,NaN,2
24,517,NaN,NaN,2
24,533,NaN,NaN,2
24,549,5.565348148,-1.863269329,1
24,565,NaN,NaN,2
24,581,7.655954361,-2.058210373,1
24,597,NaN,NaN,2
24,613,5.161121845,-1.580199838,1
24,629,5.001009941,-0.5699896812,1
24,645,4.530491829,0.2191889286,1
24,661,2.367812872,0.3149732351,1
24,677,0.7675056458,0.2703222036,1
24,693,0.8140006065,0.2505179644,1
24,709,1.063582778,-0.08421134949,1
24,725,2.399133682,1.026405811,1
24,741,NaN,NaN,2
24,757,NaN,NaN,2
24,773,2.023456097,0.9147326946,1
24,789,1.242564201,-0.6093843579,1
24,805,0.6986382008,-1.228679895,1
24,821,2.274568558,-0.419834733,1
24,837,2.714131355,-1.123940468,1
24,853,1.330046773,-0.882458806,1
24,869,0.5199183226,-0.1792670488,1
24,885,0.4497788548,0.9221538305,1
24,901,NaN,NaN,2
24,917,0.6721596718,0.3477733731,1
24,933,1.211080432,0.3158283234,1
24,949,0.5527176261,-0.5487844348,1
24,965,-0.6200139523,-1.227397919,1
24,981,-1.011276841,-0.8044881821,1
24,997,-1.040243745,0.4075247049,1
24,1013,-1.316244483,0.1911684871,1
24,1029,-1.372779965,0.2320764065,1
24,1045,-0.6432468295,-2.509631634,1
24,1061,0.7933911085,-2.049660921,1
24,1077,NaN,NaN,2
24,1093,NaN,NaN,2
24,1109,0.4265799522,-0.5760734081,1
24,1125,-0.9635708332,0.358759433,1
24,1141,NaN,NaN,2
24,1157,NaN,NaN,2
24,1173,-1.608233929,-0.413009882,1
24,1189,-1.709816694,-0.6853749752,1
24,1205,-2.029788971,0.4115382433,1
24,1221,-2.186378479,1.449729919,1
24,1237,NaN,NaN,2
24,1253,-3.680093527,2.343188047,1
24,1269,NaN,NaN,2
24,1285,NaN,NaN,2
40,21,NaN,NaN,2
40,37,1.568360567,2.236272097,1
40,53,1.367809296,0.7442692518,1
40,69,0.9508254528,0.3942194283,1
40,85,1.415608287,1.299675941,1
40,101,1.088811636,2.39332509,1
40,117,0.8880292177,2.478298187,1
40,133,NaN,NaN,2
40,149,0.4756090641,1.875617027,1
40,165,-0.3090693355,0.674059093,1
40,181,-0.4101217389,-3.074814796,1
40,197,0.5639488101,1.616300583,1
40,213,NaN,NaN,2
40,229,2.499140739,2.586073399,1
40,245,3.728713274,2.435880899,1
40,261,5.333702087,3.055877924,1
40,277,4.733449459,3.455743074,1
40,293,3.550443649,3.483543873,1
40,309,4.079484463,3.329806566,1
40,325,4.522169113,3.753205061,1
40,341,NaN,NaN,2
40,357,NaN,NaN,2
40,373,5.671349049,3.096747637,1
40,389,NaN,NaN,2
40,405,4.587115765,2.558009863,1
40,421,4.513916492,1.920219183,1
40,437,4.803603172,0.8489421606,1
40,453,5.016304493,0.2716851234,1
40,469,4.36136055,-0.5241140127,1
40,485,6.713272572,-0.9247661829,1
40,501,NaN,NaN,2
40,517,NaN,NaN,2
40,533,4.671751976,-0.5338723063,1
40,549,5.972281456,-0.9219679832,1
40,565,5.50780201,-0.801053524,1
40,581,NaN,NaN,2
40,597,6.472236633,-0.7496213913,1
40,613,5.410680771,-1.386722803,1
40,629,4.887073994,-0.2379136235,1
40,645,5.298305511,-0.9312396646,1
40,661,5.442792416,-0.4089404047,1
40,677,3.813608885,-0.5761279464,1
40,693,2.946189165,-0.1808793843,1
40,709,1.635420561,-0.5931532383,1
40,725,NaN,NaN,2
40,741,1.941790819,1.264310956,1
40,757,2.217212677,-0.2002757192,1
40,773,1.869860411,-0.3915188611,1
40,789,0.7179508209,-0.3276682496,1
40,805,NaN,NaN,2
40,821,0.5515791178,0.231472075,1
40,837,1.982456326,-0.383333385,1
40,853,1.736004353,-0.8150082827,1
40,869,0.508836627,-0.2518218458,1
40,885,0.1210582852,0.4206468463,1
40,901,NaN,NaN,2
40,917,0.3662561774,0.1250006258,1
40,933,0.4703449905,0.01614998281,1
40,949,0.007074147463,-0.5580575466,1
40,965,-0.4357488453,-1.249343991,1
40,981,-0.7604498863,-0.7035959363,1
40,997,-0.6372073293,-0.4495106936,1
