PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 14, filenames: A:[14]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[15]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,11.78684807,4.652458191,1
24,37,12.25299454,5.227060795,1
24,53,NaN,NaN,2
24,69,NaN,NaN,2
24,85,NaN,NaN,2
24,101,13.2300024,2.300647736,1
24,117,NaN,NaN,2
24,133,NaN,NaN,2
24,149,NaN,NaN,2
24,165,14.27605343,0.7585970163,1
24,181,16.07602119,1.175049424,1
24,197,14.66145992,1.560021639,1
24,213,NaN,NaN,2
24,229,NaN,NaN,2
24,245,15.26091766,0.3715341687,1
24,261,15.96949387,1.065062523,1
24,277,15.69334221,-0.6665837765,1
24,293,NaN,NaN,2
24,309,NaN,NaN,2
24,325,13.35515594,-1.790196896,1
24,341,13.11215496,-1.92585659,1
24,357,NaN,NaN,2
24,373,NaN,NaN,2
24,389,13.37877274,-2.525372982,1
24,405,13.52443409,-2.424815655,1
24,421,13.01843357,-2.976449966,1
24,437,12.62025261,-4.308257103,1
24,453,NaN,NaN,2
24,469,11.0309124,-4.703736305,1
24,485,10.81468773,-4.939474106,1
24,501,11.00788116,-3.362048149,1
24,517,NaN,NaN,2
24,533,10.11094189,-5.712931156,1
24,549,11.01865292,-5.501381397,1
24,565,12.09845352,-5.567743301,1
24,581,13.4130373,-5.7041502,1
24,597,11.86624622,-6.568489075,1
24,613,14.00790119,-4.118039131,1
24,629,NaN,NaN,2
24,645,10.89501953,-8.086015701,1
24,661,8.613230705,-7.132323265,1
24,677,8.959983826,-5.909572601,1
24,693,9.844774246,-7.82215023,1
24,709,8.864938736,-8.481895447,1
24,725,10.19058037,-7.342680931,1
24,741,11.02120399,-7.291435242,1
24,757,11.70514584,-9.118192673,1
24,773,11.30642319,-7.985011101,1
24,789,10.33052158,-8.042806625,1
24,805,7.944583893,-8.818601608,1
24,821,8.722690582,-7.422282219,1
24,837,8.282849312,-8.34211731,1
24,853,6.500873089,-10.1011591,1
24,869,NaN,NaN,2
24,885,NaN,NaN,2
24,901,5.665994644,-8.408308029,1
24,917,NaN,NaN,2
24,933,NaN,NaN,2
24,949,5.959837914,-8.08355999,1
24,965,6.863264084,-8.136487961,1
24,981,6.498872757,-7.85256958,1
24,997,NaN,NaN,2
24,1013,4.827294827,-6.656787872,1
24,1029,4.793297291,-6.364989758,1
24,1045,3.447517395,-6.765504837,1
24,1061,2.663723707,-7.8393507,1
24,1077,3.655616522,-7.378462791,1
24,1093,2.959509373,-7.337418556,1
24,1109,2.597134352,-7.341278076,1
24,1125,2.78880024,-7.288601398,1
24,1141,3.185806274,-6.855531693,1
24,1157,2.675645113,-6.139676571,1
24,1173,2.049991608,-6.197347641,1
24,1189,2.518941879,-6.86882019,1
24,1205,2.185902119,-7.217963696,1
24,1221,1.685214877,-6.486916542,1
24,1237,1.383177042,-6.757133007,1
24,1253,0.4480909109,-7.999666691,1
24,1269,0.2167772055,-7.843362808,1
24,1285,-0.5552060604,-7.778761864,1
40,21,11.43873405,5.831166267,1
40,37,13.04574585,5.454556942,1
40,53,12.64618778,6.070443153,1
40,69,11.93339062,5.753518105,1
40,85,12.41715813,5.076032162,1
40,101,12.17718315,4.015443325,1
40,117,12.30294228,3.397032738,1
40,133,10.93595219,2.718214273,1
40,149,13.42819881,2.854085207,1
40,165,15.22718811,2.399198055,1
40,181,NaN,NaN,2
40,197,NaN,NaN,2
40,213,13.06724358,0.7349531054,1
40,229,12.22019577,0.6863002777,1
40,245,14.07920074,0.5946387649,1
40,261,15.01440334,1.496108532,1
40,277,15.08323383,0.5005324483,1
40,293,15.06174278,0.08862793446,1
40,309,14.56581783,-1.114454746,1
40,325,14.29805088,-0.8698252439,1
40,341,14.42425251,-1.082732677,1
40,357,14.10022163,-1.569177151,1
40,373,13.27494144,-2.079434633,1
40,389,12.38785076,-1.92491138,1
40,405,12.00191879,-2.063743114,1
40,421,12.21867085,-2.946192741,1
40,437,12.20706272,-4.08920002,1
40,453,12.03285027,-4.559446812,1
40,469,NaN,NaN,2
40,485,NaN,NaN,2
40,501,11.25893974,-2.617696762,1
40,517,NaN,NaN,2
40,533,11.31869411,-6.104522228,1
40,549,10.95450783,-6.062844276,1
40,565,11.89101028,-5.309512615,1
40,581,NaN,NaN,2
40,597,13.53286934,-5.788781166,1
40,613,13.60563469,-5.541782379,1
40,629,12.25489902,-6.169379234,1
40,645,10.55593014,-8.237918854,1
40,661,9.760983467,-6.380074501,1
40,677,9.893177032,-5.727802277,1
40,693,10.7214632,-7.516588688,1
40,709,7.771933079,-8.819297791,1
40,725,NaN,NaN,2
40,741,NaN,NaN,2
40,757,8.113508224,-8.734886169,1
40,773,8.698854446,-8.92864418,1
40,789,9.68069458,-8.695045471,1
40,805,8.476918221,-9.507333755,1
40,821,8.459030151,-9.660111427,1
40,837,8.047868729,-9.9871912,1
40,853,6.905332565,-12.36800098,1
40,869,NaN,NaN,2
40,885,6.190224648,-9.519844055,1
40,901,5.908883095,-9.004926682,1
40,917,5.870668888,-9.140028954,1
40,933,6.003846169,-9.975521088,1
40,949,6.391236782,-9.478694916,1
40,965,NaN,NaN,2
40,981,6.952298641,-8.649429321,1
40,997,6.644561291,-8.541286469,1
40,1013,6.300385952,-8.748607635,1
40,1029,5.30352354,-8.521185875,1
40,1045,NaN,NaN,2
40,1061,NaN,NaN,2
40,1077,4.419282913,-7.717679024,1
40,1093,4.793873787,-7.157724857,1
40,1109,4.059587479,-7.40901947,1
40,1125,3.500007868,-7.376524448,1
40,1141,3.202108145,-6.697125435,1
40,1157,2.790763378,-6.308298111,1
40,1173,1.69146502,-6.922293663,1
40,1189,0.681463778,-6.558112621,1
40,1205,1.359847188,-7.206168652,1
40,1221,1.462838411,-6.853485107,1
40,1237,1.503027678,-6.857497692,1
40,1253,0.9198151827,-7.431072712,1
40,1269,0.7726897597,-7.164896488,1
40,1285,-0.002791285515,-8.149662018,1
56,21,10.5900631,5.869503498,1
56,37,13.19998455,6.129838467,1
56,53,NaN,NaN,2
56,69,NaN,NaN,2
56,85,12.94718361,6.26266098,1
56,101,12.29050827,5.524774075,1
56,117,11.47224903,3.701167107,1
56,133,12.18608665,3.137993574,1
56,149,NaN,NaN,2
56,165,14.2939682,3.586796999,1
56,181,NaN,NaN,2
56,197,NaN,NaN,2
56,213,10.64787388,0.267788291,1
56,229,11.64254665,0.5288411975,1
56,245,13.26612663,1.477464557,1
56,261,16.59711075,0.8759112358,1
56,277,15.36446285,1.247095346,1
56,293,15.40028763,1.133360028,1
56,309,16.18590164,-0.004799872637,1
56,325,15.30582333,-0.6557716131,1
56,341,15.74437523,-1.052215695,1
56,357,15.12956715,-1.022391915,1
