PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 16, filenames: A:[16]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[17]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,NaN,NaN,2
24,37,NaN,NaN,2
24,53,NaN,NaN,2
24,69,7.965132713,1.231339455,1
24,85,7.833333969,2.433403492,1
24,101,NaN,NaN,2
24,117,9.259633064,3.303069115,1
24,133,8.534281731,2.301599979,1
24,149,8.831282616,3.005896091,1
24,165,8.853240967,2.149168253,1
24,181,9.368806839,0.771892488,1
24,197,9.814042091,-1.843056083,1
24,213,9.050120354,-0.8873720169,1
24,229,9.024784088,-0.6910464764,1
24,245,9.119263649,0.3300682306,1
24,261,9.06583786,1.136924028,1
24,277,8.761897087,0.4381558597,1
24,293,8.164049149,0.1634305418,1
24,309,7.722760201,0.5606003404,1
24,325,7.706206799,0.394902885,1
24,341,7.552546501,-0.00169223547,1
24,357,8.788724899,-0.728895545,1
24,373,NaN,NaN,2
24,389,NaN,NaN,2
24,405,7.149861336,-1.767412663,1
24,421,NaN,NaN,2
24,437,NaN,NaN,2
24,453,NaN,NaN,2
24,469,NaN,NaN,2
24,485,NaN,NaN,2
24,501,NaN,NaN,2
24,517,8.460159302,-2.49843812,1
24,533,7.033742905,-5.333375454,1
24,549,NaN,NaN,2
24,565,NaN,NaN,2
24,581,10.1397419,-5.884309769,1
24,597,NaN,NaN,2
24,613,NaN,NaN,2
24,629,9.3191576,-5.343826294,1
24,645,NaN,NaN,2
24,661,10.20939445,-5.284066677,1
24,677,8.18025589,-6.067314148,1
24,693,NaN,NaN,2
24,709,NaN,NaN,2
24,725,NaN,NaN,2
24,741,4.625436783,-3.84886694,1
24,757,5.031163692,-5.878393173,1
24,773,6.47898531,-5.938522339,1
24,789,6.004686356,-8.309796333,1
24,805,4.774069309,-7.209314346,1
24,821,4.703068733,-6.795282841,1
24,837,4.668130875,-7.832055092,1
24,853,4.962399483,-6.859936714,1
24,869,5.053798676,-6.798069954,1
24,885,5.019301414,-5.993659019,1
24,901,4.329197407,-7.531952858,1
24,917,3.594322443,-7.663747311,1
24,933,3.395667553,-6.372728348,1
24,949,3.366416931,-6.705488682,1
24,965,3.18880415,-6.325911045,1
24,981,3.474339962,-6.649822712,1
24,997,2.774678707,-8.511626244,1
24,1013,1.770967722,-8.824264526,1
24,1029,2.385486603,-7.326472759,1
24,1045,2.784518957,-5.929244995,1
24,1061,1.672001958,-4.904378891,1
24,1077,0.6099737883,-5.050467014,1
24,1093,0.8243510127,-5.625656128,1
24,1109,1.195470095,-7.691848755,1
24,1125,1.399006128,-7.509005547,1
24,1141,1.020327091,-5.677219868,1
24,1157,0.5092595816,-4.607103348,1
24,1173,-0.001011788845,-5.534772873,1
24,1189,-0.7023311853,-5.561080933,1
24,1205,NaN,NaN,2
24,1221,2.120203495,-6.066058636,1
24,1237,1.745914817,-5.058229446,1
24,1253,0.7978447676,-4.962482929,1
24,1269,-0.08970624208,-5.142742634,1
24,1285,NaN,NaN,2
40,21,NaN,NaN,2
40,37,NaN,NaN,2
40,53,7.969446182,2.715034485,1
40,69,8.238730431,2.689442158,1
40,85,8.675327301,2.251875639,1
40,101,8.672534943,1.116392612,1
40,117,8.927497864,2.815388203,1
40,133,7.624457359,1.878807783,1
40,149,7.050035477,1.339107156,1
40,165,6.804430962,-0.4428713322,1
40,181,6.977625847,-0.6197727919,1
40,197,8.004548073,-0.5749761462,1
40,213,8.779867172,-0.4466069937,1
40,229,9.065075874,1.32795465,1
40,245,NaN,NaN,2
40,261,8.833577156,0.9816969037,1
40,277,9.153356552,0.2223419547,1
40,293,9.690879822,0.1436752975,1
40,309,9.466171265,0.1313222051,1
40,325,8.370679855,-0.4754857719,1
40,341,7.844059467,-0.3648364544,1
40,357,8.132148743,-0.358879596,1
40,373,8.323922157,-0.1007645726,1
40,389,7.653120518,-0.1085082293,1
40,405,7.264788151,-0.6289752126,1
40,421,5.805312157,-0.7446154356,1
40,437,NaN,NaN,2
40,453,6.740093708,-1.412837863,1
40,469,7.031297207,0.4183331728,1
40,485,6.590051174,-2.377163887,1
40,501,5.284415722,-3.595689535,1
40,517,4.999774456,-1.952481985,1
40,533,9.288042068,-3.299996376,1
40,549,11.31299019,-4.11526823,1
40,565,10.3002224,-5.793197632,1
40,581,10.68567467,-5.358889103,1
40,597,10.38142681,-5.529616833,1
40,613,9.84940815,-6.097812653,1
40,629,9.496920586,-5.965657234,1
40,645,9.459135056,-5.422960758,1
40,661,9.556200981,-5.761501789,1
40,677,8.777443886,-6.854584217,1
40,693,8.456697464,-6.650402546,1
40,709,6.676236153,-6.727480412,1
40,725,4.506933212,-6.431442261,1
40,741,6.384222031,-5.96462965,1
40,757,6.965660095,-7.834309578,1
40,773,6.702066422,-7.442065716,1
40,789,NaN,NaN,2
40,805,NaN,NaN,2
40,821,4.758267403,-7.471060753,1
40,837,4.926125526,-8.014566422,1
40,853,4.792656422,-6.953249931,1
40,869,4.244617939,-6.481349945,1
40,885,4.517050743,-6.356458664,1
40,901,4.631280899,-7.836487293,1
40,917,4.063896656,-7.293457508,1
40,933,3.657163858,-6.720589638,1
40,949,3.45382309,-7.492239952,1
40,965,2.831005096,-8.736572266,1
40,981,2.427354097,-8.25856781,1
40,997,1.511791348,-8.123835564,1
40,1013,NaN,NaN,2
40,1029,2.143647432,-6.654696465,1
40,1045,3.040995359,-5.787741184,1
40,1061,2.887461424,-5.369688988,1
40,1077,1.332996488,-5.853573322,1
40,1093,1.119716883,-6.475599289,1
40,1109,1.376928806,-7.546221256,1
40,1125,0.7339484692,-7.109098434,1
40,1141,0.2720879018,-6.614478111,1
40,1157,0.1109853089,-6.05630064,1
40,1173,0.02042986453,-6.442718506,1
40,1189,0.6067657471,-5.712237835,1
40,1205,1.253261328,-5.703056335,1
40,1221,1.76552856,-5.197077751,1
40,1237,0.197894454,-5.474283695,1
40,1253,-0.270739615,-6.028786659,1
