PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 15, filenames: A:[15]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[16]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,13.17724228,5.475898266,1
24,37,9.83968544,2.497591257,1
24,53,NaN,NaN,2
24,69,NaN,NaN,2
24,85,13.85609245,2.951805353,1
24,101,12.89284515,3.929912329,1
24,117,NaN,NaN,2
24,133,NaN,NaN,2
24,149,12.85390949,2.324569225,1
24,165,12.72033691,2.365202188,1
24,181,13.06468868,1.3833673,1
24,197,14.49485397,0.5421178341,1
24,213,14.63655949,1.161133409,1
24,229,14.54973316,0.8644309044,1
24,245,14.80805206,1.568786144,1
24,261,15.27366829,1.468958616,1
24,277,14.80300808,1.17661643,1
24,293,13.81822681,0.6991972923,1
24,309,13.82936192,0.2035753727,1
24,325,13.37589359,-1.139733076,1
24,341,NaN,NaN,2
24,357,12.63854122,-1.320571899,1
24,373,13.06889343,-1.474918127,1
24,389,13.25431442,-1.786248684,1
24,405,13.4712019,-2.640028954,1
24,421,12.79244804,-2.876193285,1
24,437,12.06709957,-2.31277585,1
24,453,NaN,NaN,2
24,469,NaN,NaN,2
24,485,7.806810379,-2.516134977,1
24,501,NaN,NaN,2
24,517,16.7243576,-4.838447094,1
24,533,15.9621582,-3.884922504,1
24,549,14.91953468,-6.206697464,1
24,565,NaN,NaN,2
24,581,11.88907719,-6.717772007,1
24,597,12.27156162,-7.519439697,1
24,613,NaN,NaN,2
24,629,12.43303967,-7.974627018,1
24,645,11.0839529,-8.025756836,1
24,661,10.62755299,-8.108386993,1
24,677,NaN,NaN,2
24,693,8.394230843,-7.961928368,1
24,709,7.194043159,-8.690155983,1
24,725,7.09739542,-9.101142883,1
24,741,7.271471024,-8.633363724,1
24,757,8.668401718,-9.02883625,1
24,773,7.732336044,-9.032325745,1
24,789,7.787261486,-8.755900383,1
24,805,6.730156898,-8.516719818,1
24,821,NaN,NaN,2
24,837,6.695259094,-9.083183289,1
24,853,6.40846014,-9.288594246,1
24,869,6.152595997,-8.663600922,1
24,885,5.854856014,-8.793073654,1
24,901,5.568272114,-8.123610497,1
24,917,5.234625816,-8.312664986,1
24,933,5.084973335,-8.981993675,1
24,949,4.6830616,-8.847377777,1
24,965,4.201356888,-10.39504623,1
24,981,3.799809933,-11.25751972,1
24,997,3.260381222,-8.86081028,1
24,1013,NaN,NaN,2
24,1029,2.735684156,-7.689761162,1
24,1045,2.53767252,-6.128180981,1
24,1061,2.16532135,-6.00163269,1
