PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[10]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-1.111921787,-1.451330662,1
24,37,NaN,NaN,2
24,53,0.4846702218,-2.49854517,1
24,69,0.3512425423,-2.228591442,1
24,85,NaN,NaN,2
24,101,1.508000851,1.208062172,1
24,117,NaN,NaN,2
24,133,-1.667265415,2.091762781,1
24,149,-1.002086878,0.1762471199,1
24,165,1.728202581,1.242213488,1
24,181,0.9374309778,0.8365445137,1
24,197,1.344782233,0.3608236313,1
24,213,0.8591942191,1.413460732,1
24,229,3.156068087,0.6925753355,1
24,245,4.079586506,0.5837171078,1
24,261,2.968608856,0.4265623093,1
24,277,2.313673735,0.4407958388,1
24,293,2.936747074,0.3390769958,1
24,309,3.677543402,0.6625202298,1
24,325,5.079396725,1.055514336,1
24,341,5.855167866,2.539134741,1
24,357,4.196371078,2.229556084,1
24,373,3.313194275,0.1225460768,1
24,389,NaN,NaN,2
24,405,2.496334553,1.015977859,1
24,421,1.315224648,1.377058506,1
24,437,NaN,NaN,2
24,453,1.746799588,2.108102083,1
24,469,1.900395393,-0.01028263569,1
24,485,NaN,NaN,2
24,501,NaN,NaN,2
24,517,NaN,NaN,2
24,533,1.956582546,-1.719319463,1
24,549,2.754842758,-0.3620759249,1
24,565,1.582354426,0.1143922061,1
24,581,-0.1365451813,0.2959762216,1
24,597,-0.590408802,-0.4336183667,1
24,613,NaN,NaN,2
24,629,1.278809667,-1.756815791,1
24,645,0.01457262039,-1.552817822,1
24,661,NaN,NaN,2
24,677,-1.597465515,-2.632018805,1
24,693,-1.560923219,-3.066210985,1
24,709,NaN,NaN,2
24,725,NaN,NaN,2
24,741,-2.224194527,-2.661268473,1
24,757,-1.611061096,-2.398136616,1
24,773,-0.8981149197,-2.004337549,1
24,789,0.508939445,-1.208354235,1
