PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 17, filenames: A:[17]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[18]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,NaN,NaN,2
24,37,4.615311623,-0.3237729073,1
24,53,5.26955986,-0.3085055947,1
24,69,5.018055916,-1.251884341,1
24,85,4.881681919,-0.05159753561,1
24,101,4.221529007,-0.3679517508,1
24,117,2.948869228,-0.799085021,1
24,133,4.708745003,-0.6040055752,1
24,149,3.773481369,-0.6241256595,1
24,165,4.801738262,0.08518892527,1
24,181,4.321407795,0.2764588594,1
24,197,2.737801552,0.6236757636,1
24,213,2.640289545,0.07818102837,1
24,229,2.657520533,-1.02396524,1
24,245,5.006733894,-2.444911718,1
24,261,5.562208652,-3.097287178,1
24,277,5.061441422,-2.995226383,1
24,293,5.204698563,-1.231906414,1
24,309,5.387278557,-2.001292944,1
24,325,NaN,NaN,2
24,341,5.776737213,-5.988343239,1
24,357,6.032376289,-4.287059307,1
24,373,NaN,NaN,2
24,389,5.599303246,-2.533157825,1
24,405,5.013805866,-2.6330266,1
24,421,NaN,NaN,2
24,437,3.124173164,-4.339431763,1
24,453,3.711123466,-4.886897564,1
24,469,4.302108765,-4.972247601,1
24,485,2.503010273,-7.947478294,1
24,501,4.228639603,-6.290792465,1
24,517,6.352070332,-5.870804787,1
24,533,5.801720619,-7.567403316,1
24,549,3.622822046,-7.381732941,1
24,565,NaN,NaN,2
24,581,NaN,NaN,2
24,597,5.376542568,-8.404720306,1
24,613,6.477114677,-7.43204689,1
24,629,NaN,NaN,2
24,645,3.940977097,-6.958622456,1
24,661,1.352340817,-6.33813858,1
24,677,1.283798456,-5.110620499,1
24,693,NaN,NaN,2
24,709,2.507184982,-5.35290575,1
24,725,3.905799389,-5.861620903,1
24,741,NaN,NaN,2
24,757,NaN,NaN,2
24,773,NaN,NaN,2
24,789,NaN,NaN,2
24,805,5.14869833,-6.899581909,1
24,821,4.000868797,-6.844046593,1
24,837,4.663583755,-6.133136749,1
24,853,5.082367897,-5.334166527,1
24,869,NaN,NaN,2
24,885,3.993266582,-4.673954964,1
24,901,2.479207754,-4.532637596,1
24,917,1.238210201,-4.203668118,1
24,933,0.5710703135,-5.493911743,1
24,949,0.9202333689,-6.589232445,1
24,965,0.05238187313,-7.182490349,1
24,981,NaN,NaN,2
24,997,NaN,NaN,2
24,1013,NaN,NaN,2
24,1029,0.7911000252,-6.4414258,1
24,1045,0.9836125374,-6.241303444,1
24,1061,1.020238757,-5.550384521,1
24,1077,1.223614216,-5.395565033,1
24,1093,2.220816135,-6.515482903,1
24,1109,2.399757862,-5.510775089,1
24,1125,0.7269024849,-4.968280792,1
24,1141,-0.6854382753,-4.667849064,1
24,1157,-0.3328029215,-5.397953987,1
24,1173,1.199969053,-5.553722858,1
24,1189,1.147802711,-5.945532322,1
24,1205,0.2048470378,-6.182626724,1
24,1221,-1.091333151,-5.498008728,1
24,1237,NaN,NaN,2
24,1253,-0.3247933388,-4.769980907,1
24,1269,-1.165024161,-3.827220917,1
24,1285,-1.053083062,-3.173092842,1
40,21,2.386079073,-0.08745324612,1
40,37,3.290048599,-1.038149118,1
40,53,5.311545849,-0.6260523796,1
40,69,5.974540234,-0.7684561014,1
40,85,NaN,NaN,2
40,101,NaN,NaN,2
40,117,4.850055695,0.003647387028,1
40,133,5.924095154,0.04635727406,1
40,149,NaN,NaN,2
40,165,4.05170536,-1.080990911,1
40,181,4.211454391,-0.2329137623,1
40,197,3.261422873,-0.05871675909,1
40,213,3.145043135,-0.1667000651,1
40,229,2.815330982,-0.5654681921,1
40,245,3.645991087,-1.287300944,1
40,261,4.251335144,-2.134935856,1
40,277,4.51082468,-2.960556984,1
40,293,4.468045712,-2.513305902,1
40,309,4.716539383,-3.087841034,1
40,325,4.721146584,-5.970428467,1
40,341,5.554016113,-4.986156464,1
40,357,NaN,NaN,2
40,373,6.526321411,-4.192046165,1
40,389,5.774317741,-3.893238783,1
40,405,5.400868893,-3.472694874,1
40,421,4.75070715,-3.24511385,1
40,437,4.006444454,-3.879139662,1
40,453,NaN,NaN,2
40,469,NaN,NaN,2
40,485,3.385730982,-9.216846466,1
40,501,3.99870491,-9.989057541,1
40,517,4.416686535,-6.419919968,1
40,533,NaN,NaN,2
40,549,4.908535004,-6.094509125,1
40,565,5.926595211,-6.852344513,1
40,581,5.786993504,-6.711766243,1
40,597,5.634356976,-6.886230469,1
40,613,5.397983551,-7.709366798,1
40,629,NaN,NaN,2
40,645,2.87140274,-6.086162567,1
40,661,NaN,NaN,2
40,677,NaN,NaN,2
40,693,1.538912296,-5.454444885,1
40,709,1.577698231,-6.231964111,1
40,725,2.578429937,-6.032350063,1
40,741,2.234519958,-4.511242867,1
40,757,2.479289293,-5.929728508,1
40,773,4.085717201,-6.426211834,1
40,789,3.886035442,-6.498603344,1
40,805,3.395080805,-6.232010365,1
40,821,3.083323956,-6.621122837,1
40,837,3.37711978,-6.759590626,1
40,853,3.025080204,-5.811017036,1
40,869,3.299103022,-5.546884537,1
40,885,3.160381556,-5.717318535,1
40,901,2.407826185,-6.488220692,1
40,917,1.680098534,-5.853673458,1
40,933,1.171073914,-5.89246273,1
40,949,0.6486673355,-6.1601758,1
40,965,0.6784507632,-7.126971245,1
40,981,1.255802393,-7.517012119,1
40,997,1.860146761,-6.076711178,1
40,1013,2.185038567,-5.821183681,1
40,1029,2.641405582,-6.207247257,1
40,1045,1.756625056,-6.248980522,1
40,1061,1.08861053,-5.841984749,1
40,1077,0.8648641109,-5.87984705,1
40,1093,1.856776595,-7.259624481,1
40,1109,3.12478137,-6.503313541,1
40,1125,0.5300017595,-7.414753437,1
40,1141,-0.6181131005,-5.806372643,1
40,1157,0.07556715608,-5.137029171,1
40,1173,0.9734151959,-5.439311504,1
40,1189,1.041989326,-6.098129272,1
40,1205,0.06787566841,-6.816784382,1
40,1221,-0.4393052459,-5.410898209,1
40,1237,-0.6187884808,-5.345876217,1
