PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 12, filenames: A:[12]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[13]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
56,117,1.075174689,3.057187557,1
56,133,NaN,NaN,2
56,149,3.304966211,3.644177914,1
56,165,NaN,NaN,2
56,181,5.510470867,2.628960848,1
56,197,5.723352432,3.302663326,1
56,213,6.575305939,2.081722498,1
56,229,NaN,NaN,2
56,245,NaN,NaN,2
56,261,8.530711174,1.558532834,1
56,277,8.637164116,2.973255873,1
56,293,7.57678175,2.50810504,1
56,309,8.192037582,1.718210101,1
56,325,8.061887741,0.8087513447,1
56,341,7.407252312,0.6582820415,1
56,357,7.627331257,1.329181194,1
56,373,7.700399399,2.548647881,1
56,389,8.391296387,3.074971199,1
56,405,9.185949326,0.9669898748,1
56,421,NaN,NaN,2
56,437,10.75925255,0.8444463015,1
56,453,9.20367527,1.851952553,1
56,469,8.938501358,1.603097677,1
56,485,NaN,NaN,2
56,501,NaN,NaN,2
56,517,NaN,NaN,2
56,533,NaN,NaN,2
56,549,8.794186592,-0.2228095829,1
56,565,9.11144352,1.88800776,1
56,581,9.843905449,-0.6931746602,1
56,597,9.673504829,-1.258192182,1
56,613,9.213511467,-1.190212846,1
56,629,8.76364994,-1.727298498,1
56,645,8.365242958,-2.460744143,1
56,661,7.966133118,-4.046647549,1
56,677,7.254135609,-4.459787369,1
56,693,6.373545647,-3.534583569,1
56,709,6.092243671,-1.749400496,1
56,725,5.054242611,-1.197883129,1
56,741,3.918500423,-1.565439343,1
56,757,3.406020164,-2.400776148,1
56,773,3.456940174,-0.9580501318,1
56,789,3.361345768,-0.9331962466,1
56,805,3.276141167,-1.916808486,1
56,821,3.057654381,-1.301616073,1
56,837,3.23641181,-0.7421938181,1
56,853,NaN,NaN,2
56,869,2.058620691,-0.7863453627,1
56,885,NaN,NaN,2
56,901,0.3043498993,-1.773758054,1
56,917,NaN,NaN,2
56,933,0.3562622666,-1.971804619,1
56,949,0.6290332675,-2.116632462,1
56,965,0.626054287,-2.276334047,1
56,981,0.4123653173,-2.18253231,1
56,997,0.7757642269,-1.965839982,1
56,1013,NaN,NaN,2
56,1029,2.926411629,-2.023263454,1
56,1045,1.234874725,-2.02900362,1
56,1061,0.1682959497,-1.470891237,1
56,1077,NaN,NaN,2
56,1093,0.3998918235,-0.7573245764,1
56,1109,0.6558184624,-1.355111599,1
56,1125,0.8740879297,-1.87396121,1
56,1141,-0.527017653,-1.467383742,1
56,1157,-1.833714962,-1.439942956,1
56,1173,-1.633141637,-1.731267333,1
56,1189,-1.840910077,-1.84640789,1
56,1205,NaN,NaN,2
56,1221,-2.433581114,-1.447080612,1
56,1237,-2.980244398,0.2074832916,1
56,1253,-2.838134766,0.01734933257,1
56,1269,-3.135633469,-0.08694605529,1
56,1285,-3.757805347,-0.4493422508,1
72,21,2.365098,1.155404568,1
72,37,0.4544919133,-0.318195343,1
72,53,-0.2236582041,0.5412867069,1
72,69,0.1431998312,0.6291851997,1
72,85,0.7899315357,2.883330345,1
72,101,1.047100425,2.45404768,1
72,117,1.401915908,2.595506668,1
72,133,1.720956564,3.014419079,1
72,149,3.252192497,3.617628098,1
72,165,3.706224918,3.896245003,1
72,181,3.919064045,4.516076088,1
72,197,5.27948761,3.463197231,1
72,213,5.811965466,3.032112837,1
72,229,NaN,NaN,2
72,245,NaN,NaN,2
72,261,7.716910362,2.126563311,1
72,277,8.737812996,3.4150424,1
72,293,9.170578957,3.123483658,1
72,309,7.907001495,2.495807648,1
72,325,7.690636158,1.778413534,1
72,341,7.470506191,1.442585468,1
72,357,7.496580124,1.447616339,1
72,373,8.025413513,3.072739363,1
72,389,8.198535919,3.462405205,1
72,405,7.094809532,1.249610782,1
72,421,NaN,NaN,2
72,437,10.08872223,1.435078263,1
72,453,9.611987114,1.03161335,1
72,469,9.064165115,1.108457088,1
72,485,8.921502113,1.496835351,1
72,501,9.096283913,-0.2857627869,1
72,517,NaN,NaN,2
72,533,10.82071686,0.6001285911,1
72,549,10.5551548,0.5928596258,1
72,565,9.71522522,0.6892735958,1
72,581,10.41312122,-0.662055254,1
72,597,9.974176407,-1.303318977,1
72,613,9.532046318,-1.010170698,1
72,629,NaN,NaN,2
72,645,8.292119026,-2.007416725,1
72,661,NaN,NaN,2
72,677,NaN,NaN,2
72,693,NaN,NaN,2
72,709,5.771770954,-2.036569595,1
72,725,5.170954704,-3.228648901,1
72,741,4.620679379,-1.97443676,1
72,757,4.189144135,-2.614705563,1
72,773,3.85108161,-1.183545947,1
72,789,3.848831177,-1.193835974,1
72,805,3.930044651,-2.524186134,1
72,821,3.415766001,-1.453367591,1
72,837,3.237947941,-0.9024769068,1
72,853,3.287087917,-0.9854186773,1
72,869,2.458503723,-1.001504898,1
72,885,NaN,NaN,2
72,901,NaN,NaN,2
72,917,NaN,NaN,2
72,933,0.288973093,-1.820010424,1
72,949,0.600618124,-1.755748749,1
72,965,0.3536006212,-1.722281098,1
72,981,0.2360040247,-1.804819822,1
72,997,0.4616944194,-1.566975594,1
72,1013,1.288175702,-1.824390173,1
72,1029,2.306039572,-1.368472099,1
72,1045,1.512467861,-1.865234971,1
72,1061,0.3949741125,-1.534548044,1
72,1077,-0.3696960211,-1.916432858,1
72,1093,-0.2310071886,-1.760867357,1
72,1109,1.465726376,-1.130869627,1
72,1125,0.9449043274,-1.713209271,1
72,1141,-1.160237312,-1.683788657,1
72,1157,-1.735631943,-1.682235241,1
72,1173,-1.504714012,-1.797570467,1
72,1189,-1.928228021,-2.010611534,1
72,1205,NaN,NaN,2
72,1221,-2.685742378,-1.428906202,1
72,1237,-3.368334055,-0.252147913,1
72,1253,-4.022969723,-0.02209955454,1
72,1269,-3.896156788,0.5548118353,1
72,1285,NaN,NaN,2
88,21,2.054211855,-0.00604891777,1
88,37,NaN,NaN,2
88,53,-0.1465831101,-0.008390367031,1
88,69,0.445235312,0.4344491959,1
88,85,1.142187119,1.699586272,1
88,101,NaN,NaN,2
88,117,2.119692802,2.32042408,1
88,133,2.531536341,2.722063541,1
88,149,2.379013538,2.152222157,1
88,165,NaN,NaN,2
88,181,4.17757988,4.614203453,1
88,197,5.295192719,3.251938105,1
88,213,NaN,NaN,2
88,229,6.564383507,2.781422377,1
88,245,NaN,NaN,2
88,261,8.284443855,2.584067583,1
88,277,9.445349693,3.581158161,1
88,293,9.688451767,3.458777905,1
88,309,8.36734581,3.184141397,1
88,325,7.705303192,2.686686039,1
88,341,7.458884239,2.206419468,1
88,357,8.178945541,2.23772788,1
88,373,8.363040924,2.849273682,1
88,389,8.440957069,2.031475306,1
88,405,NaN,NaN,2
88,421,NaN,NaN,2
88,437,9.356014252,1.260301232,1
88,453,10.04278755,1.471332312,1
88,469,9.58054924,1.243850589,1
88,485,9.178723335,1.042541862,1
88,501,9.337198257,0.288985312,1
88,517,9.130187035,-0.7945975661,1
88,533,9.875614166,1.947094917,1
88,549,NaN,NaN,2
88,565,8.628321648,0.1080378294,1
88,581,9.445254326,-0.3898741603,1
88,597,9.69899559,-0.674823463,1
88,613,9.546365738,-0.521274507,1
88,629,9.179735184,-1.583292007,1
88,645,7.928142548,-2.457470179,1
88,661,NaN,NaN,2
88,677,6.777681828,-2.934069157,1
88,693,NaN,NaN,2
88,709,5.276780128,-2.336836338,1
88,725,5.467051029,-3.692304611,1
88,741,4.597950459,-2.842507362,1
88,757,4.031653404,-3.721822739,1
88,773,4.224317551,-1.861015081,1
88,789,4.40571785,-1.403968096,1
88,805,4.48470974,-2.748502254,1
88,821,4.173726559,-1.84600389,1
88,837,3.12808466,-2.310967445,1
88,853,NaN,NaN,2
88,869,NaN,NaN,2
88,885,1.724667668,-1.970482707,1
88,901,0.5412310958,-1.206699014,1
88,917,NaN,NaN,2
88,933,-0.02811944485,-0.8058527112,1
88,949,1.082790613,-1.376789331,1
88,965,0.6726682782,-1.768296242,1
88,981,0.5497669578,-1.934617519,1
88,997,0.6449606419,-1.96987009,1
88,1013,1.64256978,-1.610581398,1
88,1029,2.114053965,-1.365709186,1
88,1045,1.498943567,-1.844445348,1
88,1061,-0.2393900305,-1.213732719,1
88,1077,-0.9210837483,-2.399284363,1
88,1093,-1.033380508,-2.07262373,1
88,1109,-0.8273494244,-1.259655118,1
88,1125,NaN,NaN,2
88,1141,-0.8012378812,-1.886966825,1
88,1157,-1.00378108,-1.417840838,1
88,1173,-1.30745697,-1.685141206,1
88,1189,-2.405310154,-1.508710384,1
88,1205,-2.161708355,-1.739770532,1
88,1221,-2.710953712,-1.005818725,1
88,1237,-3.344071627,-0.4820386767,1
88,1253,-3.487239838,-0.374638617,1
88,1269,-3.370057106,0.7782831192,1
88,1285,-2.950450659,0.3260529041,1
104,21,NaN,NaN,2
104,37,-0.8164361715,0.4884045124,1
104,53,0.3877608776,0.8269087672,1
104,69,NaN,NaN,2
104,85,2.357422829,2.017751694,1
104,101,2.984993696,2.440306187,1
104,117,3.017082214,2.341175079,1
104,133,3.190030336,2.523378372,1
104,149,NaN,NaN,2
104,165,3.322108507,2.127215147,1
104,181,4.161610603,2.764450788,1
104,197,5.38275671,2.727941513,1
104,213,NaN,NaN,2
104,229,6.883776188,3.84926796,1
104,245,7.83693409,3.524597168,1
104,261,8.767784119,3.704848528,1
104,277,8.990379333,3.946702957,1
104,293,8.994007111,3.657991409,1
104,309,8.82138443,3.931954861,1
104,325,8.503303528,3.233870029,1
104,341,8.013936996,2.749824762,1
104,357,8.499509811,2.640800953,1
104,373,8.830046654,3.891321659,1
104,389,NaN,NaN,2
104,405,NaN,NaN,2
104,421,NaN,NaN,2
104,437,NaN,NaN,2
104,453,9.738301277,2.519486427,1
104,469,10.32038116,2.866800785,1
104,485,10.58026409,1.766441822,1
104,501,10.0589819,1.67099452,1
104,517,9.397828102,1.124454737,1
104,533,NaN,NaN,2
104,549,NaN,NaN,2
104,565,9.018033981,0.1285283118,1
104,581,9.546238899,0.09934437275,1
104,597,10.08238029,0.2706143856,1
104,613,9.331446648,0.1670271158,1
104,629,9.186221123,-1.115870237,1
104,645,8.277425766,-2.367944002,1
104,661,7.015470505,-2.869024277,1
104,677,6.728113174,-2.818312645,1
104,693,6.110639572,-2.140770435,1
104,709,5.812825203,-3.349759579,1
104,725,5.179552078,-4.458299637,1
104,741,5.122439861,-3.561454773,1
104,757,4.823711395,-3.667562723,1
104,773,5.387276173,-2.011423588,1
104,789,6.089540958,-1.954238534,1
104,805,NaN,NaN,2
104,821,4.933243752,-0.9998524189,1
104,837,3.601126432,-2.051328659,1
104,853,NaN,NaN,2
104,869,3.648400068,-2.037287951,1
104,885,2.006657839,-2.201038837,1
104,901,1.188126564,-1.476691723,1
