Time (hpf),control_08032023_Pos001,control_08032023_Pos002,ysl_08032023_Pos003,ysl_08032023_Pos004,ysl_08032023_Pos005
4.25,0.33632525923193524,0.4175990819295881,0.1692282470593053,0.4355916226074833,0.23763268986433878
4.75,0.20431165211689056,0.05274806344522225,0.15295708840526245,0.5166195335874417,0.6298208942989463
5.25,0.225692309794117,0.5192016066232225,0.43127450578575593,0.18077243602879864,0.5618809514051121
5.75,0.2378786015820321,0.9327021599245873,0.4035411287347844,0.3258740112299682,0.8389688101971391
6.25,0.5355410740877357,0.8735057447709603,1.0532125633564222,0.2597920679809284,0.8495156905337652
6.75,0.9175785892864463,1.0441001680396746,0.7910979958195005,0.579900815607197,1.2641501700889377
7.25,1.155921690779677,1.4504419580037433,0.7004658660874079,0.7570802082052533,1.054824651283523
7.75,1.5581376285913344,1.5583835403090276,0.4041968933152996,0.7790893069388096,0.91766055985901
8.25,1.384892823476372,1.404046613932264,0.35271937374482615,0.753364208915666,0.9035616213779258
8.75,1.1061518914709632,1.6669535636706432,0.5868683142751735,0.9593835812943159,0.7530226648633137
9.25,2.002541087749497,1.8235173572687389,0.6446439061710184,0.7577906198341458,0.6590980504665495
9.75,1.7683511619328667,,0.9371285708430677,0.5800647567523267,0.6366244518217943
10.25,2.443501782859954,,0.6724455920324597,0.7777367924914955,1.3424320668879879
