 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,3262.273,123.876,126.203,136.706,269.017,95.326,43.573,145.311,0.566,100,2.188,0.457,0.860
2,3252.525,123.914,127.031,138.505,254.187,92.585,44.729,144.419,0.633,100,2.070,0.483,0.900
3,2668.781,124.613,125.349,137.190,219.637,82.289,41.293,144.295,0.695,100,1.993,0.502,0.929
4,2217.256,125.242,124.296,136.361,199.222,76.736,36.790,144.588,0.702,100,2.086,0.479,0.942
5,1830.592,125.959,124.443,136.459,189.684,72.784,32.023,146.152,0.639,100,2.273,0.440,0.921
6,1637.137,126.451,124.469,137.257,177.712,69.706,29.904,146.461,0.651,100,2.331,0.429,0.936
7,1434.215,127.122,125.128,137.640,167.315,63.759,28.641,146.428,0.644,100,2.226,0.449,0.917
8,1157.998,128.265,124.509,137.392,148.466,58.133,25.363,147.170,0.660,100,2.292,0.436,0.927
9,995.207,129.188,123.830,136.994,139.822,55.188,22.960,146.714,0.640,100,2.404,0.416,0.917
10,876.736,130.270,122.753,137.252,130.108,50.640,22.044,147.056,0.651,100,2.297,0.435,0.912
11,794.479,131.070,122.713,137.312,126.132,47.901,21.118,146.548,0.628,100,2.268,0.441,0.899
12,719.917,131.664,122.631,137.660,118.523,45.871,19.983,145.808,0.644,100,2.295,0.436,0.917
13,639.642,132.211,121.658,137.492,109.759,43.130,18.883,144.541,0.667,100,2.284,0.438,0.915
14,559.520,131.943,121.810,137.885,102.090,39.208,18.170,144.882,0.675,100,2.158,0.463,0.914
15,467.619,128.165,121.012,137.795,93.335,36.698,16.224,143.963,0.675,100,2.262,0.442,0.921
