PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 16, filenames: A:[16]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[17]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-6.508160114,-0.3214623928,1
47,65,-1.094935417,-0.3381591439,1
47,97,-3.428717375,-0.2503743768,1
47,129,-1.459330678,-0.5174120665,1
47,161,0.7234761715,-1.282752037,1
47,193,0.8840473294,-1.014891624,1
47,225,2.263258934,0.5300686359,1
47,257,3.522688389,0.3612288833,1
47,289,3.770759583,-0.983571887,1
47,321,3.335113764,-2.306710005,1
47,353,3.173917294,-3.65004611,1
47,385,4.457111359,-3.966724873,1
47,417,5.262026787,-4.463707924,1
47,449,4.137062073,-3.734865904,1
47,481,1.955170631,-2.555404186,1
47,513,2.659903526,-3.518434525,1
47,545,4.410393715,-4.872644424,1
47,577,10.75391102,-12.76833153,1
47,609,10.49174213,-23.80377579,1
47,641,4.167289257,-8.570706367,1
47,673,4.8057127,-7.7584939,1
47,705,4.401941299,-6.761458397,1
47,737,2.772561312,-5.893923759,1
47,769,2.748672724,-5.979119778,1
47,801,4.03335762,-5.872564316,1
47,833,3.167522907,-4.479085922,1
47,865,1.356232882,-4.248417854,1
47,897,3.342481613,-3.579653263,1
47,929,-0.7083377838,-14.28674889,1
47,961,0.9832296371,-12.14739513,1
47,993,3.811484814,-3.386633158,1
47,1025,4.509225845,-2.563997507,1
47,1057,5.155890465,-1.801904917,1
47,1089,5.704382896,-2.926487446,1
47,1121,5.696012497,-4.461530685,1
47,1153,-16.23208809,-6.169962406,1
47,1185,2.663506746,-5.255560398,1
47,1217,2.289361,-6.396292686,1
47,1249,1.199280262,-5.843183994,1
47,1281,0.9406170845,-5.10818243,1
47,1313,2.355334997,-3.417662144,1
47,1345,3.467602968,-2.413145542,1
