PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 47, filenames: A:[47]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[48]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.29945159,6.930490494,1
47,65,1.777872443,-3.682121992,1
47,97,-0.3022454977,-5.419183731,1
47,129,1.404624224,-2.770633698,1
47,161,1.220080853,14.88738441,1
47,193,5.688382149,16.37388229,1
47,225,2.01170063,-2.074750662,1
47,257,1.749884129,-1.947468758,1
47,289,1.109931469,-0.9948375225,1
47,321,11.98001766,5.279500484,1
47,353,0.9610445499,-0.7443699837,1
47,385,0.9977459908,-1.179069161,1
47,417,1.418349266,-1.750779867,1
47,449,2.368853092,-3.086774826,1
47,481,-11.96250439,6.058575153,1
47,513,0.790412426,-1.854259014,1
47,545,-0.4874391556,-0.3835382462,1
47,577,2.273069143,-2.563199282,1
47,609,1.696086407,-1.918131828,1
47,641,2.547321796,-4.111225605,1
47,673,3.73673439,-2.844456434,1
47,705,3.834251881,-3.360985279,1
47,737,5.569346428,-4.187451363,1
47,769,6.799821854,-4.322417259,1
47,801,5.267560959,-2.121455193,1
47,833,4.016627312,-0.9579646587,1
47,865,3.847400188,-1.799250364,1
47,897,5.054264069,-4.56415081,1
47,929,-13.39347458,-1.112355709,1
47,961,8.333266258,-5.785860062,1
47,993,5.604140282,-4.849253654,1
47,1025,5.064307213,-5.664745331,1
47,1057,3.083033562,-7.972156525,1
47,1089,1.276525617,-8.556215286,1
47,1121,0.78312397,-8.539505005,1
47,1153,2.088956833,-7.883245468,1
47,1185,0.05607479811,-7.209524155,1
47,1217,0.0703728199,-5.639485359,1
47,1249,1.358211517,-5.342177391,1
47,1281,1.179885149,-4.69772768,1
47,1313,0.5710904598,-1.758380175,1
47,1345,-0.916074872,0.06756448746,1
47,1377,-1.357406497,-2.910832882,1
47,1409,-0.9976165295,-5.120989323,1
47,1441,-1.951930523,-4.656084061,1
47,1473,-2.069049597,-5.325606823,1
47,1505,-2.249332905,-3.914858103,1
47,1537,-5.034220695,-2.018057346,1
47,1569,-6.670347214,-1.379391909,1
47,1601,-4.864813328,-1.827178359,1
47,1633,-0.9759187698,-1.532132149,1
47,1665,-0.3074185252,-0.32906425,1
47,1697,-0.6276689172,-0.4842441082,1
47,1729,-0.3745474219,-0.2676128447,1
47,1761,0.2987487316,0.03193932772,1
47,1793,0.5254036188,-0.06714539975,1
47,1825,0.3750810623,-0.1405382156,1
47,1857,-0.1851797998,-0.0613823235,1
47,1889,-0.1578624249,0.1051419973,1
47,1921,0.1842914224,0.4884861112,1
47,1953,0.1498967856,0.4139791131,1
47,1985,-0.2067412734,0.007304951549,1
47,2017,-1.071811795,-2.247255564,1
79,33,-0.5143532753,3.57522583,1
79,65,1.248320937,-1.218607783,1
79,97,1.248286366,-3.182465315,1
79,129,1.406294942,-2.926256418,1
79,161,-0.9880722761,17.23854637,1
79,193,17.11653137,10.09278774,1
79,225,0.7763403654,-1.084619999,1
79,257,1.115159988,0.2745712996,1
79,289,1.087549686,-0.5411680937,1
79,321,1.208609343,-1.423847675,1
79,353,0.6891194582,-2.182641029,1
79,385,0.5701887608,-2.138834953,1
79,417,1.442975044,-1.715443015,1
79,449,14.1959362,4.175943375,1
79,481,12.51419449,3.901517868,1
79,513,1.324123025,-2.486823559,1
79,545,1.017126203,-2.26222086,1
79,577,0.6940672398,-1.821718693,1
79,609,1.4004035,-1.949444294,1
79,641,2.583423138,-3.2489326,1
79,673,3.071708679,-2.47122097,1
79,705,3.287695169,-2.655558825,1
79,737,4.137084007,-3.248433113,1
79,769,4.799229622,-3.321227551,1
79,801,3.603933334,-2.510649443,1
79,833,5.502533913,-2.083649158,1
79,865,5.870095253,-2.000038385,1
79,897,5.294295788,-4.123772621,1
79,929,4.870125294,-6.90175581,1
79,961,5.122714996,-6.327548027,1
79,993,4.579167366,-5.48334837,1
79,1025,-7.084542751,-1.849943161,1
