PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 53, filenames: A:[53]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[54]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.5270292759,0.8586171865,1
47,65,1.504694939,-0.962634325,1
47,97,3.038187027,-1.262110949,1
47,129,4.077630997,-1.587934613,1
47,161,2.719759464,-1.663234472,1
47,193,3.327515602,-3.210351467,1
47,225,1.856051922,-0.3030823469,1
47,257,0.8518452644,1.71365869,1
47,289,1.282445431,-0.3349200487,1
47,321,1.686834097,-4.028696537,1
47,353,3.2420578,-6.314253807,1
47,385,2.732159138,-6.611581802,1
47,417,1.60495019,-4.176560879,1
47,449,3.047662258,-3.841921329,1
47,481,5.427657127,-4.137194633,1
47,513,4.483697891,-2.985635042,1
47,545,3.622495651,-2.809942961,1
47,577,3.705084085,-3.443360329,1
47,609,3.584225655,-3.384964228,1
47,641,4.180465698,-0.3903095722,1
47,673,4.518269539,3.135859489,1
47,705,3.226935387,-0.9265589714,1
47,737,3.8303442,-1.965156794,1
47,769,3.975911617,-3.775584459,1
47,801,2.454805374,-3.413490772,1
47,833,3.542762041,-2.713183403,1
47,865,4.060905457,-0.2536338568,1
47,897,3.833443642,-0.654209733,1
47,929,2.144399405,-2.978949785,1
47,961,0.8347674608,-2.000221252,1
47,993,1.199254274,-2.694034338,1
47,1025,1.991176605,-3.339357376,1
47,1057,1.012966275,-3.783250332,1
47,1089,1.40903306,-4.134581089,1
47,1121,1.38584888,-3.905273676,1
47,1153,0.8316229582,-3.564342499,1
47,1185,1.617174149,-1.615849972,1
47,1217,1.158818841,-0.7259690762,1
47,1249,0.7580742836,-2.321111679,1
47,1281,-0.0550660491,-2.959686041,1
47,1313,-1.052935123,-2.216081858,1
47,1345,-0.7827831507,15.55952835,1
47,1377,-0.7610989809,-1.514411688,1
47,1409,-1.215611577,-1.372301102,1
47,1441,-1.906623363,-1.059316993,1
47,1473,-1.824296117,-0.520008862,1
47,1505,-0.391105175,0.3943126202,1
47,1537,-1.747332096,1.083069086,1
47,1569,-1.734692335,0.7871985435,1
47,1601,-0.6924968958,0.9544352293,1
47,1633,-0.3534161448,0.01897025108,1
47,1665,-0.313531816,0.4106829166,1
47,1697,0.002320870757,0.2838964462,1
47,1729,0.1868517399,0.4802439213,1
47,1761,0.2160749435,0.3734542131,1
47,1793,0.1041182578,-0.09392654896,1
47,1825,0.09814454615,-0.1315967739,1
47,1857,0.2341997623,0.04290223122,1
47,1889,0.125507459,-0.04982349277,1
47,1921,-0.1039333642,-0.1101495624,1
47,1953,-0.1058830917,0.01594480872,1
47,1985,0.2762863636,-0.04584816098,1
47,2017,1.354174852,0.1273978353,1
79,33,1.231596231,1.943636417,1
79,65,2.167496681,-1.301594496,1
79,97,3.903676033,-1.523003578,1
79,129,5.017279625,-1.665484667,1
79,161,4.095988274,-1.452026725,1
