PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 3, filenames: A:[3]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[4]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,13.23563957,0.2683031559,1
47,65,12.03792191,-0.1897311509,1
47,97,11.35597515,-0.9573120475,1
47,129,10.58481312,-1.124092698,1
47,161,10.16706562,-0.7558088303,1
47,193,9.774543762,-0.1933279037,1
47,225,10.54542255,-1.609529495,1
47,257,11.39090633,-1.407721281,1
47,289,12.36052895,-0.3534961939,1
47,321,12.41332722,-1.08811748,1
47,353,12.98577499,-2.568459988,1
47,385,15.28822422,-6.086221695,1
47,417,16.29465103,-3.422224522,1
47,449,16.85219574,-1.137254715,1
47,481,17.06959724,-0.4121870995,1
47,513,16.64102936,1.801417828,1
47,545,16.88964844,0.9234493375,1
47,577,19.36107445,-0.1064400375,1
47,609,20.90651703,-0.4319072366,1
47,641,24.78932762,-2.675573587,1
47,673,26.67761993,-1.854508162,1
47,705,27.3460865,0.3123427629,1
47,737,30.0661068,1.081677198,1
47,769,31.13150597,2.024371862,1
47,801,31.83725166,2.860065222,1
47,833,33.53483582,1.882191777,1
47,865,35.28230667,1.745442152,1
47,897,36.61157608,1.937387943,1
47,929,37.26498413,-0.5028454065,1
47,961,38.31255722,-3.142549992,1
47,993,38.0941391,-3.227771521,1
47,1025,38.18596268,-4.945698738,1
47,1057,38.69028854,-5.235211372,1
47,1089,37.69858932,-6.28934288,1
47,1121,39.07298279,-7.885427952,1
47,1153,39.87116241,-9.807328224,1
47,1185,40.6776886,-9.398903847,1
47,1217,40.96796417,-9.757265091,1
47,1249,42.17861938,-12.38031387,1
47,1281,44.64312363,-16.47849655,1
47,1313,41.9703331,-24.88484383,1
47,1345,45.63121796,-22.28266907,1
47,1377,48.65133667,-24.22380829,1
47,1409,51.82624817,-28.64489746,1
47,1441,50.76312256,-28.30811691,1
47,1473,48.02191162,-28.60879898,1
47,1505,46.03575134,-26.91178703,1
47,1537,50.04351807,-16.86687851,1
47,1569,46.91857147,-32.73487091,1
47,1601,42.43792725,-23.81835938,1
47,1633,9.38768959,-20.51543617,1
47,1665,6.624307632,-19.5797596,1
47,1697,32.6675148,-16.04442215,1
47,1729,36.22385406,-13.96338654,1
47,1761,22.21204185,-6.575145721,1
47,1793,-1.382614136,0.01075935364,1
47,1825,0.7465143204,-0.1457958221,1
47,1857,0.4161462784,-2.046512604,1
47,1889,-0.2130861282,1.266625404,1
47,1921,-1.416102648,3.061035156,1
47,1953,0.7894003391,-0.5276881456,1
47,1985,9.596942902,-28.75025558,1
47,2017,41.46231842,-42.6366806,1
79,33,11.89489841,-0.005620837212,1
79,65,11.06659794,0.2627948821,1
79,97,10.58687782,0.2972795367,1
79,129,9.860929489,-0.6704824567,1
79,161,10.4964962,-2.678837299,1
79,193,10.8922739,-2.052356482,1
79,225,11.1000061,-1.747541666,1
79,257,11.80741978,-1.292593956,1
79,289,13.23636246,0.3789893389,1
79,321,12.46276951,-0.4644714594,1
79,353,12.71359062,-1.116248012,1
79,385,14.16809464,-1.844370604,1
79,417,14.97315788,-1.605073094,1
79,449,15.99474335,-0.7211788893,1
79,481,17.39733315,-0.02870345116,1
79,513,37.05230713,-4.212928772,1
79,545,19.09029961,-0.5129600763,1
79,577,20.27403069,-0.4509632289,1
79,609,20.92936897,-0.3206644952,1
79,641,24.61405563,-2.499759674,1
79,673,26.62687111,-2.315629244,1
79,705,26.45521164,0.1778957546,1
79,737,41.24701691,11.20500565,1
79,769,43.18586731,7.277231693,1
79,801,31.4656868,2.678715944,1
79,833,21.85019875,17.31705666,1
79,865,32.33596802,1.847767472,1
79,897,34.44808578,0.09132816643,1
79,929,36.82684326,-1.876096249,1
79,961,37.21829224,-1.727320552,1
79,993,38.09104919,-2.836334944,1
79,1025,39.07479477,-3.495043039,1
79,1057,38.52548981,-4.167012691,1
79,1089,38.70037079,-5.807489395,1
79,1121,39.40592957,-7.129468918,1
79,1153,40.38092422,-8.467128754,1
79,1185,40.10453033,-9.573160172,1
79,1217,40.24866104,-10.41330338,1
79,1249,29.85336304,-24.21871948,1
79,1281,45.05850983,-13.88828659,1
79,1313,49.90529251,-20.63819122,1
79,1345,50.86861038,-22.87275314,1
79,1377,50.57302856,-27.15114212,1
79,1409,62.13872528,-13.91680145,1
79,1441,42.42027283,-15.61399841,1
79,1473,46.7830925,-25.90512466,1
79,1505,49.2320137,-38.09763718,1
79,1537,45.86200333,-36.35622406,1
79,1569,24.67595673,-40.80337906,1
79,1601,15.13184357,-33.58546066,1
79,1633,11.05858612,-19.3618145,1
79,1665,42.98823166,-21.01010323,1
79,1697,24.7296257,-39.11644745,1
79,1729,37.29853821,-14.3006916,1
79,1761,19.39670181,-26.78099442,1
79,1793,11.42894173,-10.13805103,1
79,1825,5.590364456,-5.73822403,1
79,1857,6.419438362,-1.988728523,1
79,1889,1.748101234,5.838264465,1
79,1921,0.03098195791,0.4992916584,1
79,1953,-1.091615558,0.6727029085,1
79,1985,3.234640837,-21.71026993,1
79,2017,12.25762367,-26.13766289,1
111,33,9.587034225,-0.042712152,1
111,65,10.42614937,0.3725393414,1
111,97,11.12083817,1.389188647,1
111,129,9.55388546,3.942784309,1
111,161,9.314611435,-2.798011303,1
111,193,10.30948448,-2.838273048,1
111,225,10.95392132,-1.571496844,1
111,257,12.29025364,-0.9117206335,1
111,289,13.09932423,-1.108357668,1
111,321,12.93279076,-0.9166425467,1
111,353,12.58336639,-0.9865843058,1
111,385,13.33239841,-0.4974942207,1
111,417,5.470480919,16.28591347,1
111,449,15.60389805,-0.8394922018,1
111,481,16.67181969,-0.8877744675,1
111,513,18.10274887,-1.361698031,1
111,545,20.98687553,-0.4281535149,1
111,577,20.87843323,-0.1448003799,1
111,609,20.9546299,-0.2294494212,1
111,641,23.2643528,-0.5130546689,1
111,673,24.44889069,-1.751310229,1
111,705,25.48136902,0.8258223534,1
111,737,26.3631649,2.239172697,1
111,769,21.66707611,0.9176735878,1
111,801,13.1201725,6.480633259,1
111,833,32.61423111,2.096496344,1
111,865,33.82609558,-0.9441962242,1
111,897,35.61777878,-1.921947956,1
111,929,36.2545433,-1.540683866,1
111,961,36.0946846,-1.891496897,1
111,993,37.01039505,-2.60102272,1
111,1025,38.07011032,-1.875565529,1
111,1057,38.57601166,14.13004875,1
111,1089,39.31625748,-7.492929459,1
111,1121,39.75588226,-7.216441154,1
111,1153,40.23438263,-7.748414993,1
111,1185,40.80745697,-9.936592102,1
111,1217,42.52980423,-10.50137234,1
111,1249,44.04495621,-10.4396162,1
111,1281,45.69565582,-11.55900574,1
111,1313,50.10213852,-19.57821655,1
111,1345,45.66769409,-22.66947174,1
111,1377,45.55532074,-24.79725647,1
111,1409,42.43890381,-25.76070404,1
111,1441,44.11570358,-26.30394745,1
111,1473,45.27675247,-29.66257668,1
111,1505,47.61147308,-36.41075134,1
111,1537,46.46804047,-36.3197937,1
111,1569,17.43194199,-35.12926483,1
111,1601,48.10929871,-33.85466766,1
111,1633,9.864221573,-18.33502197,1
111,1665,37.52222443,-14.40601158,1
111,1697,16.661623,-30.74759483,1
111,1729,25.96611786,0.28972435,1
111,1761,20.45314217,-37.54673767,1
111,1793,24.36479378,-34.54197693,1
