PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[10]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.505338192,8.51626873,1
47,65,2.334118366,2.836232662,1
47,97,1.315159321,-1.62835598,1
47,129,2.043691635,-1.587003827,1
47,161,23.07697868,1.014321327,1
47,193,3.44783783,-0.3879265785,1
47,225,3.758177757,0.06713664532,1
47,257,3.383831739,-0.9923611879,1
47,289,4.20809269,-1.970519781,1
47,321,3.07994628,-2.533436298,1
47,353,3.734587669,-1.658801794,1
47,385,5.160655499,-2.238474846,1
47,417,6.091141701,-3.847022772,1
47,449,9.473007202,-2.346218109,1
47,481,9.983028412,-3.230781317,1
47,513,8.491640091,-3.724509239,1
47,545,8.398518562,-4.750890732,1
47,577,8.799770355,-3.021236897,1
47,609,-2.890100479,3.668358803,1
47,641,10.78032017,-1.273107052,1
47,673,11.04404068,-1.077495813,1
47,705,10.37881279,-1.975349426,1
47,737,11.02947521,-3.582369566,1
47,769,12.88716793,-1.50237751,1
47,801,12.87787056,-1.521015167,1
47,833,13.94329929,-2.443614244,1
47,865,16.75011444,0.2188295126,1
47,897,18.74819946,0.6844947934,1
47,929,16.49668121,-2.570035934,1
47,961,14.52721024,-1.990463376,1
47,993,14.16493034,1.80130887,1
47,1025,16.22472382,0.3710339069,1
47,1057,16.26871872,-0.8253052235,1
47,1089,15.20889282,-2.559051037,1
47,1121,13.92969227,-3.675373077,1
47,1153,14.87496758,-6.210962772,1
47,1185,14.68589592,-8.099563599,1
47,1217,13.67028999,-5.678370953,1
47,1249,12.46757317,-3.832719803,1
47,1281,11.28518867,-5.401732922,1
47,1313,12.77916336,-6.159199238,1
47,1345,13.18659782,-4.624275208,1
47,1377,31.39348412,1.476532459,1
47,1409,10.92336464,-0.7561922073,1
47,1441,12.7801218,-2.608701229,1
47,1473,32.00097656,-5.978728294,1
47,1505,31.62047577,-4.733624458,1
47,1537,11.52608013,-3.957393169,1
47,1569,12.05239677,-2.960947037,1
47,1601,11.29931355,-4.835128784,1
47,1633,10.12153339,-5.467213631,1
47,1665,29.54218292,-13.64747906,1
47,1697,28.91209412,-9.122560501,1
47,1729,0.3244333267,0.3734369278,1
47,1761,-0.838142395,1.628466129,1
47,1793,-1.418856859,-9.385108948,1
47,1825,-5.726353168,15.68862915,1
47,1857,-4.849035263,18.38129425,1
47,1889,-2.708916664,0.6773815155,1
47,1921,13.92412376,-1.825079918,1
47,1953,2.08927536,0.2841709852,1
47,1985,-2.665146112,-4.347214222,1
47,2017,-23.68848801,-6.128563881,1
79,33,0.7693767548,1.401636243,1
79,65,0.8027359247,0.3714779615,1
79,97,1.902028084,-0.4539147913,1
79,129,2.70345974,-0.6629240513,1
79,161,-2.727982521,-19.03714752,1
79,193,3.846636295,-1.839668989,1
79,225,3.409664869,-1.373319626,1
79,257,3.179821968,-1.072897434,1
79,289,2.82942009,-1.386027455,1
79,321,2.779089451,-1.976580381,1
79,353,3.569409609,-1.501843333,1
79,385,3.92463541,-3.813874006,1
79,417,4.271118164,-3.460693121,1
79,449,0.3352460861,-1.855647087,1
79,481,-2.665803909,-8.168087006,1
79,513,6.087338448,-3.880587578,1
79,545,6.565218449,-4.491889954,1
79,577,7.649542809,-4.844714642,1
79,609,7.686126709,-5.780912399,1
79,641,8.040691376,-4.952557564,1
79,673,8.792809486,-3.958768129,1
79,705,10.10608959,-3.475133181,1
79,737,11.35207748,-2.800104856,1
79,769,-5.513678551,6.837696075,1
79,801,12.58158779,-0.3379025459,1
79,833,14.82835007,-0.5794882774,1
79,865,15.71162033,0.1931568384,1
79,897,16.31178284,-0.8781202435,1
79,929,16.01370239,-1.756525397,1
79,961,15.96914864,-1.456129432,1
79,993,16.3206234,-0.06276345253,1
79,1025,16.6697731,-1.655547142,1
79,1057,17.33411407,-2.580307961,1
79,1089,17.60837364,-3.229663134,1
79,1121,17.14697075,-4.536115646,1
79,1153,17.34002304,-6.53812027,1
79,1185,16.79522705,-8.564110756,1
79,1217,16.7276001,-8.245077133,1
79,1249,15.69664574,-5.618797779,1
79,1281,14.70735168,-5.785786629,1
79,1313,14.02019405,-7.299269199,1
79,1345,13.335742,-5.721021652,1
79,1377,12.66408443,-5.380702972,1
79,1409,10.47499371,-4.518718719,1
79,1441,11.4749155,-4.756933212,1
79,1473,11.85958672,-6.102023602,1
79,1505,10.57845211,-5.954407215,1
79,1537,10.16444397,-5.148808956,1
79,1569,10.19325447,-5.29369688,1
79,1601,11.14406586,-6.817023277,1
79,1633,11.47786617,-8.598024368,1
79,1665,10.96624565,-8.263399124,1
79,1697,10.20356274,-5.977935314,1
79,1729,10.04990768,-5.12420845,1
79,1761,8.043919563,11.96513176,1
79,1793,0.6062731743,-0.1050591469,1
79,1825,-12.74030304,-11.98738289,1
79,1857,-14.69981194,-7.160429001,1
79,1889,4.542520046,4.498129845,1
79,1921,-0.5611246824,1.232662082,1
79,1953,0.4288346767,0.4198327065,1
79,1985,-0.6916911602,-1.513004303,1
79,2017,-11.46750069,-7.251306534,1
111,33,1.551866531,-0.3596172333,1
111,65,1.731151342,-0.1632871032,1
111,97,1.996353149,0.3982752562,1
111,129,2.061064482,0.1263225079,1
111,161,1.397649765,-0.2205482721,1
111,193,3.040195465,-1.533325911,1
111,225,3.681819677,-2.005987644,1
111,257,3.435261965,-1.088603139,1
111,289,2.884370565,-0.9396295547,1
111,321,3.294902802,-1.180615664,1
111,353,4.340345383,-1.862761259,1
111,385,4.422132015,-3.750409842,1
111,417,4.064160824,-3.812911034,1
111,449,1.754230976,-1.000230551,1
111,481,5.246685982,-2.97486186,1
111,513,6.463493824,-3.594422817,1
111,545,4.890057087,-3.519913197,1
111,577,6.206432343,-7.289391041,1
111,609,9.47710228,-6.035080433,1
111,641,10.06820965,-6.219921589,1
111,673,8.867742538,-5.444718361,1
111,705,9.019332886,-4.478633404,1
111,737,-7.100045204,-3.901949883,1
111,769,12.26859188,-2.518025875,1
111,801,12.67231846,-1.570324421,1
111,833,11.69665051,-0.4336013794,1
111,865,13.10370827,-0.5071033239,1
111,897,14.96685314,-1.407331109,1
111,929,16.40555,-1.388146758,1
111,961,17.19592285,-1.649898648,1
111,993,17.56276512,-2.203490257,1
111,1025,17.7512207,-3.179291725,1
111,1057,17.83215332,-3.451182365,1
111,1089,18.04625893,-4.092895985,1
