PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 60, filenames: A:[60]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[61]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.1119749546,4.370145321,1
47,65,21.50864983,-0.2354748547,1
47,97,2.979990482,-2.66797924,1
47,129,2.219795704,-3.58615303,1
47,161,2.134111881,-4.148727417,1
47,193,1.008638024,-5.058176517,1
47,225,0.7149098516,-4.00538063,1
47,257,0.883836627,-4.507987976,1
47,289,0.3180260956,-3.823966503,1
47,321,1.177066088,-4.507190704,1
47,353,2.185279608,-3.722203255,1
47,385,0.8622816205,-3.60421133,1
47,417,1.667340636,-4.185082912,1
47,449,2.637988091,-3.930216789,1
47,481,3.18244648,-3.797532558,1
47,513,2.930124998,-3.441254616,1
47,545,2.128392458,-4.867938042,1
47,577,2.107608318,-5.65956831,1
47,609,2.296024323,-6.224747181,1
47,641,0.7586312294,-5.281188488,1
47,673,-0.4251134396,-3.742670536,1
47,705,-0.04127007723,-2.900299549,1
47,737,-0.5055603981,-3.81188488,1
47,769,-1.569866896,-5.250654697,1
47,801,-2.969101667,-6.674528122,1
47,833,-5.282292366,-7.015565395,1
47,865,-5.882236481,-6.134829521,1
47,897,-5.969457626,-6.932518005,1
47,929,-4.240729332,-7.198973656,1
47,961,-2.964513063,-4.614761353,1
47,993,-2.983738899,-4.207803249,1
47,1025,-1.757540822,-4.061179161,1
47,1057,-0.4555838108,-2.859468699,1
47,1089,-0.1937147379,-1.507396579,1
47,1121,-1.425151587,-0.3609938025,1
47,1153,-4.275814056,-1.048475266,1
47,1185,-5.220461845,-3.427004337,1
47,1217,-2.996946573,-5.090169907,1
47,1249,-1.154328465,-5.021763802,1
47,1281,1.092832923,-4.46948576,1
47,1313,1.520958304,-3.780015469,1
47,1345,0.5485326648,-2.523405075,1
47,1377,-0.3121230602,-2.041276932,1
47,1409,-2.033965349,-3.17976737,1
47,1441,-3.136813641,-3.018651247,1
47,1473,-3.411465168,-0.7282375097,1
47,1505,-1.963925838,-0.07618188858,1
47,1537,-2.554681301,0.2761014998,1
47,1569,-3.39513588,0.6543571949,1
47,1601,-2.817368031,0.5595622063,1
47,1633,-1.416581869,0.5842016935,1
47,1665,-0.5245174766,0.06850373745,1
47,1697,0.01487284899,0.09064805508,1
47,1729,0.04335427284,0.3114701509,1
47,1761,-0.1741829515,0.6877859831,1
47,1793,0.09175083041,0.358967185,1
47,1825,0.4428137243,0.1497780085,1
47,1857,0.1723562181,0.08807423711,1
47,1889,-0.04770924151,-0.1655993462,1
47,1921,-0.2466043234,-0.2104001045,1
47,1953,-0.3817939162,-0.1713745594,1
47,1985,-0.3327968717,-0.1894428432,1
47,2017,0.6353245974,0.09992298484,1
79,33,-0.3941565752,2.949815273,1
79,65,0.0344825983,-0.9781497121,1
79,97,-0.5755364895,-1.709258318,1
79,129,-0.1089375019,-3.328570366,1
79,161,0.8094768524,-3.645015717,1
79,193,1.292151928,-3.475500584,1
79,225,1.826069832,-3.702659607,1
79,257,1.266673565,-3.065181255,1
79,289,0.5437555313,-3.862371445,1
79,321,0.6859768033,-4.391022682,1
79,353,0.5191583037,-3.877889156,1
79,385,0.7386404872,-3.173475266,1
79,417,0.9257802963,-2.839240074,1
79,449,1.164865017,-3.759926558,1
79,481,1.199543953,-4.393540382,1
79,513,0.1517580748,-4.586049557,1
79,545,0.3307743669,-5.358093262,1
79,577,1.314849973,-6.91435194,1
79,609,1.790692091,-6.632115841,1
79,641,0.151666522,-5.613792896,1
79,673,0.4180397689,-4.875517368,1
79,705,0.520347476,-3.908941746,1
79,737,0.6584105492,-3.513329029,1
79,769,-0.6486288905,-4.370404243,1
79,801,-2.176736832,-3.602890968,1
79,833,-2.659868479,-4.441320419,1
79,865,-3.866079807,-4.213540077,1
79,897,-3.182862759,-4.581267834,1
79,929,-2.702484131,-4.814520359,1
79,961,-2.62436676,-3.842813015,1
79,993,-2.353504181,-2.440751553,1
79,1025,-2.230000019,-2.748162508,1
79,1057,-0.5740460753,-2.61656332,1
79,1089,-1.129220009,-1.855155706,1
79,1121,-2.04360342,-0.402333498,1
79,1153,-3.662549973,-0.05754464865,1
79,1185,-4.820822239,-2.322494507,1
79,1217,-2.434134722,-1.798795462,1
79,1249,-2.210318565,-3.065119982,1
79,1281,-0.7559469342,-2.608616352,1
79,1313,-0.05943605304,-1.823967338,1
79,1345,-0.3021723032,-0.3968909979,1
79,1377,0.03787583113,-0.6579895616,1
79,1409,-0.9512056112,-2.015497208,1
79,1441,-1.512247443,-2.4889009,1
79,1473,-1.345780373,-0.7727626562,1
79,1505,-1.170063019,-0.238522768,1
79,1537,-1.850263119,-0.153501451,1
79,1569,-2.320831299,-0.1453444213,1
79,1601,-1.755458355,-0.1809968054,1
79,1633,-0.5548228025,0.2955577672,1
79,1665,-0.3461537361,0.3707696199,1
79,1697,0.03394269943,-0.04441293329,1
79,1729,0.1718278825,-0.1673139632,1
79,1761,0.1792797148,-0.1605285704,1
79,1793,0.3347628415,-0.3259744346,1
79,1825,0.3485975862,-0.5904695392,1
79,1857,-0.4298019409,-0.4043918848,1
79,1889,-0.2490356565,-0.1811216474,1
79,1921,-0.1452859789,-0.09438830614,1
79,1953,0.01001563668,-0.06769706309,1
79,1985,-0.01137751341,-0.06813237071,1
79,2017,-0.004190802574,-0.1884880662,1
111,33,-17.9067421,2.648400068,1
111,65,-0.6476532221,-2.164999962,1
111,97,0.03382408619,-3.097508192,1
111,129,0.5088003278,-3.389796734,1
111,161,0.08324706554,-2.549791813,1
111,193,0.6315487027,-2.209332466,1
111,225,0.6130758524,-2.787834406,1
111,257,0.05637298524,-1.480765343,1
111,289,-0.7334656119,-3.646281004,1
111,321,-0.202624917,-3.751766205,1
111,353,0.3488761783,-2.874735832,1
111,385,0.8168516755,-2.123170376,1
111,417,0.5224806666,-2.091277361,1
111,449,1.623227715,-22.92758369,1
111,481,-2.80981636,-3.999564648,1
111,513,-1.452599883,-4.969669819,1
111,545,-0.01773893833,-5.359968662,1
111,577,0.9900058508,-6.824676037,1
111,609,1.162177801,-6.017789364,1
111,641,0.6709523797,-4.961916924,1
111,673,-0.4237415195,-4.58772707,1
111,705,-0.6378309131,-4.05015564,1
111,737,0.4946004748,-3.631830215,1
111,769,-0.9980474114,-4.239683151,1
111,801,-0.9264816046,-2.653624058,1
111,833,0.1221696138,-1.836807013,1
111,865,-1.302436709,-2.094560146,1
111,897,-1.284500003,-3.628463745,1
111,929,-2.148156643,-4.324656487,1
111,961,-2.234063625,-4.110072136,1
111,993,-1.646930575,-2.874239445,1
111,1025,-1.916647315,-3.186287403,1
111,1057,-1.402105808,-2.787080526,1
111,1089,-1.329880714,-2.050040245,1
111,1121,-2.133487463,-0.6108642817,1
111,1153,-2.533931255,0.2800806761,1
111,1185,-2.308030367,-0.9846515656,1
111,1217,-1.193397522,0.3141355515,1
111,1249,-1.536346316,-2.077168465,1
111,1281,-0.7844605446,-2.273954868,1
111,1313,-1.095127702,-1.215974808,1
111,1345,-1.537135839,0.6710451841,1
111,1377,-1.353198767,0.6611794233,1
111,1409,-0.8127299547,-0.6361340284,1
111,1441,-1.193207979,-0.4065335095,1
111,1473,-1.137149811,-0.1952067018,1
111,1505,-0.9674198627,-0.2501530647,1
111,1537,-0.5826527476,-0.3021714091,1
111,1569,-0.5921837687,-0.9426051378,1
111,1601,-0.3513323069,-0.408528626,1
111,1633,-0.155008316,0.7904228568,1
111,1665,-0.6488553286,0.9731483459,1
111,1697,-0.553493619,0.4242962897,1
111,1729,-0.07748559117,0.1475064754,1
111,1761,0.06127906591,-0.3462593555,1
111,1793,0.2482033074,-0.66838938,1
111,1825,0.3573581576,-0.6224440336,1
111,1857,0.07306757569,-0.3363386989,1
111,1889,-0.283439815,0.01286666095,1
111,1921,-0.1639866233,-0.08350977302,1
111,1953,0.1061468944,-0.305321902,1
111,1985,0.2861110866,-0.09472209215,1
111,2017,-0.01964107156,-0.2412825525,1
143,33,-0.1973174214,2.199591875,1
143,65,-0.002986595035,-2.464383364,1
143,97,0.5995861292,-2.287877083,1
143,129,0.8794044256,-2.041852713,1
143,161,0.4014735818,-1.843545437,1
143,193,-9.440826416,0.5295627117,1
143,225,-11.67390537,7.207691193,1
143,257,-0.9425609112,-2.183921099,1
143,289,-0.5675218105,-3.507460833,1
143,321,-0.1881566048,-3.580422401,1
143,353,0.3220131695,-2.771243095,1
143,385,1.632168889,-2.12725687,1
143,417,0.8726494908,-2.39155817,1
143,449,9.005255699,7.456783295,1
143,481,-2.95563817,-3.543473244,1
143,513,-0.7441203594,-5.674743176,1
143,545,-0.0701636374,-24.71918488,1
143,577,-0.07607030869,-4.532262802,1
143,609,0.5836254358,-4.875087261,1
143,641,0.1892202795,-4.453178406,1
143,673,-0.9388647079,-4.041794777,1
143,705,-1.520135522,-3.71373415,1
143,737,-0.22641325,-1.675853968,1
143,769,-0.4703592658,-3.308469534,1
143,801,0.2281906009,-1.81840086,1
143,833,-0.2342239618,-1.003178835,1
143,865,-1.302568913,-1.27603817,1
143,897,-0.09355425835,-1.42646122,1
143,929,-2.059408188,-4.206210136,1
143,961,-1.669074774,-2.764242649,1
143,993,-1.488903761,-1.808936119,1
143,1025,-1.620127797,-2.611473322,1
143,1057,-1.421494126,-3.191510439,1
143,1089,-1.358495116,-2.984927177,1
143,1121,-2.290257454,-1.3651402,1
143,1153,-0.8159956932,-0.8644875288,1
143,1185,0.6411789656,-0.4912599325,1
143,1217,-0.2490770817,-0.2753018141,1
143,1249,-0.1352249384,-1.498414755,1
143,1281,0.04663777351,-1.903539538,1
143,1313,-1.544213772,-0.2713819742,1
143,1345,-1.756742954,1.438841939,1
143,1377,-1.770363331,1.334195733,1
143,1409,-2.286008596,-0.02600631118,1
143,1441,-1.770407557,0.004886418581,1
143,1473,-1.495454073,0.237899363,1
143,1505,-1.04236722,-0.2423938811,1
143,1537,-0.4237093925,-0.8330370188,1
143,1569,0.3514569104,-2.686017036,1
143,1601,0.2044991851,-1.540465117,1
143,1633,-0.1848392785,0.03974045813,1
143,1665,-0.5970044136,0.8097031713,1
143,1697,-1.1341362,0.3416216075,1
143,1729,-0.4968303442,-0.177755788,1
143,1761,-0.01251211762,-0.4368050694,1
143,1793,0.1041813791,-0.539816618,1
143,1825,0.2610720992,-0.3607673049,1
143,1857,0.16987288,-0.04647237062,1
143,1889,-0.2168064117,0.09965613484,1
143,1921,-0.2077033818,-0.02212035656,1
143,1953,0.02324470133,-0.2802355886,1
143,1985,0.3337053657,-0.2777462602,1
143,2017,-0.04260875285,-0.1258762777,1
175,33,-0.542093575,2.032672644,1
175,65,0.4089093804,-2.300611496,1
175,97,0.6730484962,-1.104321599,1
175,129,0.8765690923,-0.3928419352,1
175,161,0.8139899969,-1.32121563,1
175,193,0.187697798,-0.8772727251,1
175,225,0.1456772089,0.4708218575,1
175,257,0.3114481568,-3.239785433,1
175,289,-0.1474217772,-2.759088516,1
175,321,-0.001915235072,-2.688740492,1
175,353,0.2274875045,-2.544246674,1
175,385,0.6746723652,-2.38481164,1
175,417,0.8790163994,-2.572236538,1
175,449,7.752885818,8.007360458,1
175,481,-0.8217030168,-4.032003403,1
175,513,-0.8573851585,-5.914242744,1
175,545,-0.7563484311,-5.050747871,1
175,577,-1.721160173,-2.567249298,1
175,609,14.66884136,-17.29865074,1
175,641,-0.001236960292,-3.98401165,1
175,673,-0.1855748296,-4.561689377,1
175,705,-0.1336622238,-4.443497181,1
175,737,0.4852843583,-0.9673883915,1
175,769,1.098335028,-0.7028377056,1
175,801,0.5567820668,-5.174305439,1
175,833,0.2267272472,-3.427177668,1
175,865,-0.9402173162,-2.25794673,1
175,897,-0.5007789135,-0.8633880615,1
175,929,-1.216454506,-1.910966158,1
175,961,-1.815826058,-1.56196785,1
175,993,-1.228470325,-1.341757178,1
175,1025,-1.623757482,-1.398685813,1
175,1057,-0.9057454467,-1.590272427,1
175,1089,-0.3913781047,-2.929258823,1
175,1121,-0.9358072281,-3.913762093,1
175,1153,0.4963636994,-0.8717351556,1
175,1185,1.129970431,-0.3980093002,1
175,1217,-0.0761449337,-0.50611341,1
175,1249,-1.549558163,-0.7615644932,1
175,1281,-1.51312077,-0.5336260796,1
175,1313,-2.103865623,0.3828335404,1
175,1345,-2.610268116,2.063397884,1
175,1377,-2.705832958,1.190832973,1
175,1409,-3.783800602,0.4066818953,1
175,1441,-2.451731205,-0.05455310643,1
175,1473,-2.013611555,0.02047713101,1
175,1505,-1.674552441,-0.2277194262,1
175,1537,-1.408050776,-0.5791983008,1
175,1569,-0.6367554665,-1.878048897,1
175,1601,-0.09423685074,-1.313961267,1
175,1633,-0.00110077858,0.8100703359,1
175,1665,-0.1838480234,0.5923104286,1
175,1697,-0.7443246245,-0.3063976765,1
175,1729,-0.6095790863,-0.5267162323,1
175,1761,-0.1626629829,-0.6994470954,1
175,1793,-0.2485486865,-0.3772838116,1
175,1825,-0.402064383,-0.2806617022,1
175,1857,-0.217955932,-0.02459160984,1
175,1889,-0.1863549054,0.05310282111,1
175,1921,-0.1111895964,-0.01471915841,1
175,1953,-0.01829393208,-0.3427971601,1
175,1985,0.02427329309,-0.2628355026,1
175,2017,-0.1604754329,-0.01096892357,1
207,33,-0.07799136639,2.253206491,1
207,65,1.753090024,-2.231850863,1
