PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 4, filenames: A:[4]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[5]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,11.60091686,3.602925777,1
47,65,6.51696682,-1.394136429,1
47,97,4.940739155,-2.563748121,1
47,129,2.005160332,-0.5011643171,1
47,161,4.720959663,0.1204770803,1
47,193,6.671622276,-0.3820791841,1
47,225,8.497648239,-2.257883549,1
47,257,-6.389569283,-13.36039639,1
47,289,8.227348328,-2.197165489,1
47,321,6.948120594,-2.213035345,1
47,353,6.122627735,-3.004270792,1
47,385,5.981751919,-4.096689224,1
47,417,6.532217979,-2.818811417,1
47,449,7.517772675,-2.204139471,1
47,481,7.666900158,-1.910214424,1
47,513,6.912314892,-1.634259939,1
47,545,8.305522919,9.904062271,1
47,577,5.934479713,-4.802832603,1
47,609,7.064653397,-3.644204855,1
47,641,16.24796867,12.52198219,1
47,673,-7.717306614,-19.28007507,1
47,705,-10.32860756,-5.557421684,1
47,737,0.2129116058,-18.0512352,1
47,769,7.159769535,-3.120846272,1
47,801,6.714464188,-2.916371107,1
47,833,7.833755493,-1.088623047,1
47,865,5.832717896,-0.7742824554,1
47,897,5.918413162,-0.2390992641,1
47,929,9.898213387,-2.308671713,1
47,961,8.72070694,-1.398253679,1
47,993,7.400481224,-1.243060231,1
47,1025,6.045071602,-1.962954164,1
47,1057,5.321890831,-2.04082489,1
47,1089,3.831449986,-2.873073101,1
47,1121,3.42962122,-2.512465954,1
47,1153,3.977752686,-3.05959177,1
47,1185,7.150463104,-3.815629959,1
47,1217,5.585508347,-3.812817574,1
47,1249,2.421436548,-3.761523247,1
47,1281,0.9616338015,-2.431005716,1
47,1313,0.1168866158,-2.038033485,1
47,1345,-0.3260548115,-1.616877556,1
47,1377,-0.6310909986,-5.741377831,1
47,1409,0.2204318047,-8.906122208,1
47,1441,-3.125324488,-4.065391541,1
47,1473,4.519357204,-3.719525337,1
47,1505,1.518217087,-4.589196682,1
47,1537,-2.001124859,-2.714871645,1
47,1569,-2.212247849,-2.293557882,1
47,1601,-1.394711137,-1.171813846,1
47,1633,0.7104680538,-1.713544488,1
47,1665,1.916810274,-1.42358911,1
47,1697,0.4688050747,-0.3641158342,1
47,1729,0.3084204197,0.7770345211,1
47,1761,0.08570817113,0.6457560062,1
47,1793,-0.2903167009,0.07747793198,1
47,1825,0.6084089279,0.4721395969,1
47,1857,0.9066517353,0.5444951057,1
47,1889,0.4306274652,-0.1484547555,1
47,1921,0.1343882382,-0.5724740028,1
47,1953,-0.1224796772,-0.5211406946,1
47,1985,-0.1196641028,0.5677886605,1
47,2017,-16.3549099,0.3500509262,1
79,33,4.541093826,0.9315306544,1
79,65,5.226213932,-0.3410626054,1
79,97,4.330966473,-0.3067023158,1
79,129,1.239121914,-0.2201933861,1
79,161,2.405837536,-0.1483451724,1
79,193,4.79001236,-0.6717723012,1
79,225,5.881618977,-2.010353088,1
79,257,6.356041908,-1.521565557,1
79,289,6.436228275,-0.08238279819,1
79,321,6.262022495,-1.435775518,1
79,353,5.917699337,-2.910619497,1
79,385,6.455962658,-4.321076393,1
79,417,5.74521637,-2.642251015,1
79,449,7.206209183,-2.128740311,1
79,481,7.872278214,-2.220839024,1
79,513,5.802512169,-3.029978991,1
79,545,15.621521,5.814791679,1
79,577,6.169913292,-3.505744457,1
79,609,5.573850632,-3.946635246,1
79,641,7.446012497,-4.274709702,1
79,673,7.699564934,-4.160950184,1
79,705,6.526821136,-4.614415169,1
79,737,-2.821678638,-14.10090733,1
79,769,7.269968987,-2.88791132,1
79,801,7.559977055,-3.093517065,1
79,833,8.482984543,-2.074743509,1
79,865,7.549728394,-2.640141249,1
79,897,7.731117249,-2.666552544,1
79,929,10.61445618,-3.963917494,1
79,961,24.94434738,-1.069004297,1
79,993,8.610827446,-1.480077028,1
79,1025,8.066719055,-2.124772549,1
79,1057,6.759045601,-2.782232761,1
79,1089,4.439085007,-4.377972126,1
79,1121,4.074074268,-4.75250864,1
79,1153,5.049512386,-6.519266129,1
79,1185,4.624175072,-6.789424896,1
79,1217,4.092121124,-6.636822701,1
79,1249,2.570649624,-4.899262905,1
79,1281,1.730069757,-3.606340408,1
79,1313,0.5981693268,-3.171892643,1
79,1345,-1.461659908,-3.14018774,1
79,1377,-2.773061514,-4.747868061,1
79,1409,-2.870468378,-5.623117447,1
79,1441,-4.21773243,-22.86188316,1
79,1473,-1.827525496,-4.468251705,1
79,1505,-1.197780252,-3.145378828,1
79,1537,-1.404002905,-2.234699011,1
79,1569,-0.3383467793,-1.356261492,1
79,1601,1.603117466,-1.406620145,1
79,1633,2.232523203,-1.030892134,1
79,1665,2.874490261,-1.748395324,1
79,1697,0.5814144611,-0.6302489042,1
79,1729,0.07353872061,-0.195602417,1
79,1761,0.08962410688,0.08776432276,1
79,1793,0.059484303,-0.09420245886,1
79,1825,-0.02530016005,-0.06006646156,1
79,1857,0.01700925827,0.118477881,1
79,1889,-0.1636603177,0.2696431577,1
79,1921,-0.1567999423,0.1119763553,1
79,1953,-0.2265532017,-0.04656499624,1
79,1985,-0.3055695295,-0.02914191782,1
79,2017,-0.03711932898,-1.089078307,1
111,33,1.980237126,-0.05291032791,1
111,65,3.492917061,-0.1905888915,1
111,97,-0.009724617004,-0.02204789966,1
111,129,4.987308979,-0.315164268,1
111,161,4.253325462,-0.8511049747,1
111,193,3.897158623,-0.9388846159,1
111,225,3.728885651,-1.313698053,1
111,257,4.995900631,-1.103667855,1
111,289,5.715749741,-1.638374209,1
111,321,5.411976814,-2.17773056,1
111,353,5.213926792,-3.176401854,1
111,385,5.331665516,-3.405565262,1
111,417,5.53343153,-2.659279823,1
111,449,6.990228653,-2.650680542,1
111,481,7.937636852,-2.097336769,1
111,513,5.668027401,-2.65598321,1
111,545,7.266563416,-3.092135429,1
111,577,7.263632298,-3.230321169,1
111,609,6.337763786,12.10183334,1
111,641,7.243268013,-4.878815174,1
111,673,7.864741802,-3.65075779,1
111,705,7.74888134,-3.168168068,1
111,737,7.735237122,-2.166886806,1
111,769,7.591742039,-2.701428413,1
111,801,8.022977829,-2.782971621,1
111,833,8.152672768,-3.230802298,1
111,865,7.782590866,-3.756666422,1
111,897,7.047532082,-4.093900681,1
111,929,7.788783073,-4.55687809,1
111,961,9.306321144,-2.694468021,1
111,993,8.379191399,-2.294206142,1
111,1025,7.938902855,-2.291098595,1
111,1057,7.073985577,-2.778787851,1
111,1089,5.530869007,-3.692086935,1
111,1121,4.702583313,-4.34674263,1
111,1153,4.794301033,-5.822425842,1
111,1185,4.703577995,-6.046693325,1
111,1217,3.802082062,-6.003385067,1
111,1249,3.056502819,-4.312685013,1
111,1281,2.881620646,-3.853526592,1
111,1313,1.485135317,-3.60731554,1
111,1345,-0.6892507672,-3.412805557,1
111,1377,-1.909034252,-3.14144516,1
111,1409,-3.524983883,-2.736303329,1
111,1441,-3.460234642,-3.249427795,1
111,1473,-2.377739906,-2.455030918,1
111,1505,-1.775933981,-2.319787025,1
111,1537,-1.336140156,-2.207577229,1
111,1569,0.6598712206,-1.816051126,1
111,1601,2.483583689,-1.546318531,1
111,1633,4.666865826,-2.334184647,1
111,1665,4.6789608,-4.174948692,1
111,1697,2.071569443,-2.837594986,1
111,1729,0.7626482844,-1.216737509,1
111,1761,0.2814169526,-0.6947742701,1
111,1793,0.04607620835,-0.5969936252,1
111,1825,-0.04042309523,-0.4595634043,1
111,1857,-0.04038614035,-0.06064088643,1
111,1889,0.05349326134,0.07557365298,1
111,1921,0.156298548,0.1278033406,1
111,1953,0.1261458695,-0.1954147518,1
111,1985,-0.1668481231,-0.2295041233,1
111,2017,-0.5900810957,-0.9835026264,1
143,33,1.807479143,0.1323960423,1
143,65,3.809672356,0.06534483284,1
143,97,1.492497921,-0.1339289546,1
143,129,1.512764931,0.343944639,1
143,161,1.780825377,0.5124522448,1
143,193,3.265505791,-1.311169982,1
143,225,3.462542772,-1.547860503,1
143,257,4.631204605,-1.283687711,1
143,289,5.138365269,-2.060121536,1
143,321,4.827047348,-2.363606691,1
143,353,3.964272976,-2.310273647,1
143,385,3.322648525,-2.197552681,1
143,417,6.144945621,-2.670714378,1
143,449,8.022369385,-2.937303066,1
143,481,8.647577286,-1.86579752,1
143,513,-2.794589996,6.332182884,1
143,545,7.776560783,-2.097659111,1
143,577,7.435970306,-3.421161413,1
143,609,7.124297619,-4.633166313,1
143,641,11.2843895,16.28493118,1
143,673,8.105417252,-4.160767555,1
143,705,7.991802216,-1.859360218,1
143,737,8.176680565,-0.7887878418,1
143,769,8.547851563,-21.93273544,1
143,801,8.0853405,-0.8078658581,1
143,833,8.416625977,-2.55447793,1
143,865,9.142888069,-3.27447319,1
143,897,8.875607491,-3.570317984,1
143,929,9.502920151,-1.912405729,1
143,961,9.571489334,-2.300559521,1
143,993,8.63967514,-2.253036737,1
143,1025,8.137548447,-2.348397732,1
143,1057,7.443327904,-3.140929937,1
143,1089,7.228739262,-3.266397238,1
143,1121,5.096365452,-2.701341391,1
143,1153,4.69410944,-3.599377155,1
143,1185,5.255106926,-5.084687233,1
143,1217,4.452134132,-4.718323708,1
143,1249,3.868834972,-4.191969395,1
143,1281,3.990132809,-3.939739227,1
143,1313,2.557052612,-3.42761755,1
143,1345,0.1356534958,-2.742811203,1
143,1377,-1.451065421,-2.113328218,1
143,1409,-2.835490942,-1.778942227,1
143,1441,1.684381485,17.97446632,1
143,1473,7.95574379,-7.713462353,1
143,1505,-2.774098158,-0.9999544621,1
143,1537,-1.005036473,-1.810548544,1
143,1569,1.230197668,-2.118022919,1
143,1601,3.402192593,-1.27885437,1
143,1633,5.155488968,-2.282852173,1
143,1665,5.486917496,-2.798378944,1
143,1697,2.727600336,-1.662077308,1
143,1729,0.7634134293,-1.089612603,1
143,1761,-0.3514373302,-1.009566069,1
143,1793,-0.919578135,-1.080429792,1
143,1825,-0.6546390057,-1.016569376,1
143,1857,-0.2205047607,-0.01211988926,1
143,1889,0.2220525146,-0.05566829443,1
143,1921,0.4521522224,-0.04752677679,1
143,1953,0.311848551,0.0161383599,1
143,1985,0.08992698789,-0.1422001123,1
143,2017,-0.2461580336,-1.014718175,1
175,33,3.011278391,0.8897336125,1
175,65,4.084275246,0.3402571082,1
175,97,4.790708065,-0.03025171161,1
175,129,4.526162148,0.189591527,1
175,161,3.371699095,0.2012597024,1
175,193,3.096046448,-0.2705310583,1
175,225,2.497204781,-0.872625351,1
175,257,3.60397768,-1.425938368,1
175,289,4.817534447,-1.902034402,1
175,321,4.506476402,-1.916286707,1
175,353,4.209810734,-1.993540287,1
175,385,-2.008336067,-15.74442482,1
175,417,5.557148457,-2.801528692,1
175,449,8.577260971,-2.848402739,1
175,481,9.115742683,-1.889997244,1
175,513,7.822809219,-1.491904497,1
175,545,7.859284401,-2.56424284,1
175,577,7.847717285,-3.214292288,1
175,609,7.229894161,5.90095377,1
175,641,7.803028584,14.19854927,1
175,673,7.517908573,-1.228188038,1
175,705,7.156579971,-1.647084951,1
175,737,7.578651905,-1.787868023,1
175,769,7.426961422,-1.976126671,1
175,801,7.403842926,-0.4122788906,1
175,833,9.201828003,-0.5689203739,1
175,865,9.973941803,-3.064746141,1
175,897,9.383440018,-3.802155018,1
175,929,9.624440193,-2.276139736,1
175,961,9.670833588,-1.305578828,1
175,993,8.915532112,-1.121656895,1
175,1025,8.038066864,-2.462858677,1
175,1057,7.827231407,-4.359184265,1
175,1089,24.24535561,4.898656368,1
175,1121,6.192240238,-2.47904253,1
175,1153,6.005688667,-3.212764978,1
175,1185,6.266680241,-4.399399757,1
175,1217,5.832223892,-4.190928936,1
175,1249,5.886142731,-4.325086594,1
175,1281,5.001610279,-3.844158411,1
175,1313,3.493346691,-2.892032623,1
175,1345,0.9691371918,-1.983932018,1
175,1377,0.4428019524,-1.391847372,1
175,1409,-0.5456373096,-1.10922718,1
175,1441,-0.5245432854,-1.027390957,1
175,1473,8.872493744,-6.157194138,1
175,1505,-0.3667802811,-0.6902258396,1
175,1537,2.539877653,-0.975271225,1
175,1569,3.497982979,-1.403760672,1
175,1601,4.461547852,-0.7725248337,1
175,1633,5.216609001,-0.04850932956,1
175,1665,3.029913187,0.4800103307,1
175,1697,1.293042183,1.571027994,1
175,1729,0.4979987741,-0.02225458622,1
175,1761,-0.5055599809,-0.7206430435,1
175,1793,-0.9824928045,-1.024653912,1
175,1825,-0.5841661692,-0.8412678838,1
175,1857,-0.2166134119,-0.09031224251,1
175,1889,0.2366967499,0.01019798219,1
175,1921,0.1954722106,0.003310009837,1
175,1953,0.1767833233,-0.1914212704,1
175,1985,0.2497216761,-0.2271947861,1
175,2017,0.01774543524,-0.395831883,1
207,33,4.515045643,1.705313563,1
207,65,4.366451263,-0.2389049828,1
207,97,4.401041508,0.3674774766,1
207,129,4.825907707,-0.668156743,1
207,161,5.568216324,-0.9216771722,1
207,193,4.954608917,0.5327448845,1
207,225,3.47350359,-0.3520817757,1
207,257,3.289177418,-1.429656625,1
207,289,4.582942009,-2.60790062,1
207,321,5.040300369,-2.435243368,1
207,353,4.941199303,-1.832532406,1
207,385,5.555526257,-2.775428534,1
207,417,6.669142723,-4.614854813,1
207,449,8.770717621,-3.747858047,1
207,481,8.391443253,-2.26378417,1
207,513,8.201353073,-1.741088152,1
207,545,8.911043167,-2.157725334,1
207,577,9.070212364,-3.383219242,1
207,609,10.01255989,-3.803071499,1
207,641,18.53870964,-10.28146553,1
207,673,6.215481281,-1.576331854,1
207,705,6.298604965,-1.991347551,1
207,737,6.744334698,-2.554687977,1
207,769,7.434354782,-2.247131824,1
207,801,8.413837433,-0.5989186764,1
207,833,9.127614975,-1.465995073,1
207,865,9.047194481,-3.560462475,1
207,897,8.840287209,-3.781272173,1
207,929,9.177832603,-2.536967516,1
207,961,9.520910263,-1.094653845,1
