PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 50, filenames: A:[50]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[51]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.019423962,3.397809267,1
47,65,0.1055316925,-0.8843047619,1
47,97,-0.8888494968,-0.7423858643,1
47,129,-0.6236990094,-2.163458824,1
47,161,1.741098642,-2.848023653,1
47,193,2.336517572,-3.133018255,1
47,225,0.6520109177,-3.217034101,1
47,257,1.28098011,-3.090383768,1
47,289,1.068165302,-4.508358002,1
47,321,1.141107917,-4.995091438,1
47,353,0.7456922531,-4.512179375,1
47,385,0.5662221909,-4.04842186,1
47,417,0.9716145992,-4.921512127,1
47,449,1.056570172,-5.209529877,1
47,481,1.23355794,-5.17681694,1
47,513,2.262913227,-5.395131111,1
47,545,-0.1439291239,-5.028124809,1
47,577,-0.3922655582,-6.259037018,1
47,609,0.04949527979,-5.054382801,1
47,641,-0.3748411238,-3.906129837,1
47,673,11.59561443,-16.76618958,1
47,705,0.7864793539,-5.360980034,1
47,737,1.477582932,-2.929494858,1
47,769,2.261360168,-3.034789324,1
47,801,3.962206364,-3.898646116,1
47,833,2.491603374,-3.948679924,1
47,865,2.253035545,-3.464945078,1
47,897,2.949475527,-3.214910746,1
47,929,2.797824383,-1.902830124,1
47,961,2.930398703,-1.477144003,1
47,993,1.956081033,-2.942711115,1
47,1025,1.695664287,-3.039446354,1
47,1057,1.645520449,-3.054794788,1
47,1089,2.359642982,-1.869997263,1
47,1121,2.928548574,-1.253337026,1
47,1153,1.696446657,-1.03514576,1
47,1185,-1.180806041,-2.981245279,1
47,1217,-3.409361839,-5.624567032,1
47,1249,-1.95057869,-5.672967911,1
47,1281,-0.07736253738,-4.076524258,1
47,1313,-4.249042034,-4.096541882,1
47,1345,-7.433211327,-2.60097146,1
47,1377,-9.196946144,-2.71775794,1
