PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 31, filenames: A:[31]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[32]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.390333652,0.3760756254,1
47,65,-1.082769394,-0.4962869287,1
47,97,-1.550815582,-3.034506321,1
47,129,-0.8751120567,-1.815425634,1
47,161,-0.8271310925,-1.620882511,1
47,193,-0.793217659,-0.6655983925,1
47,225,-1.657142162,-0.4541133642,1
47,257,-1.638412595,0.04515111446,1
47,289,-1.893652678,-0.3774037361,1
47,321,-2.746945858,-2.692168236,1
47,353,-2.798970461,-2.361782074,1
47,385,-1.732468605,-4.05676651,1
47,417,-0.3978002667,-2.845007181,1
47,449,0.5024082065,-3.196048021,1
47,481,-1.140827417,-2.190264702,1
47,513,-3.257331848,-5.587365627,1
47,545,-3.823764801,-5.65094614,1
47,577,-1.537245512,-16.10378838,1
47,609,-1.814998269,-5.327561855,1
47,641,-0.05326375365,-5.423427582,1
47,673,0.4091177583,-5.666522026,1
47,705,1.65846622,-4.521474361,1
47,737,-1.224602103,-3.609937906,1
47,769,-3.513635874,-1.003665209,1
47,801,-2.952778339,-1.27263844,1
47,833,-1.084408522,-0.4342349768,1
47,865,0.3853964806,-0.3633190393,1
47,897,0.5361780524,-0.5131278634,1
47,929,0.7400021553,-0.8047029376,1
47,961,-0.1959050894,-0.5476107597,1
47,993,-0.9390391111,-1.061693907,1
47,1025,-0.8811132908,-1.188543439,1
47,1057,-1.997181892,-1.068791509,1
47,1089,-2.64778924,-0.9555499554,1
47,1121,-3.351475239,-2.081050873,1
47,1153,-3.434303761,-3.268943548,1
47,1185,-3.614444256,-3.619796276,1
47,1217,-2.598546028,-3.565981865,1
47,1249,-2.310022831,-2.249204636,1
47,1281,-2.917173386,-1.037638664,1
47,1313,-2.477784157,-0.8311698437,1
47,1345,-2.726995468,-1.014527798,1
47,1377,-2.114675999,-0.3856964111,1
47,1409,-2.285996437,-0.1241068244,1
47,1441,-2.755280018,-0.9300973415,1
47,1473,-1.014154911,-0.7232644558,1
47,1505,-0.6927398443,-0.07390806079,1
47,1537,-0.9196887016,-0.2146880031,1
47,1569,-1.991155624,0.442856431,1
47,1601,-1.637003422,0.4464477301,1
47,1633,0.1000304222,0.5434367657,1
47,1665,0.3024049997,0.3173635602,1
47,1697,0.2335115075,0.002367973328,1
47,1729,-0.1583216786,-0.09070622921,1
47,1761,0.05479014665,-0.3207887411,1
47,1793,0.1320515275,-0.325193882,1
47,1825,0.06962369382,-0.1241198778,1
47,1857,0.08260898292,-0.4131198227,1
47,1889,-0.03466001153,-0.564063251,1
47,1921,0.2005878985,-0.451992929,1
47,1953,0.291100204,-0.1536470652,1
47,1985,0.1542432606,0.06995928288,1
47,2017,-0.1135924459,0.2899515629,1
79,33,0.7232708931,0.9097550511,1
79,65,0.2935813665,-0.6579935551,1
79,97,-0.3203504384,-0.7198565602,1
79,129,0.4328323007,-0.1147316694,1
79,161,0.197145015,-0.616765976,1
79,193,-0.2465637326,-0.4600788951,1
79,225,-0.9500965476,-0.4322529435,1
79,257,-0.1840058565,-0.3255009651,1
79,289,0.03231072426,-1.507246614,1
79,321,-1.315790892,-3.861183405,1
79,353,-7.748029709,15.1115303,1
79,385,-2.194839954,-4.652159691,1
79,417,-0.4517904818,-4.147052288,1
79,449,-0.3627382815,-3.163341045,1
79,481,-0.5841212273,-2.989305973,1
79,513,-1.701381683,-3.360611439,1
79,545,-12.61070919,2.166923761,1
79,577,-2.029221058,-4.810844421,1
79,609,-0.05409049988,-5.319366455,1
79,641,0.4881567061,-5.025324345,1
79,673,0.9046117067,-5.469954491,1
79,705,1.758215666,-5.364398479,1
79,737,0.1678304672,-3.859549999,1
79,769,-1.161647916,-2.088947773,1
79,801,-1.346735001,-1.497012258,1
79,833,-0.3015110493,-0.05839014053,1
79,865,-0.2041211128,-0.6167362928,1
79,897,-0.7815383673,-0.6372583508,1
79,929,-1.128877878,-0.7798028588,1
79,961,-1.848804474,-1.244544387,1
79,993,-2.14322114,-1.461770177,1
79,1025,-2.288150311,-1.391330123,1
79,1057,-1.400665283,-1.635156751,1
79,1089,-2.136852026,-1.897218347,1
79,1121,-3.524456501,-1.928053617,1
79,1153,-3.104400396,-2.707076311,1
79,1185,-2.714106083,-2.674679279,1
79,1217,-2.481056929,-2.07070756,1
79,1249,-1.858754754,-1.086767435,1
79,1281,-1.422359943,-0.3598399162,1
79,1313,-0.982663393,-0.4903109074,1
79,1345,-1.096617103,-0.5695108175,1
79,1377,-1.31249094,-0.06943041086,1
79,1409,-1.99849987,0.003458529711,1
79,1441,-2.319299698,0.1774541736,1
79,1473,-1.170075297,0.4341140985,1
79,1505,-1.443202734,0.7203223109,1
79,1537,-1.436750412,0.9637874961,1
79,1569,-1.309705019,0.97771281,1
79,1601,-0.8653497696,0.9295142889,1
79,1633,0.6082594991,1.818940878,1
79,1665,0.5162096024,1.108290672,1
79,1697,0.0007881820202,0.3663592935,1
79,1729,-0.2749052644,0.2131137997,1
79,1761,0.1264185607,0.1351775825,1
79,1793,0.3161085546,0.3679024279,1
79,1825,0.2320457697,0.09417253733,1
79,1857,0.1522602737,-0.2634812593,1
79,1889,0.1346197128,-0.2446334958,1
79,1921,0.07172742486,-0.2799058557,1
79,1953,0.1271741241,-0.09567674994,1
79,1985,0.4123805761,0.04673659056,1
79,2017,0.1565922201,-0.4675443172,1
111,33,1.462281704,1.257376552,1
111,65,1.19179821,-0.217259258,1
111,97,0.8145971298,-0.4680509567,1
111,129,0.7285568714,-0.2542865276,1
111,161,0.4355599582,-0.3978796005,1
111,193,0.03339421749,-0.4032428861,1
111,225,-0.9387435317,-0.4656546116,1
