PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 41, filenames: A:[41]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[42]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,33,0.2378885746,1.309042215,1
111,65,0.162161231,0.09790582955,1
111,97,1.785689354,-0.4848319292,1
111,129,2.218168736,-0.9576717615,1
111,161,1.647766829,-1.352519393,1
111,193,2.353899479,-3.523425579,1
111,225,1.43434,-2.579373121,1
111,257,0.4083335996,-2.047310352,1
111,289,-1.24314189,-2.693562508,1
111,321,-1.005438447,-1.953757286,1
111,353,-0.9913670421,-2.13427043,1
111,385,-1.535820961,-2.159682512,1
111,417,0.1335573196,-1.027314186,1
111,449,1.347777486,-3.777606726,1
111,481,0.3551706076,-4.645978928,1
111,513,-1.349112511,-3.505582571,1
111,545,0.6821240187,-1.563274384,1
111,577,1.912687421,-1.201545477,1
111,609,2.138102055,-1.925224066,1
111,641,1.58091116,-3.538527966,1
111,673,1.069144011,-2.447976351,1
111,705,2.100836992,-2.277525663,1
111,737,2.757504702,-2.929760933,1
111,769,3.658651114,-1.746463537,1
111,801,15.35070801,-9.363639832,1
111,833,0.2941477895,-1.108236551,1
111,865,-0.3827108741,-1.277908087,1
111,897,-0.329247117,-2.953883648,1
111,929,0.6863151789,-4.559110641,1
111,961,1.213531971,-3.937328815,1
111,993,1.273005843,-2.963058233,1
111,1025,1.301475644,-1.554606199,1
111,1057,1.289626837,-2.326611519,1
111,1089,0.4837880135,-2.316980124,1
111,1121,0.02399213612,-2.032866955,1
111,1153,-0.1045020223,-1.639124632,1
111,1185,-0.2051903605,-2.104575396,1
111,1217,-1.479326844,-2.586575031,1
111,1249,-2.348261356,-2.813516378,1
111,1281,-2.91117835,-2.46825695,1
111,1313,-3.404024124,-2.001981258,1
111,1345,-4.556141853,-2.599796772,1
111,1377,-4.223612309,-1.262466073,1
111,1409,-3.676231146,-0.6963359118,1
111,1441,-4.39394474,-0.4923684597,1
111,1473,-3.689884901,0.0009034872055,1
111,1505,-2.529898167,-0.2443633378,1
111,1537,-2.443490982,-1.322715282,1
111,1569,-2.714300156,-1.789716244,1
111,1601,-2.987828016,-1.872554183,1
111,1633,-4.361803055,-1.861671448,1
111,1665,-4.907690048,-2.160264492,1
111,1697,-12.66603565,17.479496,1
111,1729,-1.215585947,0.4876919985,1
111,1761,-0.5653970242,0.3328077793,1
111,1793,-0.08979234099,0.2017748058,1
111,1825,-0.237302199,0.09088531137,1
111,1857,-0.168014586,0.3021773398,1
111,1889,-0.01183434576,0.3166170716,1
111,1921,0.07957297564,0.06266233325,1
111,1953,-0.04638651758,0.1271497458,1
111,1985,-0.1840683967,-0.05414988101,1
111,2017,-0.104909569,-0.2873747349,1
143,33,2.115497112,2.482047081,1
143,65,0.4091933966,-2.734423876,1
143,97,0.795848608,-1.73270452,1
143,129,1.426296711,-1.441016197,1
143,161,1.446264029,-1.635870337,1
143,193,1.980850458,-1.795981765,1
143,225,1.544873834,-1.870016575,1
143,257,19.13664436,4.012050152,1
143,289,-0.6253398657,-2.549728394,1
143,321,13.54093266,-12.93892002,1
143,353,-1.870025396,-3.312242031,1
143,385,-2.449559927,-3.587169647,1
143,417,-15.30870819,9.758775711,1
143,449,17.70915794,-0.9722032547,1
143,481,-0.1832252145,-3.316500664,1
143,513,0.2703851759,-3.859484434,1
143,545,0.7219891548,-2.216913939,1
143,577,2.529720068,-2.032686472,1
143,609,2.276107788,-2.362814426,1
143,641,0.2122199535,-2.896404266,1
143,673,-0.476254344,-2.918821812,1
143,705,0.4423447847,-2.024060965,1
143,737,2.545248747,-3.146941185,1
143,769,2.48827076,-0.4298453331,1
143,801,2.113381386,-1.106876016,1
143,833,0.2091136575,-2.340130806,1
143,865,-0.6828815937,-2.494205713,1
143,897,0.1508504748,-3.012614727,1
143,929,1.621931076,-3.466171741,1
143,961,1.274687767,-3.990121126,1
143,993,1.227548361,-2.865395069,1
143,1025,0.7905453444,-1.490353584,1
143,1057,0.8528660536,-2.455334663,1
143,1089,0.5723149776,-2.231126308,1
143,1121,0.1723169386,-1.583740473,1
143,1153,-0.4999730885,-1.430762768,1
143,1185,13.4519949,-16.33863258,1
143,1217,-3.688269377,-2.09504509,1
143,1249,-4.08650732,-2.500572681,1
143,1281,-3.446540833,-2.011925936,1
143,1313,-3.728142738,-2.101802349,1
143,1345,-4.250891685,-2.706537247,1
143,1377,-3.650697231,-1.919339418,1
143,1409,-3.624755383,-1.801042795,1
143,1441,-3.939559698,-0.937248826,1
143,1473,-2.742546082,-0.2624261081,1
143,1505,-2.519233942,0.009480923414,1
143,1537,-2.126191378,-0.2585525215,1
143,1569,-2.555836916,-0.9714742899,1
143,1601,-3.516319752,-1.107017994,1
143,1633,-4.662074566,-1.572466016,1
143,1665,-5.832483292,-1.185444593,1
143,1697,-5.229751587,0.1569286585,1
143,1729,-3.48607254,0.05578279495,1
143,1761,-1.577819824,0.02395117283,1
143,1793,-0.1852115393,0.1661347747,1
143,1825,-0.1573746502,0.0100478828,1
143,1857,0.05211058259,-0.08907687664,1
143,1889,0.04282006621,0.2803072333,1
143,1921,-0.1933587343,0.275811553,1
143,1953,-0.003456898034,0.07379326969,1
143,1985,0.07556840777,-0.1714890003,1
143,2017,0.2394756675,-0.05788981915,1
175,33,3.743623495,3.32165885,1
175,65,0.7201706171,-2.682554245,1
175,97,0.8415725231,-2.83493185,1
175,129,1.432337403,-1.826349497,1
175,161,1.819380283,-1.964088917,1
175,193,2.657069683,-2.004722834,1
175,225,1.842004299,-2.015818357,1
175,257,0.2140039802,-2.981057405,1
175,289,0.1234765202,-4.445013523,1
175,321,0.175614655,-4.858107567,1
175,353,-0.6165370941,-4.1946311,1
175,385,-1.545295715,-4.489049911,1
175,417,-1.784198523,-6.017845154,1
175,449,18.67219353,-7.528277397,1
175,481,-1.083014965,-3.244818926,1
175,513,0.6271156669,-3.118131161,1
175,545,19.37408638,-10.1534214,1
175,577,2.068966389,-2.465282917,1
175,609,2.702326298,-2.262419701,1
175,641,0.9964132309,-2.033543825,1
175,673,0.2920812666,-1.963448763,1
175,705,0.02079153061,-2.034565687,1
175,737,1.30433774,-2.120903969,1
175,769,1.400874734,-0.3839342594,1
175,801,0.7884001732,-2.195539951,1
175,833,0.149127543,-3.567454815,1
175,865,-0.4614419639,-2.930371761,1
175,897,-0.1519574523,-3.359484434,1
175,929,0.7092391253,-2.642315626,1
175,961,0.6838210821,-3.33196497,1
175,993,0.6046315432,-2.923885107,1
175,1025,0.6107239127,-2.905495167,1
175,1057,0.440300107,-2.889888763,1
175,1089,0.9357092381,-1.30065012,1
175,1121,0.7880241871,-0.3107171059,1
175,1153,-0.6935506463,-1.120733738,1
175,1185,-1.292479992,-2.297112226,1
175,1217,-3.831348658,-0.9036519527,1
175,1249,-4.828499794,-1.786947727,1
175,1281,-3.812390804,-2.583420753,1
175,1313,-3.39440012,-1.644558907,1
175,1345,-2.753179789,-1.604394436,1
175,1377,-2.256454229,-2.343659401,1
175,1409,-1.902153254,-2.518019915,1
175,1441,-1.41242671,-0.4625227451,1
175,1473,-2.169893503,0.2335695326,1
175,1505,-2.474502802,0.348764807,1
175,1537,-2.138105869,0.01809617877,1
175,1569,-2.556149721,-0.2937133312,1
175,1601,-3.412049294,0.1034910083,1
175,1633,-3.878722906,-0.8012740612,1
175,1665,-5.885852337,-0.7426517606,1
175,1697,-5.946677685,0.8959268332,1
175,1729,-3.198050976,0.9136152864,1
175,1761,-1.519204617,-0.009285017848,1
