PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 32, filenames: A:[32]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[33]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.903069496,2.319735527,1
47,65,7.331432343,11.58610725,1
47,97,-4.220387459,9.086568832,1
47,129,-0.03057575226,-0.864426136,1
47,161,-0.3908303976,-2.621286392,1
47,193,-0.256370306,-1.651306391,1
47,225,-1.648849368,-2.190780163,1
47,257,-1.442338228,-1.624428034,1
47,289,-1.033285141,-3.59167695,1
47,321,12.86804676,-15.05197906,1
47,353,1.264352322,-2.832553625,1
47,385,0.3591406941,-3.956281424,1
47,417,0.5265277624,-2.784961939,1
47,449,0.2890232205,-2.06520772,1
47,481,-0.6592144966,-3.481755495,1
47,513,-1.605565071,-3.600133657,1
47,545,-15.39760399,9.705119133,1
47,577,-14.71522522,9.351808548,1
47,609,16.17389107,7.580566406,1
47,641,-0.1370125115,-2.872109413,1
47,673,0.2371386141,-2.495932102,1
47,705,1.363394141,9.959590912,1
47,737,1.357921124,-3.141192198,1
47,769,1.452570677,-4.913591862,1
47,801,0.2098398209,-5.445818424,1
47,833,-0.811414957,-3.037844658,1
47,865,-1.958943725,-3.828466415,1
47,897,-2.703458071,-3.28394556,1
47,929,-1.562571526,-0.5214903355,1
47,961,-1.869538069,-0.8532629013,1
47,993,-1.680702448,-2.542098284,1
47,1025,-1.783635378,-3.560474873,1
47,1057,-0.8349721432,-3.182326317,1
47,1089,-0.8148220778,-4.169062614,1
47,1121,-1.448626876,-4.628186226,1
47,1153,-1.824133158,-3.908258438,1
47,1185,-2.318998337,-3.384714603,1
47,1217,-1.971702099,-3.453713894,1
47,1249,-1.004270077,-5.207444191,1
47,1281,-1.159983039,-4.885613441,1
47,1313,-0.5975917578,-3.186553001,1
47,1345,-0.1785401106,-2.469548225,1
47,1377,0.9499614239,-1.54605031,1
47,1409,1.915763617,-1.903104663,1
47,1441,1.317298889,-1.885300398,1
47,1473,-0.4497656822,-1.415996432,1
47,1505,-0.7367770672,-0.6262433529,1
47,1537,-0.8126336336,-1.148547649,1
47,1569,-2.558260918,-2.84962678,1
47,1601,-2.720012903,-2.062459707,1
47,1633,-0.4656436443,-0.6779000759,1
47,1665,-0.03548717499,0.1549204588,1
47,1697,0.9375011921,0.3982597589,1
47,1729,0.6211403608,0.1365330219,1
47,1761,-0.2502082586,0.06165993214,1
47,1793,-0.8183965087,0.4101321697,1
47,1825,-0.08419069648,0.381714344,1
47,1857,0.4857274294,0.6729254723,1
47,1889,0.4489092827,0.720613718,1
47,1921,0.2689560056,-0.05189152062,1
47,1953,-0.00223338604,-0.1287963986,1
47,1985,0.1942314506,-0.2712815106,1
47,2017,0.2243661284,0.1018000841,1
79,33,0.1988715529,1.827223539,1
79,65,-0.005184113979,-0.3178579211,1
79,97,0.3917774856,-0.4946342707,1
79,129,-0.3346490562,-1.869974971,1
79,161,-0.6337068677,-2.808315992,1
79,193,-0.5013613701,-2.486871481,1
79,225,-0.9727037549,-2.862057209,1
79,257,-0.9255661964,-3.167869806,1
79,289,-0.6419946551,-3.740079403,1
79,321,-0.5427907109,-4.136712074,1
79,353,-0.2900305688,-2.868154764,1
79,385,0.3157518804,-2.971787691,1
79,417,0.8259168863,-3.917559624,1
79,449,0.1646235734,-3.488049984,1
79,481,-0.2307137251,-4.149025917,1
79,513,-1.98541522,16.13882828,1
79,545,-0.8793219328,-3.172893047,1
79,577,-14.97259235,7.647449493,1
79,609,7.779473305,14.07450581,1
79,641,0.2483505458,-3.577688456,1
79,673,-0.1366282403,-3.693626165,1
79,705,-0.09245419502,-3.779177427,1
79,737,1.059967637,-4.098730087,1
79,769,-14.31637478,-14.10454559,1
79,801,-0.2133437395,-7.187912464,1
79,833,1.694401741,-4.640005112,1
79,865,0.6469621062,-4.517141819,1
79,897,0.5102568865,-3.036065102,1
79,929,0.8828549385,-1.409006357,1
79,961,0.3012525439,-1.595812201,1
79,993,0.2563320398,-1.96746254,1
79,1025,0.02467644215,-2.045319796,1
79,1057,-0.8703840971,-2.773045778,1
79,1089,-1.150203705,-3.433226824,1
79,1121,-1.363168001,-3.493478775,1
79,1153,-1.639823437,-4.150807858,1
79,1185,-1.735435009,-4.294263363,1
79,1217,-1.521755219,-3.345917702,1
79,1249,-0.6021974087,-3.604138136,1
79,1281,0.3534245491,-4.363371849,1
79,1313,-0.7707226276,-2.577398777,1
79,1345,-0.6596198082,-2.759986877,1
79,1377,-0.05898678303,-2.732308149,1
79,1409,0.3108258247,-2.437860012,1
79,1441,-0.1807729006,-2.455237627,1
79,1473,-1.095676184,-2.184977055,1
79,1505,-1.212065458,-1.2221843,1
79,1537,-1.831361055,-1.398728728,1
79,1569,-3.859194279,-2.892268419,1
79,1601,-4.441102982,-2.733176231,1
79,1633,-2.332290649,-1.41817534,1
79,1665,-1.65962851,-1.170596242,1
79,1697,-1.409952402,-0.6082001925,1
79,1729,-0.2222053409,-0.1664446294,1
79,1761,-0.1593174338,-0.1557176113,1
79,1793,-0.2711438239,-0.007802575827,1
79,1825,0.03588369489,0.1536647081,1
79,1857,0.204251796,0.2601862848,1
79,1889,0.06498032808,0.3932737708,1
79,1921,-0.05367255211,0.1811926961,1
79,1953,-0.06883662939,-0.1020792723,1
79,1985,0.001238241792,-0.2317971587,1
79,2017,0.01278713346,-0.3370062113,1
111,33,-0.8774414063,1.388388038,1
111,65,-0.1410290003,-0.1275012642,1
111,97,0.1791284084,-1.136524439,1
111,129,0.1205923557,-2.186237812,1
111,161,0.6558568478,-2.485880375,1
111,193,0.1735536754,-2.908714771,1
