PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 51, filenames: A:[51]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[52]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.4255132377,2.489924431,1
47,65,2.46701479,-0.7086462975,1
47,97,3.170061111,-1.355984688,1
47,129,4.598509312,-1.79444766,1
47,161,3.717522144,-1.962031364,1
47,193,2.441083193,-1.027385831,1
47,225,2.087009668,-1.036735773,1
47,257,-5.061447144,-20.81135178,1
47,289,-5.742139816,-17.51051903,1
47,321,2.453125954,-3.636453152,1
47,353,2.875350952,-4.179954529,1
47,385,4.813832283,-4.985322952,1
47,417,4.18571949,-2.645166397,1
47,449,1.813870668,-1.716646552,1
47,481,7.315590858,-1.530303478,1
47,513,8.892161369,-5.470338345,1
47,545,2.248148441,-3.228888988,1
47,577,3.45997715,-3.085853577,1
47,609,4.579672813,-3.505506992,1
47,641,4.857204914,-3.602803946,1
47,673,1.155358076,4.949846268,1
47,705,2.615134716,-1.233770847,1
47,737,4.464295387,-2.041387796,1
47,769,4.230044842,-3.58685708,1
47,801,0.5049152374,0.1170191765,1
47,833,5.266781807,-7.343480587,1
47,865,1.327926159,-0.5311517715,1
47,897,0.3132171631,0.9615337849,1
47,929,2.548659325,-1.367574334,1
47,961,4.807274818,-4.016786575,1
47,993,4.40301609,-3.21169281,1
47,1025,4.206104279,-2.432487011,1
47,1057,3.47956419,-2.693621874,1
47,1089,4.094415665,-3.138161659,1
47,1121,16.45750046,9.93684864,1
47,1153,3.715619564,-2.988633633,1
47,1185,4.260889053,-1.467963696,1
47,1217,4.209918022,-0.2774296403,1
47,1249,2.363460541,-1.436944485,1
47,1281,3.176323891,-2.002314568,1
47,1313,2.582111359,-2.547971249,1
47,1345,0.602997303,-2.010613441,1
47,1377,-2.445012808,-2.42243433,1
47,1409,-4.233225346,-2.937955856,1
47,1441,-4.986722946,-4.387965202,1
47,1473,-3.657499313,-6.178730965,1
47,1505,-1.391144514,-6.77055788,1
47,1537,-1.52901268,-5.426018715,1
47,1569,-3.361404419,-3.857602119,1
47,1601,-1.059301734,-2.714329243,1
47,1633,1.954711676,0.5888314247,1
47,1665,0.278219223,0.4000644684,1
47,1697,0.6057114601,0.5973830223,1
47,1729,0.7835965157,0.1406154633,1
47,1761,-0.2968891561,0.5066511631,1
47,1793,-0.8213918209,0.6199741364,1
47,1825,-0.2713919282,0.6192038059,1
47,1857,0.2490684837,0.007987648249,1
47,1889,0.1615454853,-0.05970314145,1
47,1921,-0.1584213376,0.2952780724,1
47,1953,-0.7576947808,0.4846683145,1
47,1985,-0.7395871878,-0.685085535,1
47,2017,0.5720841885,-4.439713955,1
79,33,0.1991227865,2.637695313,1
79,65,-13.04860115,13.36750317,1
79,97,-6.828400612,-9.31846714,1
79,129,6.213582993,-4.23829937,1
79,161,3.296144485,-2.57902956,1
79,193,1.622555494,-2.141879082,1
79,225,1.513498425,-0.5681083202,1
79,257,2.52113533,-1.263658881,1
79,289,3.014778376,-1.944076061,1
79,321,3.29931283,-2.277059078,1
79,353,3.218608856,-2.665377617,1
79,385,2.182170391,-2.671780825,1
79,417,3.035146236,-3.140018225,1
79,449,3.773563147,-2.96163106,1
79,481,-5.293820381,8.88584137,1
79,513,2.43577075,-1.353503704,1
79,545,2.403326035,-1.728166819,1
79,577,2.573548079,-2.703669786,1
79,609,2.23733902,-3.364243031,1
79,641,3.458368778,-2.913696289,1
79,673,3.516156435,-1.73491478,1
79,705,3.598030806,-1.192752838,1
79,737,4.355965614,-3.148793697,1
79,769,2.397313118,-3.854146242,1
79,801,3.503428459,-5.732003689,1
79,833,5.472869396,-5.032271862,1
79,865,6.017350197,-4.371485233,1
79,897,4.350914955,-2.410351276,1
79,929,2.645044327,-2.465463877,1
79,961,2.396304131,-2.967679501,1
79,993,9.749407768,11.45066071,1
