PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 2, filenames: A:[2]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[3]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,26.2772274,0.1087948084,1
47,65,15.64568901,-0.226382032,1
47,97,0.7813911438,-9.089225769,1
47,129,17.77851105,-0.1490767002,1
47,161,19.35194016,-0.7535332441,1
47,193,21.03242111,0.01920032501,1
47,225,20.33965683,-0.6844799519,1
47,257,21.83689308,-0.3588469923,1
47,289,24.18647003,0.1872265041,1
47,321,26.00634766,-0.7906535864,1
47,353,27.02277565,-1.918238997,1
47,385,25.05160713,-19.33185005,1
47,417,33.38713074,2.267381191,1
47,449,32.59088898,1.401211023,1
47,481,32.57264709,3.709065437,1
47,513,36.49235916,3.036865234,1
47,545,40.71861649,1.449148655,1
47,577,41.70635605,-0.1353201866,1
47,609,43.17454147,1.592279911,1
47,641,45.4383316,3.583532333,1
47,673,48.70445633,2.838791847,1
47,705,52.49445724,2.630027294,1
47,737,54.37672043,3.094314098,1
47,769,56.05774307,2.107407808,1
47,801,60.81175232,2.280029058,1
47,833,71.33319092,-11.60197735,1
47,865,68.01184082,-4.719426632,1
47,897,67.0798111,-3.183852673,1
47,929,45.06472015,-16.8608532,1
47,961,47.70319366,4.016175747,1
47,993,62.50878143,-6.928656578,1
47,1025,56.46918106,4.05168438,1
47,1057,51.04972839,-23.33770561,1
47,1089,65.54879761,0.1030015945,1
47,1121,60.82409286,-7.869925976,1
47,1153,56.41890335,-24.49365616,1
47,1185,32.57056046,0.2590684891,1
47,1217,32.70012665,-9.085834503,1
47,1249,60.09395218,-11.77572536,1
47,1281,51.04965973,-16.86733437,1
47,1313,51.87389374,-16.88796234,1
47,1345,35.1587677,-16.51697159,1
47,1377,49.26234055,-19.88820076,1
47,1409,19.78153419,-8.461368561,1
47,1441,12.19290924,-0.3644866943,1
47,1473,29.33438492,14.05623817,1
47,1505,31.30406952,8.403186798,1
47,1537,8.961179733,-15.05051041,1
47,1569,16.81295204,-7.33893013,1
47,1601,22.1537838,-20.55363464,1
47,1633,26.52751923,-15.04743004,1
47,1665,17.30394554,-40.3024826,1
47,1697,42.23276901,-30.14356041,1
47,1729,42.05823517,-17.3726368,1
47,1761,28.18733788,-10.59030914,1
47,1793,38.53224182,-32.88329315,1
47,1825,25.372015,-29.06967354,1
47,1857,12.59466553,-28.37007713,1
47,1889,1.308204651,-31.59995461,1
47,1921,1.285440445,1.974212646,1
47,1953,-13.48474789,-22.23641586,1
47,1985,2.412027359,-31.74860001,1
47,2017,61.27851868,-50.04514694,1
79,33,17.66983414,0.3296324015,1
79,65,15.3349247,0.2224182785,1
79,97,16.67804527,1.278718472,1
79,129,16.06430054,1.007122397,1
79,161,18.04895401,-1.95432663,1
79,193,21.75709343,-2.832826138,1
79,225,19.94154358,-0.3606501222,1
79,257,21.61024094,-1.718995452,1
79,289,23.23147774,-0.1674398035,1
