 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,733.319,175.352,125,471,96.971,44.593,105.727,31.947,29.226,5.876,42.475
2,504.606,210.859,127,608,70.614,54.367,92.969,28.981,22.169,68.979,70.983
3,703.932,167.158,125,501,42.982,69.833,127.876,48.864,18.342,64.391,32.971
4,897.766,183.969,125,675,196.886,70.871,120.426,37.201,30.727,56.461,53.174
5,839.367,261.711,127,1151,54.587,84.365,133.301,48.909,21.851,46.154,74.083
6,960.061,229.444,125,1312,117.344,99.979,125.561,38.178,32.018,113.327,63.151
7,908.141,164.484,122,834,31.405,122.927,139.087,45.007,25.691,66.228,32.541
8,1077.188,247.835,123,1065,135.350,139.792,135.510,38.588,35.542,55.724,71.917
9,1205.674,300.181,128,1318,189.925,159.038,151.434,46.043,33.341,93.875,86.964
10,815.190,269.620,124,836,171.366,189.903,133.225,39.262,26.436,60.640,93.585
11,1086.342,260.314,124,1373,177.253,103.603,137.518,43.048,32.131,64.141,74.768
12,1057.330,302.380,129,1096,166.352,145.129,147.021,51.404,26.189,77.979,93.575
13,862.980,264.364,124,778,138.895,169.601,126.654,41.294,26.609,44.479,92.129
14,1401.527,232.283,126,1046,59.533,173.681,196.480,66.059,27.013,57.203,71.348
15,761.486,214.041,124,678,68.568,194.161,116.320,42.207,22.972,68.168,66.642
16,1327.918,228.813,124,1032,84.174,133.350,150.033,49.891,33.889,86.463,71.407
17,794.112,176.178,122,604,65.157,102.983,113.611,39.081,25.872,31.176,44.869
18,948.466,311.657,128,1454,147.721,109.631,126.317,37.292,32.383,97.866,84.657
19,870.632,248.125,125,1005,132.099,76.230,121.875,37.993,29.177,154.090,73.649
20,1484.149,186.096,123,669,91.517,80.675,192.575,53.797,35.126,84.583,57.217
21,1542.360,197.326,125,569,162.994,67.200,184.215,48.123,40.808,90.879,67.521
22,993.814,362.178,132,1322,200.866,116.380,138.254,43.549,29.056,54.066,96.391
23,1051.274,213.791,122,793,145.680,197.406,144.981,49.440,27.073,63.551,71.028
24,1051.415,161.863,123,701,89.566,189.973,153.981,56.383,23.743,77.015,28.977
25,370.110,206.274,124,906,35.451,153.744,84.839,26.884,17.529,71.308,47.273
26,891.334,325.194,127,1249,54.024,134.732,145.520,45.038,25.198,73.367,86.896
27,902.554,167.536,125,556,30.954,182.747,127.836,45.671,25.162,58.395,32.170
28,780.076,164.928,125,603,16.000,108.464,155.093,50.936,19.499,78.326,31.642
29,1110.143,168.803,126,424,23.688,64.429,149.499,54.780,25.803,75.781,37.601
30,1363.220,161.563,123,399,130.948,44.647,161.016,53.095,32.690,34.928,28.321
31,1216.378,273.011,125,930,205.363,194.837,156.585,44.087,35.129,90.878,92.536
32,897.437,331.632,124,1548,108.014,133.781,158.875,47.523,24.044,75.917,74.797
33,809.651,296.232,123,1268,111.868,169.682,126.357,41.074,25.098,87.377,78.101
