 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,753.975,212.852,126,751,153.731,52.857,107.618,32.898,29.181,133.572,58.023
2,842.888,208.231,125,1047,140.120,74.099,120.961,36.911,29.075,143.525,46.266
3,958.042,219.504,124,1003,197.313,84.207,124.553,41.361,29.492,77.113,55.155
4,881.007,256.382,124,1225,169.531,85.954,124.024,34.673,32.352,107.945,66.681
5,1221.683,231.820,123,1071,100.714,96.268,145.451,46.893,33.171,61.747,60.367
6,876.547,322.464,125,1693,125.168,101.584,144.593,44.447,25.110,58.856,65.590
7,1045.969,250.237,124,1648,154.619,110.886,141.235,45.528,29.252,178.835,58.296
8,1065.404,274.744,126,1195,189.608,122.570,134.148,43.993,30.835,84.959,80.057
9,777.588,286.389,128,1057,159.029,137.220,110.516,34.778,28.468,25.645,87.594
10,1017.615,246.035,119,1512,170.642,163.264,137.576,48.893,26.500,67.219,66.997
11,794.957,299.627,126,1212,195.251,163.341,118.969,37.811,26.769,55.451,86.630
12,1340.734,219.241,125,777,34.398,187.810,152.397,54.014,31.604,145.963,59.041
13,1064.231,244.587,126,948,119.589,203.551,137.676,44.436,30.493,54.048,74.473
14,915.088,184.323,123,1113,107.754,145.727,135.207,46.389,25.117,74.103,46.632
15,837.301,214.654,124,924,80.592,200.386,122.531,38.577,27.635,26.997,58.203
16,884.199,239.940,125,888,105.853,180.757,142.495,38.860,28.970,71.761,73.183
17,797.211,268.273,126,1063,42.521,162.496,117.165,41.170,24.655,175.496,67.560
18,1123.897,196.423,122,573,71.416,175.597,149.985,44.573,32.104,51.661,58.719
19,609.386,275.994,126,1193,86.308,145.692,112.153,36.432,21.297,49.965,67.352
20,767.354,199.612,125,822,44.755,133.215,117.598,43.246,22.592,47.905,47.015
21,1263.604,276.817,123,1288,73.621,130.219,192.042,57.336,28.060,42.880,66.081
22,232.000,265.685,127,1449,51.540,105.817,65.741,24.521,12.047,56.980,54.614
23,768.387,347.375,128,2421,70.893,95.799,140.075,42.668,22.929,55.668,74.597
24,899.221,176.573,126,763,48.371,82.361,143.819,42.565,26.898,60.440,37.249
25,632.811,162.078,124,446,34.986,64.762,114.298,37.161,21.682,69.551,24.043
26,786.414,192.766,125,1058,85.339,66.447,115.239,39.650,25.254,39.350,49.242
27,702.477,239.140,128,1171,73.564,50.653,127.628,45.866,19.501,51.822,58.667
28,621.498,155.716,124,681,62.786,36.716,113.992,42.478,18.629,61.311,18.536
29,1336.743,187.972,125,577,112.764,52.705,187.498,45.706,37.238,105.518,49.956
30,1153.050,183.029,123,791,136.923,163.108,142.430,39.087,37.560,177.839,48.579
31,632.060,320.239,127,1465,130.868,132.072,102.264,29.162,27.597,63.449,69.014
32,683.605,258.534,130,962,174.466,199.803,113.422,36.890,23.594,91.573,79.879
33,716.560,224.199,130,1429,30.591,106.823,132.875,45.398,20.097,108.241,46.351
34,513.150,229.392,130,871,19.799,125.702,102.449,34.477,18.951,105.897,55.576
35,623.328,317.002,127,1705,146.205,192.251,125.403,37.962,20.907,53.254,77.579
