 ,Area,Mean,X,Y,Perim.,%Area
1,519.159,625.936,103.020,148.935,103.726,37.427
2,609.292,567.999,87.868,141.210,101.927,36.443
3,554.179,597.230,91.347,115.428,106.799,37.865
4,382.503,735.684,112.531,113.889,78.790,39.482
5,717.124,564.208,125.784,95.701,123.472,36.070
6,1066.860,389.640,89.350,89.490,147.946,18.525
7,696.374,382.155,107.242,70.108,106.922,22.138
8,755.195,288.493,130.200,65.209,110.244,12.519
9,1342.142,337.017,52.408,98.883,179.882,17.793
10,921.238,546.178,121.321,144.150,143.826,39.559
11,1143.802,526.065,148.682,162.720,141.112,36.056
12,1066.296,558.627,144.966,124.139,138.487,36.735
13,904.761,342.304,154.346,94.574,120.653,17.953
14,336.592,408.333,152.859,68.821,118.622,24.547
15,635.346,310.814,169.616,60.840,103.679,11.334
16,545.354,430.082,177.055,98.031,99.757,27.460
17,1015.080,505.513,173.171,150.769,152.511,32.072
18,1007.193,620.224,80.291,172.132,192.316,43.715
19,682.291,393.888,67.621,124.659,125.385,22.017
20,376.495,648.136,53.770,167.811,74.364,38.217
21,535.542,548.340,63.464,147.123,95.743,31.986
22,583.285,460.862,31.531,178.512,98.736,26.076
23,1112.631,322.087,37.015,146.350,157.172,16.923
24,715.199,374.522,22.976,121.654,106.077,21.995
25,440.621,453.742,22.673,97.830,93.685,25.549
26,459.868,300.655,190.934,56.236,83.613,13.414
27,881.523,341.802,193.604,82.352,146.317,15.518
28,873.449,249.653,87.183,37.675,116.474,8.535
29,1204.595,668.193,192.893,127.399,151.474,42.089
30,430.809,403.504,37.513,76.416,79.722,24.365
31,732.850,363.002,71.343,67.089,133.129,15.668
32,292.793,363.998,52.071,56.729,67.273,19.577
33,271.808,391.261,68.099,47.719,74.373,22.694
