 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,866.313,312.127,124,1899,137.975,92.252,142.960,40.046,27.544,66.123,58.806
2,1260.881,301.434,126,1942,86.965,110.082,155.676,49.557,32.395,29.444,59.246
3,963.300,190.765,122,1068,119.842,131.012,138.026,46.656,26.288,64.260,42.442
4,479.819,333.614,128,1731,100.457,126.399,112.001,34.916,17.497,41.630,67.762
5,1140.140,218.784,127,876,81.456,151.765,144.899,42.449,34.198,50.775,57.438
6,803.642,297.171,123,1326,115.875,163.644,128.484,41.401,24.715,55.402,72.568
7,817.115,224.595,125,1038,162.954,200.693,114.679,33.387,31.161,58.692,59.181
8,767.870,215.056,125,1224,55.161,110.298,123.652,43.443,22.505,43.075,44.036
9,643.374,214.668,130,1028,40.884,88.688,127.447,45.145,18.145,92.238,38.694
10,798.572,334.220,127,3208,81.127,78.701,133.278,43.277,23.494,38.526,60.337
11,128.581,299.296,127,1597,60.218,84.399,54.707,20.933,7.821,50.086,60.204
12,801.624,183.172,124,640,59.947,64.712,134.648,38.628,26.423,54.810,33.907
13,543.523,162.084,124,463,45.657,48.561,96.557,30.677,22.558,60.927,18.665
14,522.257,219.116,133,1074,26.988,101.713,102.908,36.308,18.314,108.101,43.515
15,756.604,286.927,127,1443,52.875,136.918,127.022,41.514,23.205,9.443,61.035
16,734.869,254.913,123,1216,90.532,176.790,120.990,33.074,28.290,30.332,58.107
17,1127.418,256.328,127,1179,45.840,160.324,147.463,52.738,27.219,148.441,58.211
18,412.830,233.265,130,1389,22.232,129.369,81.635,26.201,20.061,62.931,45.270
19,1098.594,193.854,122,1091,149.257,151.314,137.834,40.303,34.706,41.485,46.624
20,579.764,348.590,126,2078,144.396,122.419,99.498,30.872,23.911,52.354,64.381
21,1133.521,222.268,124,1159,113.081,83.167,146.243,41.379,34.879,52.155,48.343
22,1210.698,186.400,123,663,123.390,43.819,168.956,42.944,35.896,102.916,40.744
23,708.298,203.673,124,762,165.231,47.055,109.711,32.555,27.702,159.000,47.097
24,819.228,201.299,124,974,150.520,65.335,125.644,38.748,26.919,138.006,39.218
25,689.332,302.784,128,1694,171.300,127.531,108.940,30.513,28.765,26.992,79.209
26,1019.681,270.885,127,1159,129.084,186.278,131.938,38.619,33.618,44.757,68.611
27,591.312,359.618,125,2669,156.981,178.552,118.548,36.309,20.735,42.567,67.379
28,987.617,277.396,123,2176,182.361,152.827,146.738,50.140,25.079,65.774,61.403
29,675.859,297.503,125,1994,186.670,189.373,127.035,33.253,25.878,84.447,70.633
30,456.629,296.006,132,1316,12.342,114.766,129.985,35.743,16.266,88.011,76.190
31,683.511,189.025,126,698,17.603,77.526,126.803,36.249,24.008,50.737,35.879
32,685.060,187.574,126,857,96.954,53.036,112.258,33.601,25.959,37.788,37.497
33,611.076,227.250,126,1102,84.394,38.567,125.767,40.816,19.062,48.832,48.682
34,916.966,246.640,124,1753,167.629,102.071,135.702,42.140,27.706,164.861,48.339
35,821.246,237.067,125,1114,180.270,79.588,124.658,34.655,30.173,143.338,53.944
36,954.662,248.061,125,1036,200.825,113.883,132.108,41.292,29.437,85.678,66.483
37,723.743,302.341,126,1691,204.484,155.095,120.067,38.992,23.633,56.163,78.783
38,838.710,210.523,125,969,207.354,78.244,119.821,39.147,27.279,78.194,42.477
