 ,Area,Mean,Min,Max,X,Y,Perim.,%Area
1,637.787,402.095,142,1037,87.422,54.231,98.794,94.715
2,852.230,411.435,142,1593,59.912,68.850,118.557,90.437
3,1600.900,350.481,130,2669,102.541,82.160,168.457,75.808
4,1181.874,410.129,137,2524,175.334,85.167,144.202,87.989
5,1119.250,933.143,139,4095,147.916,93.602,141.052,91.439
6,987.430,618.963,135,3362,66.063,94.642,142.093,90.644
7,1625.499,657.974,134,3746,140.792,126.576,165.248,90.859
8,1492.177,796.496,135,4095,103.292,127.248,180.808,91.292
9,1325.571,533.260,134,3109,72.727,124.983,146.163,85.005
10,1258.816,416.049,142,2145,182.363,124.184,153.753,93.824
11,918.327,595.382,162,2113,46.910,133.956,133.045,99.530
12,665.438,555.725,137,2384,24.213,148.007,103.242,93.545
13,1081.741,567.061,150,2051,174.899,157.442,130.297,97.657
14,1246.188,520.154,143,3679,122.255,163.312,143.139,94.613
15,771.673,575.852,133,2700,204.855,157.169,107.403,90.954
16,1120.658,390.036,139,2124,152.731,172.634,170.785,91.170
17,1348.245,498.877,129,2881,49.032,168.046,161.165,83.235
18,1368.994,456.639,133,1885,90.367,172.132,146.147,92.055
19,769.232,484.134,136,2153,13.552,178.001,109.544,91.999
20,1828.252,316.165,127,2145,23.943,106.795,204.280,65.739
21,1467.484,419.689,129,2488,71.082,200.785,156.757,73.621
22,1105.589,529.097,138,1903,111.802,203.989,140.766,96.510
23,1329.185,394.178,133,1573,149.286,203.769,147.839,87.028
24,825.659,508.999,145,1680,183.426,205.209,113.890,97.379
25,1579.728,298.404,134,1394,130.780,59.640,188.412,77.127
