 ,Area,Mean,Min,Max,X,Y,Perim.,%Area
1,2205.310,360.272,134,1720,122.996,79.923,232.636,91.766
2,1536.117,501.298,143,1887,168.445,76.220,159.807,97.201
3,827.584,457.300,142,1868,33.579,71.891,113.970,95.797
4,728.860,546.984,143,1640,79.470,78.089,107.649,99.053
5,966.164,575.417,144,2010,52.278,94.444,126.304,98.853
6,1799.569,424.031,128,3950,95.955,108.681,172.082,90.833
7,1304.258,500.638,138,2155,169.046,114.845,151.070,97.110
8,1171.546,1230.859,147,4095,141.251,123.093,143.442,99.311
9,1024.516,796.048,148,3316,58.837,122.584,140.827,98.181
10,1724.317,673.695,138,3258,137.592,157.754,173.973,97.631
11,1544.567,807.975,133,3501,98.965,156.205,188.481,97.453
12,1481.332,558.272,134,2895,67.557,154.921,152.834,95.449
13,1357.868,396.429,136,1946,179.283,157.356,167.065,97.103
14,1005.269,556.919,143,2820,40.679,163.890,141.393,99.622
15,970.436,419.712,141,1856,208.036,156.168,132.134,97.751
16,741.206,582.556,142,2016,16.857,178.324,105.916,98.208
17,1165.866,566.264,148,1795,172.527,191.513,139.752,99.468
18,963.300,596.651,143,2266,204.180,195.938,122.377,98.197
19,1379.791,445.083,131,1878,44.215,199.076,170.129,92.889
20,877.861,566.445,170,1701,206.835,90.626,126.776,99.652
21,1189.619,393.156,136,2251,202.236,120.183,149.520,95.269
22,1427.863,425.151,140,2243,87.739,201.150,152.812,96.038
23,1294.775,484.541,143,2005,119.978,193.880,150.322,98.394
24,1790.086,329.765,129,2035,18.651,135.754,203.102,83.644
25,1005.926,430.689,135,1325,15.602,97.960,133.823,95.758
